Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
Cincinnati Bengals,448.0,6057.0,985.0,6.1,27.0,13.0,351.0,225.0,392.0,3347.0,28.0,14.0,7.9,165.0,563.0,2710.0,27.0,4.8,159.0,82.0,647.0,27.0,0.0,0.0,57.4,7.1,3.6,9.2,9.0,16.0,97.0,30.0,245.0,7.8,7.1,32.0,244.0,0.0,7.6,57.0,1054.0,1.0,18.5,7657.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,18.0,12.0,66.7,59.0,56.0,94.9,64.0,2427.0,2.0,37.9,329.0,5182.0,1059.0,4.9,36.0,14.0,322.0,283.0,524.0,3134.0,19.0,22.0,5.5,177.0,493.0,2048.0,18.0,4.2,126.0,95.0,873.0,19.0,0.0,0.0,54.0,3.6,4.2,6.7,5.5,12.4,69.6,42.0,374.0,4.5,7.4,32.0,280.0,0.0,8.8,61.0,1335.0,0.0,21.9,24.0,17.0,70.8,39.0,38.0,97.4,65.0,2594.0,0.0,39.9,28.0,2.0,1.0,0.0,59.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3592.0,9.0,119.0,875.0,0.42842639593908627,0.5715736040609137,0.5525837873534754,0.44741621264652465,0.509090909090909,0.49090909090909096,1.0377358490566038,0.9636363636363636,0.07692307692307693,1.9166666666666665,0.534466477809254,0.46553352219074595,0.6047857969895793,0.39521420301042065,0.5135135135135135,0.4864864864864865,0.059006211180124224,1.5952380952380951,0.4642857142857143,20.0
Houston Oilers,424.0,5205.0,1010.0,5.2,35.0,17.0,308.0,218.0,428.0,2956.0,21.0,18.0,6.5,148.0,558.0,2249.0,26.0,4.0,141.0,125.0,1150.0,19.0,0.0,0.0,50.9,4.9,4.2,7.4,6.5,14.5,74.2,24.0,210.0,5.7,5.3,36.0,225.0,0.0,6.3,60.0,1232.0,1.0,20.5,6885.0,1.0,1.0,5.0,3.0,8.0,7.0,16.0,9.0,4.0,2.0,34.0,22.0,64.7,50.0,48.0,96.0,65.0,2523.0,0.0,38.8,365.0,4858.0,985.0,4.9,42.0,20.0,304.0,281.0,512.0,3266.0,22.0,22.0,5.9,170.0,431.0,1592.0,20.0,3.7,94.0,118.0,947.0,40.0,0.0,0.0,54.9,4.3,4.3,7.1,6.0,12.9,73.7,42.0,353.0,4.9,7.6,35.0,206.0,0.0,5.9,69.0,1362.0,1.0,19.7,18.0,14.0,77.8,46.0,43.0,93.5,80.0,2976.0,0.0,37.2,33.0,0.0,2.0,1.0,51.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3166.0,7.0,59.0,347.0,0.44752475247524753,0.5524752475247525,0.5679154658981749,0.4320845341018251,0.44680851063829785,0.5531914893617021,1.049645390070922,0.9527027027027027,0.06168831168831169,1.85,0.5624365482233502,0.4375634517766498,0.6722931247426924,0.3277068752573076,0.5238095238095238,0.47619047619047616,0.13157894736842105,1.9189189189189186,0.5151515151515151,22.0
Los Angeles Rams,407.0,5808.0,1057.0,5.5,34.0,16.0,333.0,312.0,522.0,3805.0,31.0,18.0,6.9,203.0,507.0,2003.0,16.0,4.0,114.0,78.0,587.0,16.0,0.0,0.0,59.8,5.9,3.4,7.7,7.3,12.8,89.3,28.0,197.0,6.6,5.1,49.0,322.0,0.0,6.6,59.0,1191.0,0.0,20.2,7533.0,1.0,1.0,12.0,9.0,10.0,8.0,8.0,6.0,1.0,0.0,32.0,24.0,75.0,48.0,45.0,93.8,76.0,3003.0,0.0,39.5,293.0,4986.0,1041.0,4.8,37.0,15.0,289.0,307.0,571.0,3300.0,17.0,22.0,5.3,166.0,414.0,1686.0,12.0,4.1,100.0,111.0,937.0,23.0,0.0,0.0,53.8,3.0,3.9,6.5,5.3,12.0,67.7,56.0,394.0,4.2,8.9,43.0,347.0,0.0,8.1,81.0,1563.0,1.0,19.3,23.0,16.0,69.6,35.0,35.0,100.0,93.0,3711.0,0.0,39.9,28.0,0.0,1.0,0.0,48.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4002.0,3.0,114.0,822.0,0.5203405865657521,0.4796594134342479,0.6551308539944903,0.34486914600550966,0.6595744680851063,0.34042553191489366,1.780701754385965,0.5615763546798029,0.04804804804804805,1.925,0.6023054755043228,0.3976945244956772,0.6618531889290012,0.33814681107099875,0.5862068965517241,0.4137931034482759,0.07958477508650519,1.5853658536585367,0.5714285714285714,8.0
Minnesota Vikings,406.0,5595.0,1068.0,5.2,30.0,12.0,318.0,294.0,520.0,3789.0,20.0,18.0,6.7,187.0,501.0,1806.0,22.0,3.6,112.0,118.0,998.0,19.0,0.0,0.0,56.5,3.8,3.5,7.9,7.1,13.9,80.4,47.0,311.0,6.0,8.3,59.0,553.0,0.0,9.4,56.0,1160.0,0.0,20.7,7663.0,3.0,2.0,7.0,7.0,10.0,10.0,5.0,1.0,0.0,0.0,25.0,20.0,80.0,49.0,48.0,98.0,86.0,3468.0,2.0,40.3,233.0,4091.0,952.0,4.3,53.0,17.0,243.0,219.0,480.0,2489.0,12.0,36.0,4.8,132.0,435.0,1602.0,10.0,3.7,85.0,91.0,753.0,26.0,0.0,0.0,45.6,2.5,7.5,5.8,2.9,12.6,41.2,37.0,274.0,2.1,7.2,39.0,405.0,0.0,10.4,81.0,1622.0,0.0,20.0,25.0,21.0,84.0,24.0,22.0,91.7,96.0,4061.0,0.0,42.3,22.0,2.0,5.0,0.0,49.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,4100.0,23.0,173.0,1504.0,0.5308988764044944,0.4691011235955056,0.6772117962466488,0.32278820375335116,0.47619047619047616,0.5238095238095238,1.6696428571428572,0.5989304812834224,0.059748427672955975,2.1944444444444446,0.5430672268907563,0.45693277310924374,0.6084087020288438,0.3915912979711562,0.5454545454545454,0.4545454545454546,0.10699588477366255,1.5675675675675675,0.5454545454545454,46.0
Philadelphia Eagles,379.0,5430.0,1102.0,4.9,26.0,9.0,318.0,309.0,581.0,3485.0,25.0,17.0,5.5,179.0,464.0,1945.0,17.0,4.2,105.0,115.0,907.0,34.0,0.0,0.0,53.2,4.3,2.9,6.8,6.3,12.7,76.7,57.0,442.0,5.0,8.9,33.0,233.0,0.0,7.1,59.0,1028.0,0.0,17.4,7147.0,2.0,2.0,10.0,9.0,11.0,8.0,6.0,3.0,3.0,1.0,32.0,23.0,71.9,43.0,42.0,97.7,104.0,4248.0,3.0,40.8,319.0,5799.0,1086.0,5.3,44.0,12.0,311.0,309.0,578.0,4147.0,23.0,32.0,6.7,199.0,466.0,1652.0,11.0,3.5,85.0,115.0,897.0,27.0,0.0,0.0,53.5,4.0,5.5,7.7,6.0,14.4,68.9,42.0,296.0,5.1,6.8,47.0,393.0,0.0,8.4,63.0,1266.0,0.0,20.1,29.0,20.0,69.0,37.0,35.0,94.6,85.0,3213.0,0.0,37.8,29.0,1.0,0.0,1.0,44.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3927.0,18.0,60.0,-369.0,0.5789473684210527,0.42105263157894735,0.641804788213628,0.35819521178637204,0.5952380952380952,0.40476190476190477,1.7047619047619047,0.5865921787709497,0.1069182389937107,1.6190476190476188,0.570902394106814,0.429097605893186,0.7151232971201932,0.2848767028798068,0.6764705882352942,0.32352941176470584,0.08681672025723473,2.2,0.3103448275862069,16.0
New York Jets,372.0,5215.0,1094.0,4.8,27.0,16.0,331.0,299.0,538.0,3083.0,20.0,11.0,5.3,181.0,514.0,2132.0,19.0,4.1,118.0,115.0,931.0,32.0,0.0,0.0,55.6,3.7,2.0,6.3,6.1,11.3,78.4,42.0,291.0,5.2,7.2,38.0,418.0,1.0,11.0,72.0,1404.0,0.0,19.5,7355.0,0.0,0.0,9.0,9.0,8.0,7.0,10.0,7.0,1.0,0.0,28.0,23.0,82.1,43.0,43.0,100.0,85.0,3310.0,0.0,38.9,354.0,5633.0,1038.0,5.4,40.0,16.0,310.0,244.0,476.0,3509.0,28.0,24.0,6.7,162.0,517.0,2124.0,15.0,4.1,123.0,89.0,757.0,25.0,0.0,0.0,51.3,5.9,5.0,8.0,6.9,15.7,76.9,45.0,314.0,5.7,8.6,34.0,201.0,0.0,5.9,70.0,1491.0,0.0,21.3,30.0,20.0,66.7,43.0,36.0,83.7,72.0,2743.0,0.0,38.1,32.0,0.0,3.0,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3374.0,13.0,18.0,-418.0,0.5301645338208409,0.46983546617915906,0.5911792905081495,0.40882070949185045,0.5128205128205128,0.4871794871794872,1.5338983050847457,0.6519337016574586,0.09667673716012085,1.5365853658536586,0.5019267822736031,0.4980732177263969,0.6229362684182496,0.37706373158175044,0.6511627906976745,0.34883720930232553,0.08064516129032258,1.9512195121951221,0.5,20.0
San Francisco 49ers,369.0,5900.0,1076.0,5.5,26.0,12.0,326.0,293.0,502.0,3377.0,21.0,14.0,6.2,167.0,527.0,2523.0,18.0,4.8,141.0,115.0,986.0,18.0,0.0,0.0,58.4,4.2,2.8,7.3,6.9,12.5,83.5,47.0,298.0,5.8,8.6,54.0,612.0,2.0,11.3,55.0,978.0,0.0,17.8,7766.0,1.0,1.0,10.0,9.0,11.0,9.0,11.0,7.0,5.0,1.0,38.0,27.0,71.1,41.0,40.0,97.6,80.0,3132.0,1.0,39.2,294.0,4575.0,1013.0,4.5,38.0,16.0,277.0,292.0,530.0,2987.0,25.0,22.0,5.2,160.0,441.0,1588.0,8.0,3.6,90.0,76.0,603.0,27.0,0.0,0.0,55.1,4.7,4.2,6.2,5.3,11.2,72.2,42.0,297.0,4.4,7.3,47.0,426.0,0.0,9.1,73.0,1362.0,0.0,18.7,24.0,18.0,75.0,34.0,34.0,100.0,86.0,3526.0,0.0,41.0,27.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3675.0,12.0,75.0,1325.0,0.5102230483271375,0.4897769516728625,0.5723728813559322,0.42762711864406777,0.5384615384615384,0.46153846153846156,1.1843971631205674,0.844311377245509,0.05521472392638037,1.5208333333333333,0.5646594274432379,0.43534057255676206,0.652896174863388,0.347103825136612,0.7575757575757576,0.24242424242424243,0.09747292418772563,1.7222222222222223,0.4444444444444444,2.0
New York Giants,359.0,4955.0,1078.0,4.6,27.0,13.0,317.0,290.0,525.0,3266.0,22.0,14.0,5.6,168.0,493.0,1689.0,15.0,3.4,123.0,88.0,660.0,26.0,0.0,0.0,55.2,4.2,2.7,7.1,6.7,12.8,80.5,60.0,450.0,5.3,10.3,47.0,359.0,0.0,7.6,62.0,1154.0,0.0,18.6,6979.0,0.0,0.0,7.0,7.0,12.0,9.0,8.0,7.0,3.0,1.0,30.0,24.0,80.0,41.0,39.0,95.1,81.0,3316.0,2.0,40.9,304.0,5086.0,1072.0,4.7,33.0,18.0,291.0,294.0,566.0,3327.0,23.0,15.0,5.4,177.0,454.0,1759.0,8.0,3.9,95.0,116.0,902.0,19.0,0.0,0.0,51.9,4.1,2.7,6.6,6.3,12.8,75.5,52.0,428.0,5.0,8.4,38.0,303.0,0.0,8.0,73.0,1269.0,0.0,17.4,33.0,25.0,75.8,32.0,31.0,96.9,93.0,3701.0,0.0,39.8,32.0,1.0,2.0,1.0,41.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3716.0,6.0,55.0,-131.0,0.5426716141001855,0.4573283858998145,0.6591321897073663,0.3408678102926337,0.5945945945945946,0.4054054054054054,1.3658536585365855,0.7321428571428571,0.08201892744479496,2.088235294117647,0.5764925373134329,0.42350746268656714,0.6541486433346442,0.3458513566653558,0.7419354838709677,0.25806451612903225,0.06529209621993128,1.6923076923076923,0.40625,26.0
Indianapolis Colts,354.0,4870.0,982.0,5.0,30.0,8.0,311.0,222.0,403.0,2621.0,15.0,22.0,6.0,130.0,545.0,2249.0,23.0,4.1,153.0,89.0,657.0,28.0,0.0,0.0,55.1,3.7,5.5,7.1,5.4,12.9,67.3,34.0,244.0,4.4,7.8,26.0,254.0,1.0,9.8,52.0,1033.0,0.0,19.9,6438.0,0.0,0.0,8.0,8.0,6.0,5.0,10.0,6.0,8.0,6.0,32.0,25.0,78.1,40.0,39.0,97.5,64.0,2784.0,0.0,43.5,315.0,5296.0,1016.0,5.2,35.0,20.0,315.0,321.0,539.0,3602.0,21.0,15.0,6.3,184.0,447.0,1694.0,14.0,3.8,109.0,118.0,965.0,22.0,0.0,0.0,59.6,3.9,2.8,7.1,6.6,11.8,82.5,30.0,201.0,5.9,5.3,37.0,418.0,1.0,11.3,67.0,1480.0,1.0,22.1,25.0,17.0,68.0,38.0,36.0,94.7,68.0,2679.0,0.0,39.4,20.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2865.0,5.0,39.0,-426.0,0.445010183299389,0.554989816700611,0.5381930184804928,0.46180698151950716,0.39473684210526316,0.6052631578947368,0.8496732026143791,1.176923076923077,0.09003215434083602,1.7317073170731707,0.5600393700787402,0.43996062992125984,0.6801359516616314,0.31986404833836857,0.6,0.4,0.06984126984126984,1.868421052631579,0.4,6.0
Washington Redskins,345.0,5679.0,1053.0,5.4,46.0,21.0,307.0,327.0,592.0,4136.0,33.0,25.0,6.7,202.0,437.0,1543.0,8.0,3.5,88.0,96.0,817.0,17.0,0.0,0.0,55.2,5.6,4.2,7.3,6.5,13.3,79.6,24.0,203.0,6.0,3.9,52.0,377.0,0.0,7.3,74.0,1355.0,0.0,18.3,7616.0,1.0,1.0,8.0,6.0,7.0,5.0,10.0,7.0,0.0,0.0,26.0,19.0,73.1,41.0,40.0,97.6,67.0,2601.0,1.0,38.8,387.0,5184.0,982.0,5.3,22.0,8.0,294.0,261.0,497.0,3439.0,24.0,14.0,6.4,153.0,442.0,1745.0,17.0,3.9,113.0,91.0,711.0,28.0,0.0,0.0,52.5,4.8,2.8,7.5,7.2,14.3,81.6,43.0,305.0,6.1,8.0,39.0,448.0,1.0,11.5,61.0,1111.0,0.0,18.2,36.0,22.0,61.1,46.0,43.0,93.5,79.0,3113.0,0.0,39.4,34.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4339.0,-24.0,-42.0,495.0,0.5849952516619183,0.41500474833808165,0.7282972354287727,0.27170276457122733,0.8048780487804879,0.19512195121951215,2.2954545454545454,0.43564356435643564,0.05537459283387622,2.085714285714286,0.5498981670061099,0.45010183299389006,0.6633873456790124,0.33661265432098764,0.5853658536585366,0.41463414634146345,0.09523809523809523,1.9230769230769231,0.6176470588235294,2.0
