Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,ExpectedPointsRunning,ExpectedPointsRunning_Defense,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored,TimeOfPossession,TimeOfPossession_Defense,AvgFieldPositionDifferential
New England Patriots,589.0,6580.0,1058.0,6.2,15.0,6.0,393.0,403.0,586.0,4731.0,50.0,9.0,7.8,243.0,451.0,1849.0,17.0,4.1,124.0,78.0,690.0,26.0,52.7,7.8,310.31,68.8,8.5,1.5,8.3,9.3,12.1,116.0,21.0,128.0,8.8,3.5,290.16,33.0,311.0,0.0,9.4,55.0,1384.0,2.0,25.2,8462.0,0.0,0.0,10.0,10.0,9.0,8.0,5.0,3.0,0.0,0.0,24.0,21.0,87.5,74.0,74.0,100.0,45.0,1862.0,1.0,41.4,274.0,4613.0,933.0,4.9,31.0,12.0,278.0,314.0,526.0,3041.0,23.0,19.0,5.3,172.0,360.0,1572.0,7.0,4.4,91.0,96.0,764.0,15.0,24.0,16.6,47.8,59.7,4.4,3.6,6.4,5.7,10.8,78.1,47.0,340.0,4.6,8.2,44.76,14.0,75.0,0.0,5.4,92.0,2030.0,1.0,22.1,14.0,12.0,85.7,34.0,34.0,100.0,76.0,3298.0,0.0,43.4,14.0,22.41,-7.17,167.0,6.5,39.3,32.3,187.0,3.19,175.0,5.4,26.3,27.0,150.0,1.41,3.0,3.0,0.0,75.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4859.0,16.0,315.0,1967.0,0.5737240075614367,0.4262759924385633,0.7189969604863222,0.2810030395136778,0.746268656716418,0.25373134328358204,1.9596774193548387,0.5102880658436214,0.06615776081424936,2.0243902439024395,0.6141479099678456,0.3858520900321544,0.6592239323650553,0.3407760676349447,0.7666666666666667,0.2333333333333333,0.0539568345323741,1.4545454545454546,0.42857142857142855,36.0,31229.0,26250.0,5.299999999999997
Dallas Cowboys,455.0,5851.0,975.0,6.0,24.0,5.0,322.0,342.0,531.0,4105.0,36.0,19.0,7.4,217.0,419.0,1746.0,14.0,4.2,83.0,104.0,815.0,22.0,41.8,12.6,117.63,64.4,6.8,3.6,8.1,7.8,12.5,97.1,25.0,185.0,7.1,4.5,144.81,26.0,227.0,0.0,8.7,61.0,1358.0,0.0,22.3,7647.0,0.0,0.0,12.0,10.0,7.0,7.0,7.0,7.0,5.0,2.0,31.0,26.0,83.9,53.0,53.0,100.0,63.0,2970.0,0.0,47.1,325.0,4922.0,1008.0,4.9,29.0,10.0,304.0,342.0,581.0,3409.0,19.0,19.0,5.4,195.0,381.0,1513.0,12.0,4.0,86.0,85.0,785.0,23.0,30.8,14.8,30.87,58.9,3.3,3.3,6.4,5.6,10.9,75.1,46.0,319.0,4.7,7.3,-1.65,35.0,406.0,1.0,11.6,86.0,1979.0,1.0,23.0,31.0,25.0,80.6,34.0,34.0,100.0,73.0,3285.0,0.0,45.0,21.0,-8.97,25.57,182.0,5.5,32.1,31.9,161.0,2.35,182.0,5.7,27.0,29.9,155.0,1.6,1.0,2.0,1.0,54.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4290.0,5.0,130.0,929.0,0.5702564102564103,0.4297435897435897,0.7015894718851479,0.2984105281148521,0.72,0.28,2.6144578313253013,0.3824884792626728,0.06832298136645963,1.9285714285714284,0.6220238095238095,0.3779761904761905,0.6926046322633076,0.3073953677366924,0.6129032258064516,0.3870967741935484,0.0756578947368421,1.6,0.2380952380952381,24.0,29302.0,28210.0,2.0
Indianapolis Colts,450.0,5739.0,1020.0,5.6,19.0,5.0,357.0,355.0,551.0,4033.0,32.0,14.0,7.0,212.0,446.0,1706.0,19.0,3.8,119.0,67.0,515.0,26.0,44.6,11.4,177.78,64.4,5.8,2.5,7.6,7.6,11.8,96.1,23.0,139.0,7.0,4.0,167.7,25.0,280.0,1.0,11.2,53.0,1157.0,0.0,21.8,7389.0,1.0,1.0,15.0,14.0,10.0,8.0,2.0,0.0,1.0,0.0,29.0,23.0,79.3,51.0,49.0,96.1,52.0,2181.0,0.0,41.9,262.0,4475.0,980.0,4.6,37.0,15.0,288.0,325.0,498.0,2764.0,16.0,22.0,5.3,162.0,454.0,1711.0,10.0,3.8,111.0,85.0,722.0,15.0,25.3,21.6,42.77,65.3,3.2,4.4,5.9,4.5,9.0,73.3,28.0,162.0,4.0,5.3,3.35,22.0,305.0,1.0,13.9,81.0,2029.0,3.0,25.0,20.0,15.0,75.0,27.0,27.0,100.0,56.0,2475.0,0.0,44.2,14.0,16.05,30.25,166.0,6.3,34.6,31.8,172.0,2.57,162.0,6.2,27.7,29.1,179.0,1.4,1.0,1.0,0.0,54.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,4172.0,18.0,188.0,1264.0,0.5627450980392157,0.4372549019607843,0.7027356682348841,0.2972643317651159,0.6274509803921569,0.3725490196078432,1.7815126050420167,0.5613207547169812,0.07282913165266107,2.0,0.536734693877551,0.463265306122449,0.6176536312849162,0.38234636871508376,0.6153846153846154,0.3846153846153846,0.052083333333333336,1.5526315789473686,0.35714285714285715,16.0,28552.0,28998.0,2.6999999999999993
Green Bay Packers,435.0,5931.0,985.0,6.0,24.0,9.0,307.0,383.0,578.0,4334.0,30.0,15.0,7.3,210.0,388.0,1597.0,13.0,4.1,69.0,113.0,1006.0,28.0,38.9,12.1,101.36,66.3,5.2,2.6,7.7,7.6,11.6,95.9,19.0,127.0,7.1,3.2,151.93,48.0,492.0,2.0,10.3,62.0,1349.0,0.0,21.8,7925.0,1.0,1.0,8.0,8.0,11.0,10.0,14.0,9.0,5.0,3.0,39.0,31.0,79.5,48.0,48.0,100.0,62.0,2753.0,2.0,44.4,291.0,5013.0,994.0,5.0,28.0,9.0,297.0,295.0,534.0,3366.0,23.0,19.0,5.9,176.0,424.0,1647.0,6.0,3.9,77.0,118.0,908.0,44.0,29.1,13.2,65.77,55.2,4.3,3.6,6.7,6.0,12.1,75.6,36.0,218.0,5.2,6.3,5.17,19.0,113.0,0.0,5.9,77.0,1610.0,0.0,20.9,27.0,24.0,88.9,29.0,29.0,100.0,80.0,3400.0,0.0,42.5,25.0,-42.03,42.39,190.0,5.4,31.0,31.5,153.0,2.07,182.0,5.6,27.5,28.6,157.0,1.51,3.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4461.0,4.0,144.0,918.0,0.6060913705583756,0.3939086294416244,0.7307368066093407,0.2692631933906593,0.6976744186046512,0.3023255813953488,3.0434782608695654,0.32857142857142857,0.09120521172638436,1.878048780487805,0.5734406438631791,0.42655935613682094,0.6714542190305206,0.3285457809694794,0.7931034482758621,0.2068965517241379,0.14814814814814814,1.717948717948718,0.36,24.0,29070.0,28574.0,2.8999999999999986
San Diego Chargers,412.0,5044.0,980.0,5.1,24.0,8.0,278.0,281.0,471.0,3005.0,22.0,16.0,6.1,158.0,485.0,2039.0,19.0,4.2,104.0,94.0,761.0,16.0,34.0,12.6,8.78,59.7,4.7,3.4,6.7,6.1,11.3,81.3,24.0,170.0,5.5,4.8,51.64,32.0,281.0,1.0,8.8,48.0,1224.0,1.0,25.5,6747.0,0.0,0.0,11.0,11.0,6.0,5.0,8.0,7.0,2.0,1.0,27.0,24.0,88.9,46.0,46.0,100.0,82.0,3781.0,1.0,46.1,284.0,5124.0,1013.0,5.1,48.0,18.0,297.0,338.0,555.0,3412.0,20.0,30.0,5.7,185.0,416.0,1712.0,11.0,4.1,89.0,86.0,665.0,23.0,23.8,22.7,86.33,60.9,3.6,5.4,6.6,4.9,10.9,70.0,42.0,272.0,4.1,7.0,37.77,29.0,311.0,0.0,10.7,75.0,1566.0,0.0,20.9,19.0,13.0,68.4,33.0,33.0,100.0,69.0,2960.0,0.0,42.9,17.0,-32.75,41.1,191.0,5.3,26.4,31.8,151.0,1.88,185.0,5.6,27.5,29.6,158.0,1.38,3.0,2.0,1.0,49.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3175.0,24.0,128.0,-80.0,0.5051020408163265,0.4948979591836735,0.5957573354480571,0.4042426645519429,0.5365853658536586,0.4634146341463414,1.5192307692307692,0.6582278481012658,0.05755395683453238,1.5952380952380951,0.5893385982230998,0.41066140177690025,0.6658860265417642,0.3341139734582358,0.6451612903225806,0.3548387096774194,0.07744107744107744,1.6097560975609757,0.4705882352941176,36.0,28841.0,29230.0,2.1999999999999993
Jacksonville Jaguars,411.0,5719.0,1022.0,5.6,21.0,13.0,328.0,288.0,469.0,3328.0,28.0,8.0,6.7,180.0,522.0,2391.0,18.0,4.6,127.0,76.0,594.0,21.0,39.6,10.1,120.14,61.4,6.0,1.7,7.5,7.9,12.1,97.1,31.0,167.0,7.1,6.2,107.68,32.0,324.0,0.0,10.1,49.0,1110.0,1.0,22.7,7387.0,2.0,2.0,9.0,9.0,6.0,6.0,7.0,4.0,0.0,0.0,24.0,21.0,87.5,48.0,46.0,95.8,54.0,2249.0,0.0,41.6,304.0,5021.0,970.0,5.2,30.0,10.0,286.0,319.0,543.0,3416.0,20.0,20.0,5.9,181.0,390.0,1605.0,12.0,4.1,92.0,82.0,636.0,13.0,29.2,17.0,0.71,58.7,3.7,3.7,6.7,5.8,11.5,76.1,37.0,244.0,5.0,6.4,-29.7,28.0,218.0,0.0,7.8,67.0,1323.0,2.0,19.7,23.0,18.0,78.3,32.0,32.0,100.0,66.0,2871.0,0.0,43.5,18.0,19.5,20.4,169.0,6.2,33.8,30.2,182.0,2.28,171.0,5.8,29.4,29.6,156.0,1.63,1.0,2.0,0.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3495.0,9.0,107.0,698.0,0.4892367906066536,0.5107632093933464,0.5819199160692429,0.4180800839307571,0.6086956521739131,0.3913043478260869,1.4173228346456692,0.7055555555555556,0.06402439024390244,1.6304347826086958,0.5979381443298969,0.4020618556701031,0.6803425612427804,0.31965743875721964,0.625,0.375,0.045454545454545456,1.6341463414634148,0.7222222222222222,18.0,30758.0,26676.0,0.5999999999999979
Arizona Cardinals,404.0,5505.0,1016.0,5.4,36.0,12.0,308.0,356.0,590.0,4065.0,32.0,24.0,6.6,210.0,402.0,1440.0,9.0,3.6,70.0,137.0,1128.0,28.0,32.0,18.3,-11.3,60.3,5.4,4.1,7.2,6.4,11.9,83.4,24.0,163.0,5.9,3.9,42.86,42.0,395.0,1.0,9.4,74.0,1682.0,0.0,22.7,7741.0,2.0,2.0,5.0,5.0,8.0,6.0,6.0,5.0,9.0,3.0,30.0,21.0,70.0,48.0,47.0,97.9,80.0,3238.0,1.0,40.5,399.0,5283.0,1013.0,5.2,29.0,11.0,298.0,361.0,570.0,3716.0,26.0,18.0,6.1,185.0,407.0,1567.0,13.0,3.9,90.0,118.0,881.0,23.0,34.9,14.6,42.21,63.3,4.6,3.2,6.9,6.4,11.0,85.8,36.0,242.0,5.7,5.9,-2.54,38.0,496.0,1.0,13.1,60.0,1389.0,0.0,23.2,33.0,28.0,84.8,39.0,39.0,100.0,73.0,3183.0,0.0,43.6,27.0,-37.14,35.21,197.0,5.3,27.6,32.5,149.0,1.81,192.0,5.5,27.4,32.0,152.0,1.86,1.0,6.0,0.0,49.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,4228.0,-7.0,5.0,222.0,0.6043307086614174,0.39566929133858253,0.7384196185286104,0.2615803814713896,0.7804878048780488,0.2195121951219512,3.0,0.3333333333333333,0.09090909090909093,2.0,0.5982230997038499,0.4017769002961501,0.7033882263865228,0.29661177361347724,0.6666666666666666,0.33333333333333337,0.07718120805369127,1.7692307692307694,0.4444444444444444,42.0,29353.0,29184.0,0.5
Cleveland Browns,402.0,5621.0,1004.0,5.6,29.0,9.0,315.0,305.0,545.0,3726.0,29.0,20.0,6.6,192.0,440.0,1895.0,13.0,4.3,110.0,114.0,868.0,13.0,35.4,14.6,-2.69,56.0,5.3,3.7,7.1,6.5,12.7,80.7,19.0,140.0,6.0,3.4,21.73,30.0,405.0,1.0,13.5,72.0,1943.0,2.0,27.0,8098.0,2.0,2.0,10.0,9.0,8.0,7.0,8.0,7.0,2.0,1.0,30.0,26.0,86.7,43.0,42.0,97.7,69.0,2895.0,0.0,42.0,382.0,5753.0,1066.0,5.4,27.0,10.0,335.0,340.0,578.0,3681.0,29.0,17.0,6.1,211.0,460.0,2072.0,8.0,4.5,100.0,80.0,581.0,24.0,36.9,13.4,-28.56,58.8,5.0,2.9,6.7,6.4,11.4,83.4,28.0,186.0,5.8,4.6,-48.29,34.0,308.0,1.0,9.1,76.0,1590.0,0.0,20.9,35.0,32.0,91.4,38.0,38.0,100.0,69.0,2774.0,0.0,40.2,22.0,-11.28,10.9,192.0,5.4,29.2,33.2,147.0,1.94,187.0,5.9,30.6,32.1,160.0,1.9,0.0,1.0,0.0,46.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3866.0,-2.0,20.0,-132.0,0.5617529880478087,0.4382470119521913,0.6628713752001423,0.3371286247998577,0.6904761904761905,0.30952380952380953,1.7454545454545454,0.5729166666666666,0.04126984126984127,1.6511627906976745,0.5684803001876173,0.4315196998123827,0.6398400834347298,0.36015991656527024,0.7837837837837838,0.21621621621621626,0.07164179104477612,1.4888888888888892,0.4090909090909091,8.0,28224.0,29920.0,1.1000000000000014
Seattle Seahawks,393.0,5583.0,1056.0,5.3,24.0,11.0,323.0,371.0,590.0,3964.0,30.0,13.0,6.3,211.0,430.0,1619.0,9.0,3.8,93.0,59.0,428.0,19.0,33.2,11.4,8.97,62.9,5.1,2.2,7.1,7.1,11.3,91.8,36.0,217.0,6.4,5.8,75.61,58.0,658.0,1.0,11.3,53.0,1173.0,2.0,22.1,7629.0,0.0,0.0,12.0,12.0,5.0,5.0,12.0,8.0,5.0,3.0,34.0,28.0,82.4,43.0,43.0,100.0,86.0,3436.0,0.0,40.0,291.0,5149.0,1035.0,5.0,34.0,14.0,278.0,333.0,568.0,3505.0,15.0,20.0,5.7,183.0,422.0,1644.0,16.0,3.9,78.0,99.0,756.0,17.0,25.5,15.9,118.05,58.6,2.6,3.5,6.7,5.6,11.4,73.0,45.0,303.0,4.7,7.3,37.03,37.0,362.0,0.0,9.8,72.0,1790.0,0.0,24.9,27.0,22.0,81.5,28.0,27.0,96.4,93.0,4324.0,0.0,46.5,21.0,-60.81,64.07,202.0,5.4,27.5,31.7,142.0,1.77,208.0,5.1,24.7,31.1,140.0,1.36,1.0,1.0,0.0,44.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4181.0,10.0,102.0,434.0,0.5928030303030303,0.4071969696969697,0.7100125380619738,0.28998746193802616,0.7692307692307693,0.23076923076923075,2.2688172043010755,0.44075829383886256,0.05882352941176471,1.868421052631579,0.5922705314009662,0.4077294685990338,0.680714701883861,0.31928529811613904,0.4838709677419355,0.5161290322580645,0.06115107913669065,1.717948717948718,0.5238095238095238,14.0,28684.0,29120.0,0.5999999999999979
Pittsburgh Steelers,393.0,5239.0,1000.0,5.2,22.0,8.0,298.0,282.0,442.0,3071.0,34.0,14.0,6.3,179.0,511.0,2168.0,9.0,4.2,108.0,80.0,651.0,11.0,37.7,11.4,58.06,63.8,7.7,3.2,7.7,7.8,12.1,99.9,47.0,347.0,6.4,9.6,99.53,39.0,238.0,0.0,6.1,52.0,1145.0,1.0,22.0,6971.0,0.0,0.0,9.0,9.0,10.0,10.0,5.0,4.0,1.0,0.0,25.0,23.0,92.0,44.0,44.0,100.0,68.0,2880.0,0.0,42.4,269.0,4262.0,933.0,4.6,25.0,14.0,249.0,292.0,536.0,2824.0,22.0,11.0,4.9,158.0,361.0,1438.0,6.0,4.0,74.0,73.0,556.0,17.0,26.3,13.1,86.45,54.5,4.1,2.1,5.7,5.6,10.5,76.5,36.0,243.0,4.8,6.3,55.45,31.0,266.0,1.0,8.6,73.0,1647.0,1.0,22.6,22.0,18.0,81.8,30.0,29.0,96.7,82.0,3526.0,0.0,43.0,21.0,-32.69,22.34,175.0,5.9,29.8,32.4,184.0,2.11,175.0,5.5,24.2,29.7,147.0,1.43,0.0,2.0,0.0,46.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3418.0,3.0,124.0,977.0,0.489,0.511,0.5861805688108418,0.4138194311891582,0.7906976744186046,0.2093023255813954,1.6574074074074074,0.6033519553072626,0.03691275167785235,1.8333333333333333,0.6130760986066452,0.3869239013933548,0.662599718442046,0.33740028155795393,0.7857142857142857,0.2142857142857143,0.06827309236947791,1.425,0.3809523809523809,12.0,32200.0,25725.0,2.6999999999999993
