Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,ExpectedPointsRunning,ExpectedPointsRunning_Defense,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored,TimeOfPossession,TimeOfPossession_Defense,AvgFieldPositionDifferential
New Orleans Saints,463.0,6571.0,1047.0,6.3,26.0,8.0,354.0,413.0,636.0,4977.0,34.0,18.0,7.7,232.0,398.0,1594.0,20.0,4.0,103.0,86.0,797.0,19.0,42.7,14.0,159.5,64.9,5.3,2.8,8.0,7.8,12.3,95.4,13.0,92.0,7.5,2.0,174.21,26.0,310.0,3.0,11.9,62.0,1496.0,0.0,24.1,8448.0,0.0,0.0,6.0,6.0,9.0,8.0,10.0,7.0,2.0,1.0,27.0,22.0,81.5,54.0,53.0,98.1,53.0,2364.0,0.0,44.6,393.0,5432.0,999.0,5.4,22.0,7.0,299.0,299.0,526.0,3547.0,21.0,15.0,6.4,180.0,445.0,1885.0,14.0,4.2,100.0,84.0,637.0,19.0,39.7,11.5,-64.42,56.8,4.0,2.9,7.0,6.6,12.4,80.3,28.0,161.0,5.9,5.1,-62.23,34.0,363.0,0.0,10.7,76.0,1827.0,1.0,24.0,39.0,34.0,87.2,37.0,37.0,100.0,66.0,2713.0,0.0,41.1,18.0,-6.46,-11.74,178.0,6.0,36.7,29.9,164.0,2.49,174.0,6.0,31.2,30.3,164.0,1.99,0.0,0.0,0.0,57.0,0.0,3.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,5069.0,-4.0,70.0,1139.0,0.6198662846227316,0.3801337153772684,0.7574189621062243,0.2425810378937757,0.6296296296296297,0.3703703703703704,2.2524271844660197,0.44396551724137934,0.05367231638418079,2.0,0.5545545545545546,0.4454454454454454,0.6529823269513991,0.3470176730486009,0.6,0.4,0.06354515050167224,1.6666666666666663,0.4444444444444444,2.0,29192.0,28536.0,-0.40000000000000213
San Diego Chargers,439.0,5584.0,924.0,6.0,20.0,9.0,301.0,312.0,478.0,3858.0,34.0,11.0,7.7,191.0,421.0,1726.0,13.0,4.1,92.0,95.0,748.0,18.0,43.5,10.6,133.07,65.3,7.1,2.3,8.4,8.8,12.8,105.5,25.0,151.0,8.0,5.0,142.09,26.0,269.0,0.0,10.3,62.0,1485.0,1.0,24.0,7591.0,0.0,0.0,13.0,13.0,10.0,10.0,8.0,3.0,1.0,1.0,32.0,27.0,84.4,46.0,46.0,100.0,51.0,2332.0,0.0,45.7,347.0,5599.0,1041.0,5.4,24.0,9.0,339.0,411.0,605.0,3958.0,25.0,15.0,6.3,213.0,408.0,1641.0,11.0,4.0,98.0,78.0,708.0,28.0,35.5,13.0,-51.55,67.9,4.1,2.5,6.8,6.5,10.0,90.3,28.0,132.0,6.0,4.4,-72.23,23.0,146.0,0.0,6.3,86.0,1943.0,1.0,22.6,31.0,24.0,77.4,33.0,31.0,93.9,60.0,2634.0,0.0,43.9,18.0,1.79,6.93,170.0,5.6,32.8,30.6,163.0,2.41,169.0,6.3,33.1,29.7,177.0,1.92,1.0,2.0,0.0,51.0,2.0,5.0,1.0,1.0,1.0,0.0,6.0,0.0,3.0,4009.0,4.0,92.0,-15.0,0.5443722943722944,0.4556277056277056,0.6909025787965616,0.3090974212034384,0.7234042553191491,0.276595744680851,2.0760869565217392,0.4816753926701571,0.05980066445182725,2.048780487804878,0.6080691642651297,0.3919308357348703,0.7069119485622433,0.29308805143775674,0.6944444444444444,0.3055555555555556,0.08259587020648967,1.7,0.5,20.0,27710.0,29913.0,0.9000000000000021
New York Giants,427.0,5695.0,1021.0,5.6,13.0,3.0,338.0,298.0,491.0,3177.0,23.0,10.0,6.1,176.0,502.0,2518.0,19.0,5.0,130.0,102.0,821.0,32.0,43.8,7.3,91.08,60.7,4.7,2.0,6.8,6.8,11.3,88.2,28.0,176.0,6.1,5.4,64.69,39.0,337.0,0.0,8.6,55.0,1284.0,0.0,23.3,7504.0,1.0,1.0,15.0,15.0,15.0,14.0,7.0,5.0,1.0,1.0,39.0,36.0,92.3,41.0,41.0,100.0,64.0,2814.0,0.0,44.0,294.0,4672.0,931.0,5.0,22.0,5.0,268.0,296.0,503.0,3139.0,17.0,17.0,5.8,165.0,386.0,1533.0,14.0,4.0,78.0,111.0,866.0,25.0,28.9,12.1,28.74,58.8,3.4,3.4,6.8,6.0,11.6,76.7,42.0,288.0,5.0,7.7,-2.25,24.0,140.0,0.0,5.8,85.0,1912.0,0.0,22.5,26.0,19.0,73.1,31.0,31.0,100.0,76.0,3298.0,0.0,43.4,18.0,32.2,24.41,178.0,6.0,32.0,32.3,180.0,2.26,173.0,5.5,26.8,29.0,152.0,1.58,0.0,2.0,1.0,45.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,3353.0,9.0,133.0,1023.0,0.5083251714005876,0.4916748285994124,0.5578577699736611,0.4421422300263389,0.5476190476190477,0.4523809523809523,1.353846153846154,0.7386363636363636,0.09467455621301776,1.36,0.5853920515574651,0.4146079484425349,0.671875,0.328125,0.5483870967741935,0.4516129032258065,0.09328358208955224,1.7,0.16666666666666666,24.0,32040.0,26296.0,3.299999999999997
Arizona Cardinals,427.0,5852.0,998.0,5.9,30.0,15.0,328.0,418.0,630.0,4674.0,31.0,15.0,7.1,231.0,340.0,1178.0,14.0,3.5,72.0,107.0,781.0,25.0,39.3,15.7,88.71,66.3,4.9,2.4,7.7,7.7,11.7,96.1,28.0,201.0,7.0,4.3,169.46,33.0,237.0,0.0,7.2,75.0,1630.0,1.0,21.7,7964.0,0.0,0.0,9.0,9.0,11.0,9.0,6.0,6.0,2.0,1.0,28.0,25.0,89.3,44.0,44.0,100.0,60.0,2509.0,0.0,41.8,426.0,5304.0,993.0,5.3,30.0,17.0,312.0,323.0,517.0,3540.0,36.0,13.0,6.5,172.0,445.0,1764.0,13.0,4.0,117.0,98.0,816.0,23.0,38.7,15.5,-36.28,62.5,7.0,2.5,7.2,7.5,11.6,96.9,31.0,191.0,6.7,5.7,-77.57,29.0,381.0,1.0,13.1,69.0,1724.0,1.0,25.0,27.0,21.0,77.8,49.0,49.0,100.0,61.0,2776.0,0.0,45.5,27.0,-63.88,27.01,178.0,5.8,32.9,30.8,163.0,2.19,181.0,5.6,29.2,32.9,158.0,2.24,1.0,2.0,2.0,51.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4875.0,0.0,1.0,548.0,0.6593186372745491,0.3406813627254509,0.7987012987012987,0.2012987012987013,0.6888888888888889,0.3111111111111111,3.208333333333333,0.3116883116883117,0.07621951219512195,2.2,0.5518630412890232,0.4481369587109768,0.667420814479638,0.33257918552036203,0.7346938775510204,0.26530612244897955,0.07371794871794872,1.8,0.5555555555555556,30.0,29014.0,28598.0,-2.099999999999998
Green Bay Packers,419.0,5618.0,1012.0,5.6,21.0,8.0,299.0,343.0,541.0,3813.0,28.0,13.0,6.6,182.0,437.0,1805.0,11.0,4.1,99.0,110.0,984.0,18.0,36.9,11.2,64.12,63.4,5.2,2.4,7.5,7.4,11.8,93.3,34.0,231.0,6.6,5.9,82.1,37.0,398.0,2.0,10.8,69.0,1387.0,0.0,20.1,7641.0,1.0,1.0,8.0,8.0,13.0,10.0,6.0,5.0,6.0,3.0,34.0,27.0,79.4,46.0,46.0,100.0,65.0,2688.0,0.0,41.4,380.0,5349.0,1003.0,5.3,28.0,6.0,295.0,287.0,518.0,3244.0,22.0,22.0,6.0,141.0,458.0,2105.0,20.0,4.6,121.0,89.0,721.0,33.0,34.9,14.1,7.01,55.4,4.2,4.2,6.5,5.5,11.8,71.9,27.0,140.0,4.9,5.0,22.34,33.0,249.0,0.0,7.5,72.0,1687.0,0.0,23.4,30.0,25.0,83.3,39.0,39.0,100.0,76.0,3367.0,0.0,44.3,25.0,-15.98,-25.59,179.0,5.8,31.2,28.2,170.0,1.98,192.0,5.4,27.9,32.4,145.0,1.92,1.0,6.0,0.0,48.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,4044.0,7.0,39.0,269.0,0.5681818181818182,0.43181818181818177,0.6787112851548593,0.32128871484514065,0.7179487179487181,0.28205128205128205,1.8383838383838385,0.5439560439560439,0.06020066889632107,1.8292682926829267,0.543369890329013,0.4566301096709871,0.6064684987848196,0.3935315012151804,0.5238095238095238,0.4761904761904762,0.11186440677966103,1.4130434782608696,0.32,42.0,30430.0,27840.0,-4.199999999999999
Philadelphia Eagles,416.0,5608.0,1056.0,5.3,26.0,10.0,318.0,362.0,606.0,3911.0,23.0,16.0,6.2,204.0,427.0,1697.0,15.0,4.0,94.0,74.0,635.0,20.0,35.5,11.5,24.99,59.7,3.8,2.6,6.7,6.3,11.2,81.4,23.0,149.0,5.8,3.7,59.11,52.0,446.0,1.0,8.6,60.0,1411.0,1.0,23.5,7776.0,2.0,2.0,11.0,11.0,12.0,10.0,10.0,8.0,5.0,2.0,40.0,33.0,82.5,45.0,45.0,100.0,78.0,3377.0,1.0,43.3,289.0,4389.0,994.0,4.4,29.0,14.0,248.0,284.0,525.0,2913.0,19.0,15.0,5.1,144.0,421.0,1476.0,7.0,3.5,79.0,81.0,598.0,25.0,25.3,13.6,169.75,54.1,3.6,2.9,6.1,5.6,11.4,72.9,48.0,312.0,4.6,8.4,98.48,41.0,296.0,0.0,7.2,75.0,1698.0,1.0,22.6,28.0,24.0,85.7,29.0,29.0,100.0,101.0,4292.0,0.0,42.5,16.0,-29.13,61.42,200.0,5.5,28.0,31.2,151.0,1.83,198.0,5.2,22.1,31.1,143.0,1.28,3.0,2.0,0.0,45.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,4060.0,3.0,127.0,1219.0,0.5956439393939394,0.40435606060606055,0.6973965763195435,0.30260342368045645,0.6052631578947368,0.3947368421052632,2.1702127659574466,0.4607843137254902,0.06289308176100629,1.675,0.5764587525150905,0.4235412474849095,0.6637047163362952,0.3362952836637048,0.7307692307692307,0.2692307692307693,0.10080645161290322,1.7428571428571429,0.625,32.0,30200.0,28314.0,0.09999999999999787
Carolina Panthers,414.0,5595.0,938.0,6.0,19.0,7.0,287.0,246.0,414.0,3158.0,15.0,12.0,7.3,152.0,504.0,2437.0,30.0,4.8,118.0,94.0,637.0,17.0,38.0,9.9,48.11,59.4,3.6,2.9,7.9,7.4,13.4,84.7,20.0,130.0,6.7,4.6,39.47,42.0,453.0,0.0,10.8,60.0,1372.0,0.0,22.9,7622.0,0.0,0.0,7.0,7.0,9.0,9.0,12.0,11.0,3.0,1.0,31.0,28.0,90.3,46.0,46.0,100.0,76.0,3349.0,3.0,44.1,329.0,5299.0,1026.0,5.2,25.0,13.0,296.0,333.0,557.0,3387.0,19.0,12.0,5.7,178.0,432.0,1912.0,14.0,4.4,100.0,88.0,736.0,18.0,30.8,12.4,8.47,59.8,3.4,2.2,6.5,6.2,10.9,81.4,37.0,230.0,5.4,6.2,0.6,41.0,276.0,1.0,6.7,59.0,1292.0,0.0,21.9,28.0,24.0,85.7,32.0,31.0,96.9,80.0,3672.0,0.0,45.9,12.0,26.42,9.47,192.0,5.0,29.2,31.8,147.0,2.08,185.0,5.7,28.4,27.6,160.0,1.64,2.0,0.0,0.0,47.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,3288.0,6.0,85.0,296.0,0.4626865671641791,0.5373134328358209,0.5644325290437889,0.43556747095621096,0.3333333333333333,0.6666666666666667,1.2881355932203389,0.7763157894736842,0.05923344947735192,1.6458333333333337,0.5789473684210527,0.42105263157894735,0.6391772032458954,0.36082279675410456,0.5757575757575758,0.4242424242424242,0.060810810810810814,1.4772727272727268,0.5833333333333334,12.0,28224.0,29600.0,4.199999999999999
New England Patriots,410.0,5847.0,1095.0,5.3,21.0,10.0,356.0,339.0,534.0,3569.0,21.0,11.0,6.1,186.0,513.0,2278.0,21.0,4.4,145.0,57.0,501.0,25.0,44.8,11.5,116.71,63.5,3.9,2.1,7.1,7.0,11.2,89.1,48.0,221.0,6.0,8.2,70.3,36.0,371.0,0.0,10.3,62.0,1562.0,1.0,25.2,7992.0,0.0,0.0,12.0,10.0,16.0,16.0,11.0,9.0,1.0,1.0,40.0,36.0,90.0,40.0,40.0,100.0,50.0,2200.0,0.0,44.0,309.0,4944.0,920.0,5.4,22.0,8.0,268.0,288.0,474.0,3222.0,27.0,14.0,6.4,176.0,415.0,1722.0,8.0,4.1,78.0,81.0,636.0,14.0,30.6,12.9,-23.69,60.8,5.7,3.0,7.3,7.1,12.0,89.8,31.0,239.0,6.2,6.1,-69.15,11.0,158.0,0.0,14.4,75.0,1672.0,2.0,22.3,21.0,17.0,81.0,35.0,34.0,97.1,75.0,3225.0,0.0,43.0,17.0,46.77,36.52,174.0,6.5,33.5,33.3,179.0,2.31,170.0,5.5,29.1,27.8,158.0,1.74,0.0,0.0,0.0,43.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3790.0,1.0,101.0,903.0,0.5315068493150685,0.4684931506849314,0.6103984949546776,0.3896015050453224,0.5,0.5,1.282758620689655,0.7795698924731183,0.0702247191011236,1.6136363636363635,0.5489130434782609,0.4510869565217392,0.6516990291262136,0.3483009708737864,0.7714285714285715,0.2285714285714285,0.05223880597014925,1.7804878048780488,0.5882352941176471,0.0,31146.0,26860.0,5.4999999999999964
New York Jets,405.0,5307.0,981.0,5.4,31.0,8.0,308.0,347.0,529.0,3303.0,22.0,23.0,5.9,186.0,422.0,2004.0,20.0,4.7,94.0,77.0,569.0,28.0,37.3,16.9,27.89,65.6,4.2,4.3,6.6,5.5,10.1,80.2,30.0,213.0,4.8,5.4,29.53,29.0,303.0,0.0,10.4,61.0,1407.0,1.0,23.1,7269.0,0.0,0.0,9.0,9.0,13.0,9.0,5.0,4.0,2.0,2.0,29.0,24.0,82.8,41.0,41.0,100.0,59.0,2533.0,1.0,42.9,356.0,5270.0,1020.0,5.2,30.0,16.0,315.0,368.0,572.0,3752.0,23.0,14.0,6.1,209.0,407.0,1518.0,10.0,3.7,86.0,93.0,663.0,20.0,33.3,16.9,24.32,64.3,4.0,2.4,7.0,6.7,10.9,88.1,41.0,253.0,5.8,6.7,-31.33,29.0,288.0,0.0,9.9,73.0,1568.0,0.0,21.5,28.0,25.0,89.3,37.0,37.0,100.0,69.0,2995.0,0.0,43.4,22.0,11.48,49.68,177.0,5.7,29.8,31.4,169.0,2.07,177.0,5.9,29.5,30.2,164.0,1.77,2.0,3.0,0.0,48.0,2.0,6.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,3516.0,-1.0,49.0,37.0,0.5698267074413863,0.4301732925586137,0.6223855285472019,0.3776144714527981,0.5238095238095238,0.4761904761904762,1.9787234042553192,0.5053763440860215,0.09090909090909093,1.404255319148936,0.6009803921568627,0.3990196078431373,0.7119544592030358,0.288045540796964,0.696969696969697,0.303030303030303,0.06349206349206349,1.891891891891892,0.3636363636363637,30.0,29913.0,29028.0,1.1999999999999993
Atlanta Falcons,391.0,5779.0,1011.0,5.7,21.0,10.0,313.0,265.0,434.0,3336.0,16.0,11.0,7.4,157.0,560.0,2443.0,23.0,4.4,131.0,71.0,591.0,25.0,39.7,10.3,88.17,61.1,3.7,2.5,7.9,7.5,13.0,87.7,17.0,104.0,7.0,3.8,100.79,43.0,379.0,1.0,8.8,59.0,1408.0,0.0,23.9,7665.0,0.0,0.0,11.0,11.0,8.0,7.0,10.0,10.0,2.0,1.0,31.0,29.0,93.5,42.0,42.0,100.0,65.0,2647.0,2.0,40.7,325.0,5566.0,998.0,5.6,18.0,8.0,309.0,325.0,549.0,3526.0,20.0,10.0,6.0,189.0,415.0,2040.0,17.0,4.9,108.0,109.0,854.0,12.0,32.0,9.0,-46.95,59.2,3.6,1.8,6.9,6.8,11.6,84.6,34.0,245.0,6.0,5.8,-42.4,20.0,49.0,0.0,2.5,71.0,1536.0,0.0,21.6,25.0,20.0,80.0,35.0,35.0,100.0,76.0,3458.0,0.0,45.5,18.0,-11.66,-20.95,174.0,6.0,33.1,30.6,172.0,2.11,178.0,5.7,31.1,27.3,159.0,1.79,1.0,2.0,0.0,43.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3440.0,-3.0,66.0,213.0,0.4460929772502473,0.5539070227497527,0.577262502163004,0.42273749783699605,0.41025641025641024,0.5897435897435898,1.1984732824427482,0.8343949044585988,0.07987220447284345,1.7954545454545454,0.5841683366733467,0.4158316633266533,0.6334890406036651,0.3665109593963349,0.5405405405405406,0.4594594594594594,0.03883495145631068,1.4081632653061225,0.5555555555555556,20.0,29928.0,28302.0,3.3000000000000007
