Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,ExpectedPointsRunning,ExpectedPointsRunning_Defense,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored,TimeOfPossession,TimeOfPossession_Defense,AvgFieldPositionDifferential
St. Louis Rams,540.0,7075.0,1014.0,7.0,35.0,12.0,380.0,380.0,587.0,5232.0,37.0,23.0,8.3,247.0,383.0,1843.0,26.0,4.8,112.0,111.0,942.0,21.0,46.8,16.7,193.69,64.7,6.3,3.9,9.4,8.9,14.5,99.7,44.0,260.0,7.8,7.0,183.12,34.0,521.0,1.0,15.3,80.0,1771.0,1.0,22.1,9745.0,2.0,2.0,7.0,7.0,8.0,7.0,7.0,6.0,3.0,2.0,27.0,24.0,88.9,58.0,58.0,100.0,44.0,1776.0,1.0,40.4,471.0,5494.0,968.0,5.7,25.0,6.0,321.0,323.0,534.0,3797.0,32.0,19.0,6.5,195.0,383.0,1697.0,18.0,4.4,95.0,101.0,747.0,31.0,40.9,12.4,-75.38,60.5,6.0,3.6,7.6,7.2,12.6,89.5,51.0,288.0,6.1,8.7,-99.4,17.0,132.0,0.0,7.8,87.0,2032.0,1.0,23.4,31.0,26.0,83.9,50.0,49.0,98.0,67.0,2827.0,0.0,42.2,24.0,24.3,11.82,186.0,5.6,38.0,30.6,159.0,2.76,186.0,5.4,29.4,33.3,150.0,2.3,2.0,0.0,0.0,67.0,4.0,9.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,5492.0,-10.0,69.0,1581.0,0.6222879684418146,0.3777120315581855,0.7395053003533569,0.2604946996466431,0.5873015873015873,0.4126984126984127,2.205357142857143,0.4534412955465587,0.05526315789473684,1.9583333333333333,0.6043388429752066,0.39566115702479343,0.6911175828176193,0.30888241718238074,0.64,0.36,0.09657320872274144,1.7272727272727268,0.5,12.0,29574.0,27900.0,-2.6999999999999957
Denver Broncos,485.0,6554.0,1115.0,5.9,25.0,13.0,383.0,354.0,569.0,4243.0,28.0,12.0,7.1,223.0,516.0,2311.0,21.0,4.5,124.0,89.0,792.0,36.0,38.3,11.7,104.59,62.2,4.9,2.1,7.8,7.9,12.6,94.2,30.0,221.0,7.1,5.0,108.78,36.0,364.0,0.0,10.1,66.0,1477.0,1.0,22.4,8686.0,0.0,0.0,13.0,13.0,8.0,7.0,11.0,5.0,2.0,1.0,34.0,26.0,76.5,53.0,53.0,100.0,62.0,2495.0,1.0,40.2,369.0,5544.0,962.0,5.8,44.0,17.0,294.0,310.0,574.0,3946.0,26.0,27.0,6.4,189.0,344.0,1598.0,13.0,4.6,80.0,109.0,898.0,25.0,30.2,20.8,33.36,54.0,4.5,4.7,7.3,6.1,13.5,73.1,44.0,251.0,5.3,7.1,-7.01,23.0,270.0,1.0,11.7,90.0,1934.0,1.0,21.5,23.0,19.0,82.6,43.0,42.0,97.7,73.0,3197.0,0.0,43.8,26.0,0.9,31.28,196.0,5.9,33.5,30.9,163.0,2.15,192.0,5.1,28.9,29.4,133.0,1.72,2.0,5.0,1.0,58.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4464.0,19.0,116.0,1010.0,0.5372197309417039,0.462780269058296,0.6473909063167531,0.3526090936832469,0.5714285714285714,0.4285714285714286,1.7983870967741935,0.5560538116591929,0.09399477806788513,1.7333333333333334,0.6424116424116424,0.3575883575883576,0.7117604617604618,0.2882395382395382,0.6666666666666666,0.33333333333333337,0.08503401360544217,1.5869565217391306,0.5,50.0,31948.0,25536.0,1.5
Oakland Raiders,479.0,5776.0,1023.0,5.6,20.0,9.0,337.0,284.0,475.0,3306.0,28.0,11.0,6.6,177.0,520.0,2470.0,23.0,4.8,128.0,118.0,940.0,32.0,39.2,10.6,80.38,59.8,5.9,2.3,7.2,7.4,12.1,92.0,28.0,124.0,6.7,5.6,97.39,37.0,357.0,0.0,9.6,56.0,1336.0,1.0,23.9,7681.0,2.0,2.0,6.0,6.0,8.0,6.0,14.0,8.0,4.0,1.0,34.0,23.0,67.6,56.0,56.0,100.0,66.0,3030.0,1.0,45.9,299.0,5249.0,1014.0,5.2,37.0,16.0,320.0,359.0,588.0,3698.0,25.0,21.0,5.9,202.0,383.0,1551.0,8.0,4.0,85.0,117.0,912.0,33.0,26.9,18.7,106.37,61.1,4.3,3.6,6.8,6.0,11.1,80.4,43.0,278.0,5.2,6.8,15.58,30.0,268.0,0.0,8.9,80.0,1689.0,0.0,21.1,25.0,19.0,76.0,30.0,30.0,100.0,79.0,3286.0,0.0,41.6,18.0,-14.12,80.59,189.0,5.6,30.6,33.9,163.0,2.25,193.0,5.4,27.1,28.0,141.0,1.49,1.0,4.0,1.0,58.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3430.0,17.0,180.0,527.0,0.4916911045943304,0.5083088954056696,0.5723684210526315,0.4276315789473685,0.5490196078431373,0.4509803921568627,1.3828125,0.7231638418079096,0.09495548961424333,1.5,0.6222879684418146,0.3777120315581855,0.7045151457420461,0.2954848542579539,0.7575757575757576,0.24242424242424246,0.103125,1.7,0.5,40.0,30807.0,27213.0,5.899999999999999
Indianapolis Colts,429.0,6141.0,1026.0,6.0,29.0,14.0,357.0,357.0,571.0,4282.0,33.0,15.0,7.2,213.0,435.0,1859.0,14.0,4.3,111.0,89.0,866.0,33.0,40.4,15.2,137.02,62.5,5.8,2.6,7.7,7.7,12.4,94.7,20.0,131.0,7.2,3.4,150.24,38.0,352.0,0.0,9.3,58.0,1155.0,0.0,19.9,7832.0,1.0,1.0,6.0,6.0,13.0,13.0,6.0,5.0,1.0,0.0,27.0,25.0,92.6,46.0,46.0,100.0,65.0,2906.0,0.0,44.7,326.0,5357.0,1018.0,5.3,22.0,8.0,310.0,317.0,530.0,3422.0,22.0,14.0,6.0,177.0,446.0,1935.0,13.0,4.3,109.0,103.0,820.0,24.0,31.1,11.7,-42.59,59.8,4.2,2.6,6.9,6.6,11.6,83.6,42.0,252.0,5.7,7.3,-38.77,28.0,357.0,0.0,12.8,73.0,1736.0,1.0,23.8,28.0,21.0,75.0,33.0,33.0,100.0,82.0,3501.0,0.0,42.7,20.0,-8.73,-11.19,178.0,5.9,34.5,29.3,159.0,2.27,180.0,5.8,29.8,28.9,162.0,1.71,1.0,2.0,0.0,50.0,2.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,4413.0,-7.0,103.0,784.0,0.5760233918128655,0.4239766081871345,0.6972805731965478,0.3027194268034522,0.7021276595744681,0.2978723404255319,1.9189189189189189,0.5211267605633803,0.09243697478991596,1.7906976744186047,0.5618860510805501,0.4381139489194499,0.6387903677431398,0.3612096322568602,0.6285714285714286,0.37142857142857133,0.07741935483870968,1.604651162790698,0.7,22.0,28302.0,29160.0,0.40000000000000213
Minnesota Vikings,397.0,5961.0,958.0,6.2,28.0,10.0,319.0,307.0,495.0,3832.0,33.0,18.0,7.2,193.0,428.0,2129.0,14.0,5.0,107.0,106.0,908.0,19.0,39.7,14.9,115.05,62.0,6.7,3.6,8.1,7.8,13.1,94.7,35.0,187.0,6.9,6.6,103.63,26.0,261.0,0.0,10.0,67.0,1456.0,0.0,21.7,7854.0,1.0,1.0,5.0,5.0,9.0,9.0,7.0,7.0,1.0,0.0,23.0,22.0,95.7,45.0,45.0,100.0,62.0,2773.0,0.0,44.7,371.0,5701.0,1011.0,5.6,18.0,10.0,344.0,369.0,584.0,3913.0,23.0,8.0,6.4,208.0,396.0,1788.0,17.0,4.5,110.0,104.0,747.0,26.0,38.2,9.4,-127.1,63.2,3.9,1.4,7.1,7.2,11.2,91.6,31.0,214.0,6.5,5.0,-143.48,32.0,310.0,0.0,9.7,69.0,1519.0,1.0,22.0,29.0,25.0,86.2,38.0,38.0,100.0,65.0,2594.0,0.0,39.9,26.0,26.85,-8.75,174.0,5.6,34.1,30.9,163.0,2.27,170.0,6.1,33.5,30.0,173.0,2.09,0.0,0.0,0.0,47.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4019.0,-10.0,26.0,260.0,0.5532359081419624,0.4467640918580376,0.6428451602080187,0.3571548397919813,0.7021276595744681,0.2978723404255319,1.8037383177570092,0.5544041450777202,0.059561128526645774,1.62,0.6083086053412463,0.3916913946587537,0.6863708121382214,0.3136291878617786,0.575,0.425,0.0755813953488372,1.5777777777777775,0.38461538461538464,0.0,28362.0,29410.0,0.8999999999999986
San Francisco 49ers,388.0,6040.0,1024.0,5.9,19.0,9.0,334.0,366.0,583.0,4239.0,32.0,10.0,7.0,211.0,416.0,1801.0,15.0,4.3,98.0,134.0,1135.0,25.0,34.3,10.5,114.25,62.8,5.5,1.7,7.5,7.9,12.0,97.0,25.0,161.0,7.3,4.1,132.43,26.0,220.0,0.0,8.5,68.0,1299.0,0.0,19.1,7731.0,0.0,0.0,7.0,6.0,8.0,6.0,6.0,3.0,1.0,0.0,22.0,15.0,68.2,45.0,43.0,95.6,70.0,2767.0,1.0,39.5,422.0,5709.0,1031.0,5.5,21.0,8.0,347.0,320.0,558.0,3915.0,25.0,13.0,6.6,194.0,435.0,1794.0,22.0,4.1,110.0,102.0,857.0,43.0,39.9,10.9,-106.95,57.3,4.5,2.3,7.5,7.3,13.1,86.4,38.0,270.0,6.4,6.4,-95.95,32.0,332.0,0.0,10.4,63.0,1358.0,0.0,21.6,31.0,26.0,83.9,46.0,46.0,100.0,65.0,2776.0,0.0,42.7,22.0,-10.85,-15.6,181.0,5.8,33.3,30.6,159.0,2.07,183.0,5.8,31.2,30.6,161.0,2.22,0.0,2.0,0.0,49.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4400.0,2.0,-34.0,331.0,0.59375,0.40625,0.7018211920529801,0.2981788079470199,0.6808510638297872,0.3191489361702128,2.153061224489796,0.4644549763033176,0.0748502994011976,1.7441860465116281,0.5780795344325897,0.4219204655674103,0.6857593273778245,0.3142406726221755,0.5319148936170213,0.4680851063829787,0.1239193083573487,1.8292682926829267,0.4090909090909091,12.0,28779.0,29463.0,0.0
Tampa Bay Buccaneers,388.0,4649.0,961.0,4.8,24.0,11.0,275.0,237.0,433.0,2583.0,18.0,13.0,5.5,144.0,490.0,2066.0,18.0,4.2,111.0,82.0,702.0,20.0,32.7,10.2,-51.6,54.7,4.2,3.0,6.5,6.0,11.9,76.2,38.0,241.0,5.0,8.1,-6.04,39.0,337.0,1.0,8.6,55.0,1255.0,0.0,22.8,6524.0,0.0,0.0,8.0,8.0,10.0,8.0,9.0,7.0,7.0,5.0,34.0,28.0,82.4,42.0,42.0,100.0,85.0,3551.0,0.0,41.8,269.0,4800.0,1047.0,4.6,41.0,16.0,283.0,339.0,594.0,3152.0,15.0,25.0,4.9,180.0,398.0,1648.0,12.0,4.1,84.0,95.0,688.0,19.0,24.1,19.7,141.19,57.1,2.5,4.2,5.9,4.5,10.3,65.0,55.0,332.0,3.6,8.5,111.91,41.0,408.0,1.0,10.0,74.0,1688.0,0.0,22.8,32.0,22.0,68.8,25.0,25.0,100.0,89.0,3560.0,0.0,40.0,16.0,-36.14,14.34,196.0,5.1,23.7,31.8,147.0,1.71,203.0,5.3,23.4,32.0,145.0,1.26,1.0,4.0,1.0,43.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2824.0,17.0,119.0,-151.0,0.490114464099896,0.509885535900104,0.5556033555603356,0.4443966444396644,0.5,0.5,1.2972972972972974,0.7708333333333334,0.07272727272727272,1.5476190476190474,0.6198662846227316,0.3801337153772684,0.6566666666666666,0.3433333333333334,0.5555555555555556,0.4444444444444444,0.06713780918727916,1.4390243902439026,0.6875,38.0,28812.0,29435.0,-0.1999999999999993
Jacksonville Jaguars,367.0,5690.0,1080.0,5.3,29.0,14.0,318.0,333.0,545.0,3658.0,22.0,15.0,6.1,193.0,481.0,2032.0,18.0,4.2,109.0,95.0,703.0,16.0,34.8,13.6,2.29,61.1,4.0,2.8,7.2,6.8,11.9,85.2,54.0,289.0,5.7,9.0,44.91,46.0,333.0,0.0,7.2,62.0,1323.0,0.0,21.3,7715.0,2.0,2.0,7.0,6.0,11.0,9.0,10.0,9.0,3.0,3.0,33.0,29.0,87.9,38.0,38.0,100.0,79.0,3311.0,0.0,41.9,327.0,4845.0,934.0,5.2,30.0,18.0,252.0,258.0,458.0,3160.0,23.0,12.0,6.3,144.0,436.0,1685.0,14.0,3.9,85.0,96.0,814.0,23.0,27.6,13.8,45.25,56.3,5.0,2.6,7.4,7.3,13.2,85.8,40.0,247.0,6.2,8.0,-10.19,38.0,478.0,1.0,12.6,73.0,1523.0,1.0,20.9,24.0,17.0,70.8,36.0,36.0,100.0,90.0,3825.0,0.0,42.5,27.0,-31.24,47.69,198.0,5.6,28.7,34.1,153.0,1.85,196.0,4.9,24.6,30.9,140.0,1.58,0.0,0.0,0.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3947.0,1.0,40.0,845.0,0.5546296296296296,0.4453703703703704,0.6428822495606327,0.3571177504393673,0.55,0.45,1.7706422018348624,0.5647668393782384,0.050314465408805034,1.7142857142857142,0.5331905781584583,0.4668094218415417,0.6522187822497421,0.34778121775025794,0.6216216216216216,0.3783783783783784,0.09126984126984126,1.8974358974358976,0.5185185185185185,0.0,30294.0,27440.0,3.200000000000003
Kansas City Chiefs,355.0,5614.0,999.0,5.6,26.0,11.0,321.0,342.0,582.0,4149.0,29.0,15.0,6.7,207.0,383.0,1465.0,12.0,3.8,84.0,118.0,848.0,30.0,30.5,13.2,19.38,58.8,5.0,2.6,7.6,7.4,12.9,88.5,34.0,259.0,6.6,5.5,87.15,37.0,295.0,0.0,8.0,70.0,1466.0,0.0,20.9,7643.0,1.0,1.0,6.0,6.0,11.0,7.0,6.0,3.0,0.0,0.0,24.0,17.0,70.8,40.0,40.0,100.0,82.0,3656.0,0.0,44.6,354.0,5280.0,1041.0,5.1,29.0,14.0,330.0,358.0,549.0,3471.0,25.0,15.0,5.8,201.0,441.0,1809.0,13.0,4.1,103.0,108.0,1020.0,26.0,30.3,14.4,0.51,65.2,4.6,2.7,6.8,6.5,10.4,88.6,51.0,266.0,5.5,8.5,-51.92,43.0,519.0,0.0,12.1,70.0,1679.0,0.0,24.0,30.0,21.0,70.0,39.0,39.0,100.0,78.0,3362.0,0.0,43.1,23.0,-50.25,44.62,190.0,5.4,29.5,31.0,140.0,1.78,195.0,5.5,27.0,30.2,160.0,1.69,0.0,2.0,1.0,44.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4408.0,3.0,1.0,334.0,0.6166166166166166,0.3833833833833834,0.7390452440327752,0.26095475596722484,0.7073170731707317,0.29268292682926833,2.4642857142857144,0.4057971014492754,0.09345794392523364,2.0,0.5763688760806917,0.4236311239193084,0.6573863636363636,0.3426136363636364,0.6578947368421053,0.3421052631578947,0.07878787878787878,1.6585365853658538,0.4782608695652174,18.0,26600.0,31200.0,0.8000000000000007
New Orleans Saints,354.0,5397.0,1041.0,5.2,26.0,11.0,312.0,298.0,497.0,3329.0,22.0,15.0,6.2,169.0,505.0,2068.0,14.0,4.1,117.0,124.0,1024.0,26.0,32.4,12.6,35.12,60.0,4.4,3.0,7.2,6.7,12.0,84.2,39.0,244.0,5.8,7.3,77.03,40.0,339.0,0.0,8.5,62.0,1473.0,0.0,23.8,7533.0,1.0,1.0,6.0,6.0,5.0,4.0,15.0,12.0,2.0,0.0,29.0,23.0,79.3,37.0,37.0,100.0,74.0,3043.0,0.0,41.1,305.0,4743.0,949.0,5.0,35.0,15.0,279.0,285.0,488.0,3071.0,17.0,20.0,5.5,159.0,395.0,1672.0,14.0,4.2,95.0,105.0,837.0,25.0,27.7,17.5,43.3,58.4,3.5,4.1,7.1,5.9,12.1,74.7,66.0,378.0,4.5,11.9,17.16,37.0,494.0,2.0,13.4,71.0,1743.0,2.0,24.5,24.0,18.0,75.0,31.0,31.0,100.0,74.0,3027.0,0.0,40.9,26.0,-25.75,11.27,182.0,5.9,29.5,31.0,166.0,1.76,177.0,5.5,26.8,30.5,155.0,1.53,1.0,4.0,0.0,41.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3573.0,9.0,49.0,654.0,0.5148895292987512,0.4851104707012488,0.6168241615712433,0.3831758384287567,0.6111111111111112,0.3888888888888888,1.4444444444444444,0.6923076923076923,0.08333333333333333,1.75609756097561,0.5837723919915699,0.41622760800843,0.6474804975753742,0.3525195024246258,0.5483870967741935,0.4516129032258065,0.08960573476702509,1.6904761904761902,0.4230769230769231,30.0,30212.0,27435.0,0.5
