Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
Denver Broncos,472.0,5872.0,1068.0,5.5,21.0,10.0,340.0,287.0,513.0,3494.0,27.0,11.0,6.4,172.0,520.0,2378.0,18.0,4.6,138.0,116.0,1006.0,30.0,0.0,0.0,55.9,5.3,2.1,7.2,7.3,12.9,87.4,35.0,210.0,6.5,6.4,41.0,555.0,3.0,13.5,54.0,1203.0,0.0,22.3,7914.0,0.0,0.0,12.0,11.0,13.0,11.0,9.0,3.0,5.0,3.0,39.0,28.0,71.8,50.0,50.0,100.0,60.0,2598.0,0.0,43.3,287.0,4671.0,951.0,4.9,31.0,13.0,258.0,290.0,526.0,2868.0,20.0,18.0,5.0,145.0,381.0,1803.0,10.0,4.7,83.0,130.0,1118.0,30.0,0.0,0.0,55.1,3.8,3.4,6.0,5.2,10.9,71.5,44.0,298.0,4.3,7.7,26.0,235.0,1.0,9.0,89.0,1827.0,0.0,20.5,19.0,14.0,73.7,35.0,35.0,100.0,94.0,4089.0,0.0,43.5,25.0,2.0,5.0,0.0,55.0,4.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3704.0,10.0,185.0,1201.0,0.5131086142322098,0.48689138576779023,0.5950272479564033,0.40497275204359673,0.6,0.4,1.2463768115942029,0.8023255813953488,0.08823529411764706,1.565217391304348,0.5993690851735016,0.4006309148264984,0.6140012845215157,0.3859987154784843,0.6666666666666666,0.33333333333333337,0.11627906976744186,1.276595744680851,0.4,42.0
Green Bay Packers,422.0,5614.0,1008.0,5.6,32.0,16.0,325.0,309.0,523.0,3705.0,35.0,16.0,6.7,191.0,459.0,1909.0,9.0,4.2,103.0,93.0,718.0,31.0,0.0,0.0,59.1,6.7,3.1,7.4,7.4,12.6,91.9,26.0,191.0,6.7,4.7,56.0,515.0,0.0,9.2,49.0,1119.0,0.0,22.8,7458.0,4.0,4.0,8.0,7.0,13.0,10.0,4.0,2.0,1.0,1.0,30.0,24.0,80.0,48.0,48.0,100.0,75.0,3378.0,0.0,45.0,282.0,4827.0,1047.0,4.6,32.0,11.0,288.0,288.0,563.0,2951.0,10.0,21.0,4.9,156.0,443.0,1876.0,16.0,4.2,105.0,114.0,945.0,27.0,0.0,0.0,51.2,1.8,3.7,5.7,4.4,11.2,59.0,41.0,274.0,3.7,6.8,32.0,255.0,0.0,8.0,78.0,1599.0,0.0,20.5,30.0,24.0,80.0,18.0,18.0,100.0,90.0,3825.0,0.0,42.5,24.0,3.0,3.0,0.0,50.0,1.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,3896.0,0.0,140.0,787.0,0.5446428571428571,0.4553571428571429,0.6599572497328108,0.3400427502671892,0.7954545454545454,0.20454545454545459,1.854368932038835,0.5392670157068062,0.09538461538461539,1.7619047619047619,0.5768863419293219,0.42311365807067813,0.6113528071265797,0.3886471928734203,0.38461538461538464,0.6153846153846154,0.09375,1.3571428571428572,0.6666666666666666,36.0
Jacksonville Jaguars,394.0,5424.0,998.0,5.4,20.0,11.0,308.0,313.0,504.0,3704.0,20.0,9.0,6.8,187.0,454.0,1720.0,20.0,3.8,103.0,110.0,914.0,18.0,0.0,0.0,62.1,4.0,1.8,7.8,7.8,12.5,92.0,40.0,218.0,6.8,7.4,36.0,412.0,0.0,11.4,58.0,1233.0,1.0,21.3,7306.0,2.0,2.0,14.0,12.0,9.0,8.0,9.0,7.0,2.0,2.0,36.0,31.0,86.1,41.0,41.0,100.0,66.0,2964.0,0.0,44.9,318.0,5238.0,1035.0,5.1,29.0,15.0,318.0,320.0,532.0,3504.0,24.0,14.0,6.0,190.0,455.0,1734.0,12.0,3.8,107.0,90.0,800.0,21.0,0.0,0.0,60.2,4.5,2.6,7.2,6.9,12.0,86.3,48.0,331.0,5.8,8.3,29.0,241.0,0.0,8.3,77.0,1730.0,0.0,22.5,25.0,17.0,68.0,32.0,31.0,96.9,73.0,3059.0,0.0,41.9,17.0,1.0,0.0,1.0,43.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3922.0,9.0,76.0,186.0,0.5450901803607214,0.45490981963927857,0.6828908554572272,0.31710914454277284,0.5,0.5,1.8155339805825244,0.5508021390374331,0.05844155844155844,2.0526315789473686,0.5603864734299517,0.43961352657004826,0.6689576174112256,0.3310423825887744,0.6666666666666666,0.33333333333333337,0.0660377358490566,1.8947368421052633,0.6470588235294118,12.0
Detroit Lions,379.0,5798.0,1028.0,5.6,28.0,11.0,304.0,304.0,540.0,3334.0,19.0,17.0,5.7,166.0,447.0,2464.0,19.0,5.5,120.0,94.0,866.0,18.0,0.0,0.0,56.3,3.5,3.1,6.7,6.0,11.9,75.4,41.0,271.0,5.1,7.1,48.0,433.0,0.0,9.0,59.0,1364.0,0.0,23.1,7914.0,0.0,0.0,10.0,10.0,9.0,8.0,5.0,5.0,5.0,3.0,29.0,26.0,89.7,40.0,39.0,97.5,86.0,3661.0,2.0,42.6,306.0,4947.0,1021.0,4.8,25.0,8.0,268.0,281.0,507.0,3114.0,15.0,17.0,5.7,152.0,471.0,1833.0,15.0,3.9,98.0,112.0,841.0,18.0,0.0,0.0,55.4,3.0,3.4,6.7,5.8,12.1,72.1,43.0,287.0,4.8,7.8,51.0,434.0,1.0,8.5,61.0,1269.0,0.0,20.8,32.0,25.0,78.1,30.0,29.0,96.7,97.0,4297.0,0.0,44.3,26.0,2.0,3.0,0.0,43.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3605.0,-3.0,73.0,851.0,0.5651750972762646,0.4348249027237354,0.5750258709899966,0.4249741290100034,0.5,0.5,1.3833333333333333,0.7228915662650602,0.05921052631578947,1.2181818181818183,0.5386875612144956,0.46131243878550443,0.6294724075197089,0.3705275924802911,0.5,0.5,0.06716417910447761,1.717948717948718,0.4230769230769231,32.0
San Francisco 49ers,375.0,5112.0,999.0,5.1,20.0,9.0,294.0,278.0,432.0,3143.0,20.0,11.0,6.6,167.0,523.0,1969.0,16.0,3.8,106.0,115.0,979.0,21.0,0.0,0.0,64.4,4.6,2.5,7.9,7.7,12.3,93.6,44.0,289.0,6.4,9.2,41.0,482.0,1.0,11.8,50.0,1133.0,1.0,22.7,7086.0,0.0,0.0,11.0,11.0,12.0,9.0,10.0,8.0,3.0,1.0,36.0,29.0,80.6,38.0,38.0,100.0,79.0,3223.0,1.0,40.8,265.0,4013.0,949.0,4.2,41.0,16.0,242.0,258.0,509.0,2647.0,23.0,25.0,4.7,145.0,386.0,1366.0,5.0,3.5,67.0,91.0,742.0,30.0,0.0,0.0,50.7,4.5,4.9,5.9,4.6,11.7,63.6,54.0,364.0,3.5,9.6,41.0,270.0,0.0,6.6,82.0,1746.0,0.0,21.3,20.0,16.0,80.0,29.0,29.0,100.0,83.0,3469.0,0.0,41.8,22.0,2.0,1.0,0.0,41.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3432.0,21.0,110.0,1099.0,0.47647647647647645,0.5235235235235236,0.6148278560250391,0.3851721439749609,0.5555555555555556,0.4444444444444444,1.5754716981132075,0.6347305389221557,0.07142857142857142,2.0789473684210527,0.5932560590094836,0.40674394099051636,0.6596062795913282,0.3403937204086718,0.8214285714285714,0.1785714285714286,0.12396694214876033,1.6857142857142857,0.4090909090909091,18.0
Kansas City Chiefs,375.0,5064.0,1054.0,4.8,20.0,10.0,315.0,281.0,493.0,2893.0,20.0,10.0,5.5,163.0,529.0,2171.0,15.0,4.1,129.0,121.0,1035.0,23.0,0.0,0.0,57.0,4.1,2.0,6.3,6.2,11.1,81.1,32.0,236.0,5.4,6.1,35.0,383.0,1.0,10.9,54.0,1345.0,1.0,24.9,7051.0,0.0,0.0,9.0,9.0,3.0,3.0,13.0,12.0,2.0,2.0,27.0,26.0,96.3,36.0,35.0,97.2,83.0,3489.0,0.0,42.0,232.0,4880.0,974.0,5.0,34.0,13.0,278.0,271.0,507.0,3259.0,15.0,21.0,5.8,158.0,413.0,1621.0,8.0,3.9,94.0,113.0,977.0,26.0,0.0,0.0,53.5,3.0,4.1,7.1,5.9,13.4,69.0,54.0,359.0,4.7,9.6,39.0,255.0,0.0,6.5,80.0,1672.0,0.0,20.9,33.0,24.0,72.7,22.0,22.0,100.0,84.0,3469.0,0.0,41.3,21.0,1.0,4.0,0.0,42.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3129.0,14.0,143.0,184.0,0.4981024667931689,0.5018975332068312,0.5712875197472354,0.42871248025276465,0.5714285714285714,0.4285714285714286,1.2635658914728682,0.7914110429447853,0.07301587301587302,1.5365853658536586,0.5759753593429158,0.42402464065708423,0.667827868852459,0.33217213114754096,0.6521739130434783,0.34782608695652173,0.09352517985611511,1.8205128205128205,0.47619047619047616,36.0
Pittsburgh Steelers,372.0,5542.0,1058.0,5.2,33.0,14.0,326.0,253.0,466.0,3063.0,22.0,19.0,6.3,157.0,572.0,2479.0,19.0,4.3,154.0,95.0,861.0,15.0,0.0,0.0,54.3,4.7,4.1,6.9,6.0,12.7,74.8,20.0,152.0,5.4,4.1,32.0,222.0,0.0,6.9,67.0,1493.0,1.0,22.3,7545.0,1.0,1.0,6.0,6.0,8.0,8.0,8.0,6.0,2.0,1.0,25.0,22.0,88.0,40.0,40.0,100.0,64.0,2729.0,0.0,42.6,307.0,4705.0,1005.0,4.7,34.0,14.0,285.0,295.0,554.0,3387.0,24.0,20.0,5.6,177.0,403.0,1318.0,5.0,3.3,82.0,90.0,708.0,26.0,0.0,0.0,53.2,4.3,3.6,6.6,5.9,12.5,73.5,48.0,294.0,4.9,8.0,23.0,271.0,0.0,11.8,74.0,1556.0,1.0,21.0,35.0,29.0,82.9,28.0,28.0,100.0,66.0,2805.0,0.0,42.5,25.0,2.0,0.0,0.0,44.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3215.0,1.0,65.0,837.0,0.45935727788279773,0.5406427221172023,0.5526885600866114,0.4473114399133886,0.5365853658536586,0.46341463414634143,1.0194805194805194,0.9808917197452229,0.046012269938650305,1.6046511627906979,0.5990049751243781,0.4009950248756219,0.7198724760892667,0.28012752391073326,0.8275862068965517,0.1724137931034483,0.0912280701754386,2.0,0.56,12.0
New England Patriots,369.0,5014.0,960.0,5.2,22.0,7.0,267.0,321.0,532.0,3550.0,31.0,15.0,6.3,173.0,398.0,1464.0,6.0,3.7,71.0,99.0,845.0,23.0,0.0,0.0,60.3,5.8,2.8,7.2,7.1,11.9,89.9,30.0,258.0,6.2,5.3,45.0,467.0,0.0,10.4,53.0,1337.0,1.0,25.2,7086.0,0.0,0.0,11.0,11.0,9.0,7.0,8.0,6.0,1.0,1.0,29.0,25.0,86.2,40.0,40.0,100.0,79.0,3615.0,1.0,45.8,289.0,5085.0,1100.0,4.6,32.0,13.0,322.0,368.0,619.0,3469.0,14.0,19.0,5.2,183.0,436.0,1616.0,16.0,3.7,114.0,106.0,763.0,25.0,0.0,0.0,59.5,2.3,3.1,6.1,5.2,10.3,71.8,45.0,303.0,4.4,6.8,38.0,437.0,0.0,11.5,75.0,1651.0,1.0,22.0,29.0,20.0,69.0,29.0,29.0,100.0,74.0,3286.0,0.0,44.4,17.0,0.0,4.0,0.0,42.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3808.0,10.0,80.0,-71.0,0.5854166666666667,0.4145833333333333,0.7080175508575988,0.29198244914240123,0.8378378378378378,0.16216216216216217,2.436619718309859,0.41040462427745666,0.08614232209737828,1.9459459459459458,0.6036363636363636,0.39636363636363636,0.6822025565388398,0.31779744346116023,0.4666666666666667,0.5333333333333333,0.07763975155279502,1.6486486486486485,0.4117647058823529,26.0
Seattle Seahawks,365.0,5759.0,1049.0,5.5,32.0,11.0,331.0,359.0,609.0,3959.0,26.0,21.0,6.1,207.0,404.0,1800.0,13.0,4.5,98.0,109.0,911.0,26.0,0.0,0.0,58.9,4.3,3.4,6.9,6.2,11.7,79.7,36.0,228.0,5.5,5.6,37.0,248.0,0.0,6.7,76.0,1550.0,0.0,20.4,7842.0,0.0,0.0,9.0,9.0,10.0,7.0,7.0,5.0,2.0,1.0,28.0,22.0,78.6,37.0,37.0,100.0,78.0,3227.0,2.0,41.4,362.0,4849.0,959.0,5.1,29.0,16.0,286.0,276.0,462.0,3118.0,19.0,13.0,6.2,166.0,455.0,1731.0,10.0,3.8,96.0,100.0,820.0,24.0,0.0,0.0,59.7,4.1,2.8,7.3,6.8,12.2,84.1,42.0,238.0,5.8,8.3,38.0,463.0,2.0,12.2,77.0,1779.0,1.0,23.1,34.0,31.0,91.2,35.0,35.0,100.0,74.0,3108.0,0.0,42.0,26.0,3.0,1.0,0.0,43.0,1.0,5.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,4187.0,-3.0,3.0,910.0,0.6148713060057197,0.3851286939942803,0.6874457371071366,0.31255426289286337,0.6666666666666666,0.33333333333333337,2.1122448979591835,0.47342995169082125,0.07854984894259819,1.5333333333333334,0.5255474452554745,0.4744525547445255,0.6430191792122087,0.35698082078779125,0.6551724137931034,0.3448275862068966,0.08391608391608392,1.9210526315789473,0.4230769230769231,26.0
Cincinnati Bengals,355.0,5282.0,1002.0,5.3,22.0,13.0,310.0,302.0,504.0,3316.0,21.0,9.0,6.0,171.0,452.0,1966.0,23.0,4.3,104.0,98.0,877.0,35.0,0.0,0.0,59.9,4.2,1.8,7.1,7.2,11.9,88.3,46.0,287.0,6.1,8.4,26.0,201.0,0.0,7.7,74.0,1708.0,1.0,23.1,7496.0,0.0,0.0,4.0,4.0,3.0,3.0,7.0,5.0,2.0,0.0,16.0,12.0,75.0,43.0,41.0,95.3,81.0,3471.0,0.0,42.9,405.0,5682.0,1091.0,5.2,23.0,10.0,351.0,309.0,542.0,3459.0,30.0,13.0,6.0,188.0,514.0,2223.0,15.0,4.3,141.0,107.0,951.0,22.0,0.0,0.0,57.0,5.5,2.4,6.8,6.8,11.9,86.2,35.0,209.0,6.0,6.1,35.0,407.0,2.0,11.6,67.0,1406.0,0.0,21.0,29.0,24.0,82.8,45.0,45.0,100.0,69.0,3084.0,0.0,44.7,25.0,1.0,0.0,0.0,46.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3603.0,1.0,-50.0,-400.0,0.5489021956087824,0.4510978043912176,0.6277925028398333,0.37220749716016666,0.4772727272727273,0.5227272727272727,1.6442307692307692,0.6081871345029239,0.11290322580645161,1.6511627906976745,0.5288725939505041,0.4711274060494959,0.6087645195353749,0.3912354804646251,0.6666666666666666,0.33333333333333337,0.06267806267806268,1.5813953488372092,0.52,6.0
