Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,ExpectedPointsRunning,ExpectedPointsRunning_Defense,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored,TimeOfPossession,TimeOfPossession_Defense,AvgFieldPositionDifferential
Green Bay Packers,486.0,6178.0,1001.0,6.2,13.0,7.0,356.0,349.0,536.0,4261.0,38.0,6.0,7.5,222.0,435.0,1917.0,14.0,4.4,104.0,92.0,775.0,30.0,46.7,7.1,195.16,65.1,7.1,1.1,8.3,9.2,12.7,109.9,30.0,186.0,8.4,5.3,231.61,29.0,333.0,2.0,11.5,29.0,555.0,0.0,19.1,7287.0,0.0,0.0,7.0,7.0,12.0,11.0,7.0,5.0,7.0,4.0,33.0,27.0,81.8,55.0,53.0,96.4,51.0,2159.0,2.0,42.3,348.0,5542.0,1054.0,5.3,27.0,9.0,339.0,333.0,564.0,3623.0,26.0,18.0,6.0,196.0,449.0,1919.0,11.0,4.3,116.0,104.0,945.0,27.0,33.1,14.9,-30.73,59.0,4.6,3.2,6.9,6.4,11.7,82.0,41.0,261.0,5.5,6.8,-45.84,22.0,191.0,1.0,8.7,58.0,1421.0,1.0,24.5,24.0,21.0,87.5,37.0,37.0,100.0,62.0,2691.0,0.0,43.4,19.0,-27.01,5.5,169.0,6.1,36.5,28.5,173.0,2.63,175.0,6.2,31.6,27.5,162.0,1.84,1.0,3.0,0.0,58.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4447.0,14.0,138.0,636.0,0.5654345654345654,0.4345654345654346,0.6897054062803496,0.3102945937196504,0.7307692307692307,0.2692307692307693,2.1346153846153846,0.4684684684684685,0.08426966292134831,1.8863636363636365,0.5740037950664136,0.4259962049335864,0.6537351136773728,0.3462648863226272,0.7027027027027027,0.2972972972972973,0.07964601769911504,1.604651162790698,0.3684210526315789,26.0,29237.0,28350.0,1.0
Denver Broncos,482.0,6446.0,1067.0,6.0,20.0,5.0,360.0,399.0,607.0,4661.0,40.0,15.0,7.5,227.0,443.0,1785.0,15.0,4.0,98.0,120.0,1045.0,35.0,39.9,9.6,130.29,65.7,6.6,2.5,7.9,8.1,12.0,101.3,17.0,118.0,7.7,2.7,161.99,41.0,296.0,0.0,7.2,32.0,802.0,0.0,25.1,7674.0,2.0,2.0,9.0,9.0,8.0,7.0,7.0,5.0,3.0,1.0,29.0,24.0,82.8,56.0,56.0,100.0,69.0,3048.0,0.0,44.2,354.0,4883.0,1031.0,4.7,25.0,7.0,311.0,399.0,641.0,3607.0,29.0,18.0,5.3,219.0,349.0,1276.0,9.0,3.7,60.0,103.0,816.0,32.0,31.3,11.8,13.81,62.2,4.5,2.8,6.0,5.7,9.7,82.4,41.0,252.0,5.0,6.0,-45.39,33.0,371.0,1.0,11.2,35.0,905.0,0.0,25.9,28.0,23.0,82.1,37.0,37.0,100.0,88.0,4035.0,0.0,45.9,16.0,-29.0,52.59,198.0,5.5,32.6,28.9,149.0,2.31,195.0,5.4,24.9,28.3,146.0,1.72,1.0,2.0,0.0,58.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4779.0,5.0,128.0,1563.0,0.584817244611059,0.415182755388941,0.7230840831523425,0.2769159168476575,0.7272727272727273,0.2727272727272727,2.3163265306122454,0.4317180616740088,0.09722222222222222,1.975,0.6614936954413191,0.3385063045586809,0.7386852344869957,0.26131476551300425,0.7631578947368421,0.23684210526315785,0.10289389067524116,1.6216216216216215,0.3125,20.0,29502.0,28470.0,0.5999999999999979
Philadelphia Eagles,474.0,6348.0,1127.0,5.6,36.0,15.0,356.0,384.0,621.0,4356.0,27.0,21.0,6.7,218.0,474.0,1992.0,16.0,4.2,109.0,115.0,995.0,29.0,36.9,17.2,46.41,61.8,4.3,3.4,7.4,6.7,11.9,84.8,32.0,225.0,6.1,4.9,89.05,41.0,531.0,2.0,13.0,32.0,874.0,2.0,27.3,8049.0,0.0,0.0,10.0,10.0,16.0,14.0,6.0,4.0,4.0,4.0,36.0,32.0,88.9,54.0,54.0,100.0,76.0,3331.0,0.0,43.8,400.0,6009.0,1113.0,5.4,28.0,16.0,338.0,345.0,591.0,4238.0,30.0,12.0,6.6,211.0,473.0,1771.0,14.0,3.7,88.0,121.0,1089.0,39.0,31.1,12.7,-11.84,58.4,5.1,2.0,7.8,7.9,13.3,91.6,49.0,357.0,6.7,7.7,-97.59,29.0,238.0,1.0,8.2,52.0,1183.0,0.0,22.8,27.0,22.0,81.5,47.0,46.0,97.9,91.0,3984.0,0.0,43.8,25.0,-33.02,70.1,203.0,5.7,31.1,30.0,126.0,1.96,212.0,5.4,28.2,26.4,151.0,1.76,2.0,2.0,3.0,54.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4581.0,-8.0,74.0,339.0,0.5794143744454303,0.4205856255545697,0.6862003780718336,0.31379962192816635,0.627906976744186,0.372093023255814,2.0,0.5,0.08146067415730338,1.761904761904762,0.5750224618149147,0.4249775381850853,0.7052754202030288,0.2947245797969712,0.6818181818181818,0.31818181818181823,0.1153846153846154,2.108108108108108,0.6,42.0,25578.0,32012.0,3.6000000000000014
New England Patriots,468.0,5848.0,1073.0,5.5,13.0,4.0,361.0,392.0,609.0,4121.0,34.0,9.0,6.5,228.0,438.0,1727.0,13.0,3.9,96.0,120.0,1080.0,37.0,45.3,7.2,169.27,64.4,5.6,1.5,7.0,7.5,10.9,97.5,26.0,170.0,6.9,4.1,190.36,41.0,431.0,1.0,10.5,31.0,693.0,0.0,22.4,7164.0,1.0,1.0,11.0,11.0,11.0,10.0,13.0,12.0,1.0,1.0,37.0,35.0,94.6,51.0,51.0,100.0,67.0,3060.0,1.0,45.7,313.0,5506.0,1033.0,5.3,25.0,9.0,329.0,342.0,574.0,3837.0,24.0,16.0,6.2,196.0,419.0,1669.0,6.0,4.0,88.0,92.0,752.0,45.0,32.4,13.2,-27.24,59.6,4.2,2.8,7.2,6.8,12.0,84.0,40.0,282.0,5.9,6.5,-61.0,29.0,267.0,0.0,9.2,45.0,955.0,0.0,21.2,37.0,29.0,78.4,28.0,28.0,100.0,65.0,2847.0,0.0,43.8,13.0,-6.34,20.24,181.0,6.1,32.3,30.6,157.0,2.4,182.0,5.9,30.2,25.5,160.0,1.63,2.0,0.0,2.0,52.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4291.0,12.0,155.0,342.0,0.5917986952469712,0.4082013047530289,0.7046853625170999,0.2953146374829001,0.7234042553191491,0.276595744680851,2.375,0.42105263157894735,0.10249307479224376,1.794871794871795,0.5943852855759922,0.40561471442400776,0.6968761351253179,0.3031238648746821,0.8,0.2,0.13677811550151975,1.8,0.3076923076923077,24.0,28417.0,29120.0,5.100000000000001
Dallas Cowboys,467.0,6138.0,1014.0,6.1,25.0,14.0,342.0,328.0,476.0,3784.0,37.0,11.0,7.5,205.0,508.0,2354.0,16.0,4.6,106.0,105.0,839.0,31.0,43.6,12.8,172.14,68.9,7.8,2.3,8.4,8.9,12.2,110.9,30.0,224.0,8.0,5.9,196.41,30.0,275.0,0.0,9.2,33.0,790.0,0.0,23.9,7434.0,0.0,0.0,6.0,6.0,7.0,6.0,9.0,8.0,7.0,5.0,29.0,25.0,86.2,56.0,56.0,100.0,58.0,2586.0,1.0,44.6,352.0,5681.0,978.0,5.8,31.0,13.0,315.0,371.0,558.0,4031.0,22.0,18.0,6.9,195.0,392.0,1650.0,18.0,4.2,86.0,104.0,861.0,34.0,31.3,16.8,-68.86,66.5,3.9,3.2,7.5,6.8,11.3,88.5,28.0,156.0,6.2,4.8,-102.27,25.0,240.0,0.0,9.6,43.0,921.0,0.0,21.4,18.0,16.0,88.9,41.0,40.0,97.6,67.0,3007.0,0.0,44.9,21.0,-17.9,21.31,179.0,5.8,34.1,28.9,176.0,2.49,179.0,5.6,31.7,26.9,150.0,1.83,1.0,2.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4008.0,6.0,115.0,457.0,0.4990138067061144,0.5009861932938856,0.6164874551971327,0.38351254480286734,0.6981132075471698,0.30188679245283023,1.9339622641509435,0.5170731707317073,0.09064327485380116,1.8260869565217392,0.5991820040899796,0.4008179959100204,0.7095581763773984,0.2904418236226016,0.55,0.45,0.10793650793650794,1.7857142857142856,0.6666666666666666,18.0,31504.0,26850.0,2.0
Indianapolis Colts,458.0,6506.0,1105.0,5.9,31.0,15.0,371.0,410.0,661.0,4894.0,42.0,16.0,7.1,251.0,415.0,1612.0,9.0,3.9,80.0,105.0,848.0,40.0,39.5,14.6,86.38,62.0,6.4,2.4,7.7,7.8,12.3,96.8,29.0,168.0,7.3,4.2,150.92,45.0,312.0,0.0,6.9,38.0,1065.0,0.0,28.0,8093.0,0.0,0.0,10.0,10.0,10.0,10.0,8.0,7.0,3.0,3.0,31.0,30.0,96.8,50.0,50.0,100.0,69.0,3221.0,0.0,46.7,369.0,5483.0,1007.0,5.4,26.0,14.0,309.0,320.0,543.0,3669.0,27.0,12.0,6.3,175.0,423.0,1814.0,14.0,4.3,103.0,101.0,866.0,31.0,28.1,12.6,-9.6,58.9,5.0,2.2,7.2,7.2,12.3,88.7,41.0,263.0,6.3,7.0,-18.88,35.0,205.0,0.0,5.9,26.0,587.0,0.0,22.6,19.0,15.0,78.9,46.0,46.0,100.0,90.0,4271.0,0.0,47.5,31.0,-56.98,-0.48,205.0,5.5,31.6,28.7,149.0,2.18,199.0,5.2,27.5,25.5,136.0,1.67,1.0,1.0,0.0,53.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,5062.0,-5.0,89.0,1023.0,0.6244343891402715,0.3755656108597285,0.7522287119581924,0.2477712880418076,0.8235294117647058,0.17647058823529416,3.1375,0.3187250996015936,0.1078167115902965,1.9743589743589745,0.579940417080437,0.42005958291956297,0.669159219405435,0.330840780594565,0.6585365853658537,0.3414634146341463,0.10032362459546926,1.6744186046511629,0.4838709677419355,12.0,30545.0,27064.0,3.1999999999999993
Pittsburgh Steelers,436.0,6577.0,1068.0,6.2,21.0,11.0,379.0,411.0,612.0,4825.0,33.0,10.0,7.5,243.0,423.0,1752.0,10.0,4.1,98.0,103.0,834.0,38.0,41.4,11.5,162.53,67.2,5.4,1.6,8.2,8.5,12.2,103.2,33.0,172.0,7.8,5.1,189.59,32.0,321.0,1.0,10.0,35.0,758.0,0.0,21.7,7811.0,0.0,0.0,13.0,12.0,6.0,6.0,10.0,10.0,3.0,1.0,32.0,29.0,90.6,45.0,45.0,100.0,62.0,2667.0,1.0,43.0,368.0,5654.0,944.0,6.0,21.0,10.0,314.0,350.0,543.0,4049.0,30.0,11.0,7.0,193.0,368.0,1605.0,9.0,4.4,88.0,97.0,835.0,33.0,39.7,11.5,-80.8,64.5,5.5,2.0,7.8,8.0,12.1,98.3,33.0,194.0,7.2,5.7,-113.35,27.0,220.0,0.0,8.1,54.0,1249.0,1.0,23.1,32.0,30.0,93.8,38.0,38.0,100.0,68.0,3078.0,0.0,45.3,16.0,-29.11,22.78,174.0,6.3,37.5,25.7,179.0,2.23,174.0,5.6,32.4,27.5,152.0,2.09,1.0,4.0,0.0,49.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4997.0,0.0,68.0,923.0,0.6039325842696629,0.3960674157303371,0.7336171506766003,0.2663828493233997,0.7674418604651163,0.2325581395348837,2.479591836734694,0.4032921810699589,0.10026385224274406,2.0,0.6101694915254238,0.3898305084745762,0.7161301733286171,0.28386982667138305,0.7692307692307693,0.23076923076923075,0.10509554140127388,1.7727272727272725,0.6875,32.0,31146.0,26448.0,-1.8000000000000007
Baltimore Ravens,409.0,5838.0,1021.0,5.7,20.0,8.0,345.0,344.0,554.0,3819.0,27.0,12.0,6.7,194.0,448.0,2019.0,16.0,4.5,113.0,111.0,870.0,38.0,39.6,9.9,128.84,62.1,4.9,2.2,7.2,7.2,11.6,91.0,19.0,167.0,6.7,3.3,153.58,32.0,292.0,0.0,9.1,38.0,1077.0,1.0,28.3,7420.0,0.0,0.0,10.0,10.0,11.0,11.0,4.0,4.0,9.0,4.0,34.0,29.0,85.3,42.0,42.0,100.0,60.0,2841.0,0.0,47.4,302.0,5391.0,1034.0,5.2,22.0,11.0,311.0,382.0,595.0,3979.0,22.0,11.0,6.2,205.0,390.0,1412.0,8.0,3.6,75.0,110.0,1007.0,31.0,33.3,11.7,-21.36,64.2,3.7,1.8,7.3,7.2,11.4,90.6,49.0,362.0,6.1,7.6,-91.25,23.0,166.0,0.0,7.2,26.0,601.0,0.0,23.1,36.0,30.0,83.3,28.0,28.0,100.0,76.0,3489.0,0.0,45.9,16.0,-18.6,66.68,182.0,5.8,32.0,28.7,156.0,2.13,180.0,5.9,29.8,27.3,162.0,1.67,0.0,1.0,1.0,46.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3986.0,2.0,107.0,447.0,0.5612144955925563,0.4387855044074437,0.6541623843782117,0.3458376156217883,0.627906976744186,0.372093023255814,1.7168141592920354,0.5824742268041238,0.11014492753623188,1.6,0.6228239845261122,0.3771760154738878,0.7380819884993508,0.2619180115006492,0.7333333333333333,0.2666666666666667,0.09967845659163987,2.0277777777777777,0.5,14.0,28392.0,29160.0,1.3999999999999986
New Orleans Saints,401.0,6582.0,1095.0,6.0,30.0,13.0,395.0,456.0,659.0,4764.0,33.0,17.0,6.9,258.0,406.0,1818.0,16.0,4.5,101.0,80.0,670.0,36.0,39.1,16.7,142.36,69.2,5.0,2.6,7.5,7.4,10.9,97.0,30.0,188.0,6.8,4.4,143.71,19.0,134.0,0.0,7.1,21.0,543.0,0.0,25.9,7425.0,0.0,0.0,6.0,6.0,9.0,9.0,5.0,3.0,2.0,1.0,22.0,19.0,86.4,47.0,46.0,97.9,58.0,2690.0,0.0,46.4,424.0,6144.0,1022.0,6.0,17.0,5.0,345.0,341.0,546.0,4019.0,26.0,12.0,6.9,205.0,442.0,2125.0,17.0,4.8,111.0,105.0,889.0,29.0,43.3,9.9,-141.89,62.5,4.8,2.2,7.7,7.7,12.3,92.9,34.0,188.0,6.9,5.9,-115.66,24.0,99.0,0.0,4.1,39.0,1029.0,0.0,26.4,32.0,31.0,96.9,43.0,43.0,100.0,63.0,2783.0,0.0,44.2,22.0,4.07,-34.86,174.0,6.4,37.7,25.5,169.0,2.3,171.0,6.2,35.8,26.1,171.0,2.3,0.0,0.0,0.0,49.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4952.0,-13.0,-23.0,438.0,0.6292237442922375,0.3707762557077625,0.7237921604375569,0.276207839562443,0.6734693877551021,0.326530612244898,2.5544554455445545,0.39147286821705424,0.09113924050632913,1.6666666666666667,0.5675146771037182,0.4324853228962818,0.6541341145833334,0.34586588541666663,0.6046511627906976,0.3953488372093024,0.08405797101449275,1.6041666666666667,0.5909090909090909,4.0,29406.0,29241.0,-0.6000000000000014
Seattle Seahawks,394.0,6012.0,1021.0,5.9,14.0,7.0,328.0,287.0,454.0,3250.0,20.0,7.0,6.6,160.0,525.0,2762.0,20.0,5.3,144.0,130.0,1009.0,24.0,40.6,6.9,135.41,63.2,4.4,1.5,7.7,7.9,12.2,95.1,42.0,242.0,6.7,8.5,88.28,36.0,252.0,0.0,7.0,39.0,820.0,0.0,21.0,7306.0,0.0,0.0,10.0,10.0,10.0,10.0,13.0,9.0,4.0,2.0,37.0,31.0,83.8,41.0,41.0,100.0,62.0,2688.0,1.0,43.4,254.0,4274.0,924.0,4.6,24.0,11.0,277.0,313.0,507.0,2970.0,17.0,13.0,5.5,175.0,380.0,1304.0,8.0,3.4,70.0,70.0,613.0,32.0,26.9,12.3,50.43,61.7,3.4,2.6,6.3,5.8,10.2,80.4,37.0,234.0,5.0,6.8,-20.84,17.0,195.0,1.0,11.5,43.0,1035.0,0.0,24.1,24.0,21.0,87.5,25.0,25.0,100.0,83.0,3630.0,0.0,43.7,23.0,65.66,71.63,175.0,6.0,34.2,30.5,178.0,2.13,171.0,5.5,25.0,25.7,157.0,1.39,0.0,2.0,1.0,43.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3492.0,10.0,140.0,1738.0,0.485798237022527,0.5142017629774731,0.540585495675316,0.459414504324684,0.5,0.5,1.1111111111111112,0.9,0.07317073170731707,1.4528301886792454,0.5887445887445888,0.4112554112554112,0.6948993916705662,0.3051006083294337,0.68,0.31999999999999995,0.11552346570397112,1.8529411764705883,0.3043478260869565,20.0,31150.0,26847.0,4.800000000000001
