Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
San Francisco 49ers,442.0,6268.0,1021.0,6.1,25.0,14.0,350.0,339.0,483.0,4302.0,35.0,11.0,8.1,209.0,493.0,1966.0,14.0,4.0,124.0,109.0,922.0,17.0,0.0,0.0,70.2,7.2,2.3,9.5,9.9,13.5,114.8,45.0,282.0,8.5,8.5,39.0,429.0,0.0,11.0,51.0,954.0,0.0,18.7,7934.0,3.0,3.0,8.0,8.0,9.0,8.0,15.0,10.0,1.0,0.0,36.0,29.0,80.6,51.0,49.0,96.1,56.0,2266.0,1.0,40.5,253.0,4618.0,979.0,4.7,37.0,16.0,283.0,316.0,564.0,3235.0,15.0,21.0,5.3,178.0,372.0,1383.0,9.0,3.7,76.0,75.0,581.0,29.0,0.0,0.0,56.0,2.7,3.7,6.3,5.2,11.3,68.5,43.0,333.0,4.3,7.1,35.0,361.0,0.0,10.3,76.0,1435.0,0.0,18.9,31.0,23.0,74.2,26.0,26.0,100.0,74.0,2879.0,0.0,38.9,32.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4584.0,12.0,189.0,1650.0,0.5171400587659157,0.48285994123408427,0.6863433312061263,0.31365666879387366,0.7142857142857143,0.2857142857142857,1.685483870967742,0.5933014354066986,0.04857142857142857,2.375,0.6200204290091931,0.3799795709908069,0.7005197055002166,0.2994802944997834,0.625,0.375,0.10247349823321555,1.7027027027027026,0.4375,12.0
Los Angeles Rams,426.0,6042.0,1027.0,5.9,29.0,11.0,321.0,308.0,523.0,4133.0,29.0,18.0,7.4,197.0,472.0,1909.0,19.0,4.0,107.0,102.0,823.0,17.0,0.0,0.0,58.9,5.5,3.4,8.4,7.9,14.2,90.1,32.0,236.0,7.0,5.8,35.0,332.0,0.0,9.5,67.0,1328.0,0.0,19.8,7940.0,1.0,1.0,8.0,7.0,7.0,7.0,10.0,8.0,4.0,0.0,30.0,23.0,76.7,51.0,51.0,100.0,74.0,2873.0,1.0,38.8,344.0,5567.0,1023.0,5.4,36.0,15.0,306.0,345.0,577.0,4024.0,24.0,21.0,6.5,181.0,404.0,1543.0,13.0,3.8,101.0,93.0,798.0,24.0,0.0,0.0,59.8,4.2,3.6,7.5,6.6,12.5,81.7,42.0,278.0,5.7,6.8,34.0,315.0,1.0,9.3,84.0,1633.0,0.0,19.4,29.0,26.0,89.7,38.0,36.0,94.7,81.0,3362.0,0.0,41.5,26.0,0.0,3.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4369.0,7.0,82.0,475.0,0.5404089581304771,0.45959104186952293,0.6840450182058921,0.31595498179410786,0.6041666666666666,0.39583333333333337,1.841121495327103,0.5431472081218274,0.0529595015576324,2.1,0.6050830889540567,0.3949169110459433,0.7228309682054966,0.27716903179450336,0.6486486486486487,0.3513513513513513,0.0784313725490196,1.973684210526316,0.4230769230769231,18.0
Buffalo Bills,409.0,5853.0,1045.0,5.6,41.0,21.0,334.0,281.0,478.0,3589.0,32.0,20.0,7.0,177.0,532.0,2264.0,15.0,4.3,136.0,103.0,831.0,21.0,0.0,0.0,58.8,6.7,4.2,8.0,7.5,13.6,89.3,35.0,242.0,6.5,6.8,33.0,301.0,0.0,9.1,53.0,1058.0,0.0,20.0,7467.0,0.0,0.0,6.0,5.0,9.0,8.0,15.0,10.0,0.0,0.0,30.0,23.0,76.7,47.0,46.0,97.9,67.0,2643.0,2.0,39.4,317.0,5046.0,1030.0,4.9,36.0,13.0,299.0,255.0,508.0,3206.0,14.0,23.0,5.9,156.0,484.0,1840.0,15.0,3.8,117.0,87.0,616.0,26.0,0.0,0.0,50.2,2.8,4.5,6.9,5.4,13.7,62.9,38.0,289.0,4.5,7.0,25.0,227.0,0.0,9.1,75.0,1187.0,0.0,15.8,37.0,26.0,70.3,34.0,33.0,97.1,75.0,2872.0,0.0,38.3,30.0,0.0,1.0,1.0,49.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3831.0,-5.0,92.0,807.0,0.4909090909090909,0.509090909090909,0.613189817187767,0.386810182812233,0.6808510638297872,0.3191489361702128,1.3014705882352942,0.768361581920904,0.06287425149700598,1.8604651162790697,0.5300970873786408,0.4699029126213592,0.635354736424891,0.36464526357510896,0.4827586206896552,0.5172413793103448,0.08695652173913043,1.8157894736842106,0.7,12.0
Cincinnati Bengals,404.0,6101.0,1083.0,5.6,32.0,19.0,348.0,288.0,513.0,3618.0,32.0,13.0,6.5,183.0,529.0,2483.0,17.0,4.7,136.0,85.0,637.0,29.0,0.0,0.0,56.1,6.2,2.5,7.7,7.8,13.7,91.2,41.0,332.0,6.6,7.4,36.0,209.0,0.0,5.8,54.0,941.0,0.0,17.4,7658.0,0.0,0.0,10.0,10.0,5.0,3.0,5.0,1.0,0.0,0.0,20.0,14.0,70.0,52.0,50.0,96.2,65.0,2583.0,2.0,39.7,285.0,5297.0,997.0,5.3,37.0,16.0,280.0,256.0,482.0,3135.0,22.0,21.0,6.1,151.0,482.0,2162.0,9.0,4.5,114.0,122.0,1060.0,15.0,0.0,0.0,53.1,4.6,4.4,7.0,6.0,13.2,72.6,33.0,248.0,5.1,6.4,33.0,323.0,0.0,9.8,55.0,1203.0,0.0,21.9,27.0,20.0,74.1,32.0,31.0,96.9,75.0,2932.0,0.0,39.1,29.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3950.0,5.0,119.0,804.0,0.5115420129270545,0.4884579870729455,0.5930175381085068,0.40698246189149323,0.6530612244897959,0.34693877551020413,1.3455882352941178,0.7431693989071039,0.08333333333333333,1.6382978723404256,0.5165496489468405,0.4834503510531595,0.5918444402491977,0.4081555597508023,0.7096774193548387,0.29032258064516125,0.05357142857142857,1.5555555555555556,0.6551724137931034,18.0
Washington Redskins,386.0,6253.0,1116.0,5.6,37.0,20.0,338.0,337.0,581.0,4349.0,24.0,17.0,7.2,217.0,514.0,1904.0,14.0,3.7,101.0,105.0,881.0,20.0,0.0,0.0,58.0,4.1,2.9,7.7,7.2,13.3,84.1,21.0,127.0,6.8,3.5,26.0,226.0,0.0,8.7,58.0,1176.0,1.0,20.3,7794.0,2.0,2.0,11.0,11.0,15.0,13.0,11.0,3.0,1.0,0.0,40.0,29.0,72.5,41.0,41.0,100.0,63.0,2706.0,1.0,43.0,308.0,4915.0,954.0,5.2,42.0,15.0,274.0,277.0,530.0,3571.0,25.0,27.0,6.3,177.0,384.0,1344.0,9.0,3.5,72.0,98.0,796.0,25.0,0.0,0.0,52.3,4.7,5.1,7.3,6.0,14.0,70.6,40.0,304.0,5.0,7.0,34.0,383.0,0.0,11.3,74.0,1532.0,1.0,20.7,23.0,14.0,60.9,38.0,38.0,100.0,76.0,3048.0,0.0,40.1,32.0,0.0,3.0,0.0,42.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4476.0,5.0,78.0,1338.0,0.5394265232974911,0.4605734767025089,0.6955061570446186,0.3044938429553814,0.631578947368421,0.368421052631579,2.1485148514851486,0.46543778801843316,0.05917159763313609,2.081081081081081,0.5974842767295597,0.4025157232704403,0.7265513733468972,0.27344862665310277,0.7352941176470589,0.2647058823529411,0.09124087591240876,2.085714285714286,0.625,24.0
New Orleans Saints,386.0,5328.0,999.0,5.3,31.0,12.0,304.0,284.0,461.0,3380.0,23.0,19.0,6.8,167.0,502.0,1948.0,19.0,3.9,108.0,90.0,676.0,29.0,0.0,0.0,61.6,5.0,4.1,7.9,7.1,12.9,85.9,36.0,271.0,6.0,7.2,53.0,428.0,1.0,8.1,63.0,1284.0,1.0,20.4,7273.0,0.0,0.0,8.0,7.0,11.0,10.0,6.0,3.0,4.0,0.0,29.0,20.0,69.0,45.0,44.0,97.8,71.0,2774.0,0.0,39.1,301.0,5186.0,997.0,5.2,39.0,18.0,293.0,320.0,577.0,3860.0,23.0,21.0,6.2,198.0,373.0,1326.0,10.0,3.6,79.0,105.0,850.0,16.0,0.0,0.0,55.5,4.0,3.6,7.3,6.5,13.2,76.9,47.0,362.0,5.4,7.5,35.0,244.0,0.0,7.0,55.0,983.0,0.0,17.9,24.0,19.0,79.2,35.0,34.0,97.1,75.0,2955.0,0.0,39.4,28.0,0.0,2.0,0.0,46.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3651.0,8.0,85.0,142.0,0.4974974974974975,0.5025025025025025,0.6343843843843844,0.3656156156156156,0.5476190476190477,0.45238095238095233,1.5462962962962963,0.6467065868263473,0.09539473684210527,2.025641025641026,0.6258776328986961,0.37412236710130387,0.7443116081758581,0.25568839182414194,0.696969696969697,0.303030303030303,0.05460750853242321,2.0277777777777777,0.42857142857142855,18.0
Houston Oilers,365.0,5427.0,1028.0,5.3,33.0,17.0,327.0,295.0,496.0,3499.0,23.0,16.0,6.6,185.0,495.0,1928.0,16.0,3.9,112.0,149.0,1153.0,30.0,0.0,0.0,59.5,4.6,3.2,7.6,7.1,12.8,85.5,37.0,287.0,6.1,6.9,19.0,122.0,0.0,6.4,74.0,1285.0,0.0,17.4,7064.0,1.0,1.0,9.0,8.0,14.0,9.0,11.0,5.0,2.0,2.0,37.0,25.0,67.6,40.0,40.0,100.0,58.0,2508.0,2.0,43.2,412.0,5211.0,940.0,5.5,37.0,16.0,314.0,269.0,467.0,3542.0,28.0,21.0,7.0,165.0,437.0,1669.0,20.0,3.8,119.0,109.0,903.0,30.0,0.0,0.0,57.6,6.0,4.5,8.2,7.4,14.2,85.4,36.0,277.0,6.3,7.2,24.0,191.0,0.0,8.0,59.0,1024.0,1.0,17.4,21.0,17.0,81.0,51.0,49.0,96.1,56.0,2106.0,0.0,37.6,39.0,0.0,0.0,2.0,41.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3786.0,4.0,-47.0,216.0,0.5184824902723736,0.4815175097276264,0.6447392666298138,0.35526073337018615,0.5897435897435898,0.41025641025641024,1.6517857142857142,0.6054054054054054,0.09174311926605505,1.9487179487179487,0.5351063829787234,0.46489361702127663,0.6797159854154673,0.3202840145845327,0.5833333333333334,0.41666666666666663,0.09554140127388536,2.1578947368421053,0.4358974358974359,16.0
Denver Broncos,362.0,5093.0,1071.0,4.8,32.0,12.0,308.0,256.0,474.0,3001.0,21.0,20.0,5.8,163.0,554.0,2092.0,15.0,3.8,125.0,83.0,594.0,20.0,0.0,0.0,54.0,4.4,4.2,7.1,6.1,13.1,73.7,43.0,351.0,4.9,8.3,45.0,344.0,0.0,7.6,43.0,876.0,0.0,20.4,6756.0,3.0,3.0,14.0,13.0,8.0,8.0,7.0,3.0,1.0,0.0,33.0,27.0,81.8,40.0,39.0,97.5,80.0,3188.0,0.0,39.9,226.0,4407.0,977.0,4.5,43.0,22.0,246.0,268.0,504.0,2827.0,13.0,21.0,5.1,142.0,426.0,1580.0,10.0,3.7,90.0,102.0,823.0,14.0,0.0,0.0,53.2,2.6,4.2,6.4,5.0,11.9,64.1,47.0,374.0,3.9,8.5,28.0,370.0,0.0,13.2,72.0,1256.0,0.0,17.4,27.0,17.0,63.0,25.0,25.0,100.0,84.0,3444.0,0.0,41.0,26.0,2.0,2.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3352.0,11.0,136.0,686.0,0.4827264239028945,0.5172735760971054,0.5892401335165914,0.41075986648340856,0.5833333333333334,0.41666666666666663,1.304,0.7668711656441718,0.06493506493506493,1.868421052631579,0.563971340839304,0.436028659160696,0.641479464488314,0.35852053551168594,0.5652173913043478,0.4347826086956522,0.056910569105691054,1.7297297297297298,0.46153846153846156,26.0
Green Bay Packers,362.0,5780.0,1045.0,5.5,33.0,13.0,342.0,354.0,600.0,4048.0,27.0,20.0,6.2,207.0,397.0,1732.0,13.0,4.4,114.0,81.0,666.0,21.0,0.0,0.0,59.0,4.5,3.3,7.2,6.6,12.2,82.4,48.0,277.0,5.7,7.4,35.0,289.0,0.0,8.3,69.0,1239.0,0.0,18.0,7657.0,1.0,1.0,9.0,9.0,6.0,4.0,9.0,7.0,3.0,1.0,28.0,22.0,78.6,42.0,42.0,100.0,66.0,2682.0,0.0,40.6,356.0,5347.0,970.0,5.5,40.0,15.0,307.0,302.0,476.0,3339.0,22.0,25.0,6.5,179.0,460.0,2008.0,15.0,4.4,116.0,105.0,851.0,12.0,0.0,0.0,63.4,4.6,5.3,7.5,6.0,11.8,79.6,34.0,214.0,5.2,6.7,30.0,416.0,0.0,13.9,63.0,1389.0,0.0,22.0,30.0,23.0,76.7,41.0,39.0,95.1,65.0,2646.0,0.0,40.7,35.0,2.0,0.0,0.0,42.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,4325.0,7.0,6.0,433.0,0.6200956937799043,0.37990430622009574,0.7003460207612456,0.29965397923875436,0.675,0.32499999999999996,1.8157894736842106,0.5507246376811594,0.06140350877192982,1.6363636363636362,0.5257731958762887,0.4742268041237113,0.6244623153170001,0.37553768468299986,0.5945945945945946,0.4054054054054054,0.03908794788273615,1.7045454545454544,0.37142857142857144,14.0
Chicago Bears,358.0,5375.0,1028.0,5.2,42.0,17.0,302.0,267.0,484.0,3088.0,21.0,25.0,6.0,147.0,516.0,2287.0,22.0,4.4,136.0,95.0,846.0,19.0,0.0,0.0,55.2,4.3,5.2,6.7,5.3,12.2,69.1,28.0,174.0,4.7,5.5,32.0,220.0,0.0,6.9,73.0,1539.0,1.0,21.1,7324.0,0.0,0.0,6.0,6.0,7.0,6.0,5.0,3.0,1.0,0.0,19.0,15.0,78.9,45.0,43.0,95.6,72.0,2844.0,0.0,39.5,377.0,5729.0,1039.0,5.5,38.0,12.0,332.0,307.0,554.0,3832.0,21.0,26.0,6.5,191.0,446.0,1897.0,21.0,4.3,118.0,94.0,802.0,23.0,0.0,0.0,55.4,3.8,4.7,7.4,6.0,13.3,72.0,39.0,247.0,5.2,6.6,30.0,262.0,0.0,8.7,68.0,1375.0,0.0,20.2,36.0,26.0,72.2,43.0,41.0,95.3,67.0,2653.0,0.0,39.6,23.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3262.0,-4.0,-19.0,-354.0,0.4980544747081712,0.5019455252918288,0.5745116279069767,0.42548837209302326,0.4883720930232558,0.5116279069767442,1.0808823529411764,0.9251700680272109,0.06291390728476821,1.5227272727272727,0.5707410972088547,0.4292589027911453,0.6688776400768023,0.3311223599231977,0.5,0.5,0.06927710843373494,1.7209302325581397,0.7391304347826086,6.0
