Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,ExpectedPointsRunning,ExpectedPointsRunning_Defense,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored,TimeOfPossession,TimeOfPossession_Defense,AvgFieldPositionDifferential
Kansas City Chiefs,484.0,5910.0,1003.0,5.9,18.0,6.0,348.0,339.0,536.0,3981.0,24.0,12.0,7.1,201.0,446.0,1929.0,32.0,4.3,120.0,79.0,698.0,27.0,38.3,8.5,167.9,63.2,4.5,2.2,7.7,7.6,12.1,92.4,21.0,132.0,7.0,3.8,126.1,33.0,542.0,2.0,16.4,62.0,1577.0,2.0,25.4,8167.0,0.0,0.0,3.0,3.0,8.0,8.0,8.0,5.0,1.0,0.0,20.0,16.0,80.0,59.0,58.0,98.3,81.0,3195.0,1.0,39.4,332.0,5707.0,1054.0,5.4,37.0,12.0,322.0,332.0,565.0,3363.0,19.0,25.0,5.6,184.0,453.0,2344.0,18.0,5.2,120.0,95.0,781.0,18.0,29.5,17.4,-26.07,58.8,3.4,4.4,6.4,5.1,10.9,70.5,36.0,251.0,4.4,6.0,-13.12,38.0,327.0,1.0,8.6,87.0,2043.0,0.0,23.5,25.0,19.0,76.0,39.0,39.0,100.0,73.0,2971.0,0.0,40.7,13.0,47.6,-22.36,188.0,5.4,31.3,32.3,151.0,2.34,190.0,5.7,30.0,30.0,156.0,1.66,0.0,3.0,0.0,63.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4113.0,19.0,152.0,203.0,0.555333998005982,0.444666001994018,0.6736040609137056,0.3263959390862944,0.42857142857142855,0.5714285714285714,1.675,0.5970149253731343,0.07758620689655173,1.7906976744186047,0.5702087286527514,0.4297912713472486,0.5892763273173296,0.4107236726826704,0.5135135135135135,0.4864864864864865,0.05590062111801242,1.2307692307692308,0.4615384615384616,18.0,28388.0,29640.0,2.299999999999997
Indianapolis Colts,447.0,5874.0,1041.0,5.6,20.0,10.0,348.0,381.0,569.0,4179.0,29.0,10.0,7.1,212.0,453.0,1695.0,16.0,3.7,104.0,92.0,662.0,32.0,46.3,10.2,162.84,67.0,5.1,1.8,7.5,7.8,11.3,99.0,19.0,110.0,7.3,3.2,183.87,31.0,240.0,0.0,7.7,64.0,1510.0,0.0,23.6,7766.0,0.0,0.0,17.0,17.0,7.0,7.0,12.0,12.0,1.0,1.0,37.0,37.0,100.0,46.0,46.0,100.0,64.0,2688.0,1.0,42.0,336.0,4789.0,913.0,5.2,30.0,15.0,279.0,277.0,445.0,2809.0,18.0,15.0,5.9,138.0,437.0,1980.0,19.0,4.5,117.0,123.0,1005.0,24.0,30.1,14.8,-4.71,62.2,4.0,3.4,6.8,6.1,11.0,81.8,31.0,225.0,5.2,6.5,5.89,32.0,319.0,0.0,10.0,93.0,1999.0,2.0,21.5,21.0,16.0,76.2,38.0,38.0,100.0,74.0,3115.0,0.0,42.1,25.0,-15.75,-25.38,177.0,6.1,33.2,31.8,171.0,2.41,176.0,5.3,27.2,29.9,161.0,1.74,1.0,2.0,0.0,48.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4289.0,10.0,111.0,1085.0,0.5648414985590778,0.43515850144092216,0.7114402451481103,0.2885597548518897,0.6444444444444445,0.3555555555555555,2.0384615384615383,0.490566037735849,0.09195402298850576,2.0270270270270268,0.5213581599123768,0.4786418400876232,0.5865525161829191,0.4134474838170809,0.4864864864864865,0.5135135135135135,0.08602150537634409,1.5111111111111108,0.4,18.0,30267.0,28336.0,1.9000000000000021
St. Louis Rams,447.0,5457.0,1054.0,5.2,39.0,16.0,335.0,377.0,600.0,3961.0,23.0,23.0,6.2,211.0,411.0,1496.0,19.0,3.6,97.0,92.0,667.0,27.0,41.1,16.8,12.98,62.8,3.8,3.8,7.1,6.2,11.4,81.0,43.0,326.0,5.3,6.7,43.19,39.0,337.0,0.0,8.6,70.0,1488.0,0.0,21.3,7758.0,0.0,0.0,16.0,16.0,13.0,11.0,9.0,8.0,4.0,4.0,42.0,39.0,92.9,46.0,46.0,100.0,59.0,2525.0,0.0,42.8,328.0,5052.0,964.0,5.2,46.0,22.0,272.0,296.0,510.0,3072.0,23.0,24.0,5.6,164.0,412.0,1980.0,9.0,4.8,92.0,114.0,882.0,16.0,26.3,22.2,131.2,58.0,4.5,4.7,6.6,5.4,11.4,73.3,42.0,291.0,4.4,7.6,113.69,32.0,484.0,2.0,15.1,83.0,1985.0,2.0,23.9,24.0,19.0,79.2,36.0,35.0,97.2,74.0,3064.0,0.0,41.4,33.0,-21.07,1.38,197.0,5.6,27.6,34.1,156.0,2.09,194.0,5.1,26.0,32.7,140.0,1.45,2.0,3.0,0.0,47.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4287.0,7.0,119.0,405.0,0.610056925996205,0.389943074003795,0.7258566978193146,0.2741433021806854,0.5476190476190477,0.4523809523809523,2.1752577319587627,0.4597156398104265,0.08059701492537312,1.9722222222222219,0.5726141078838174,0.4273858921161826,0.6080760095011877,0.3919239904988123,0.71875,0.28125,0.05882352941176471,1.375,0.4848484848484849,32.0,30732.0,27160.0,1.3999999999999986
Green Bay Packers,442.0,5798.0,999.0,5.8,32.0,11.0,315.0,310.0,473.0,3240.0,32.0,21.0,6.6,166.0,507.0,2558.0,18.0,5.0,127.0,88.0,699.0,22.0,38.0,15.6,68.04,65.5,6.8,4.4,7.1,6.5,10.9,90.5,19.0,137.0,6.0,3.9,62.13,35.0,277.0,0.0,7.9,64.0,1511.0,0.0,23.6,7716.0,0.0,0.0,5.0,5.0,11.0,11.0,9.0,6.0,1.0,1.0,26.0,23.0,88.5,51.0,51.0,100.0,71.0,2933.0,0.0,41.3,307.0,5101.0,1036.0,4.9,32.0,11.0,288.0,326.0,589.0,3400.0,18.0,21.0,5.5,172.0,413.0,1701.0,10.0,4.1,91.0,97.0,767.0,25.0,29.6,15.3,88.27,55.3,3.1,3.6,6.1,5.1,11.0,69.0,34.0,200.0,4.5,5.5,64.45,32.0,316.0,0.0,9.9,82.0,1707.0,1.0,20.8,33.0,30.0,90.9,29.0,29.0,100.0,83.0,3403.0,0.0,41.0,19.0,13.45,19.81,192.0,5.3,30.2,32.3,155.0,2.18,196.0,5.5,26.0,32.2,143.0,1.46,1.0,2.0,0.0,53.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3377.0,0.0,135.0,697.0,0.4924924924924925,0.5075075075075075,0.5588133839254915,0.4411866160745085,0.64,0.36,1.3070866141732282,0.7650602409638554,0.06984126984126984,1.42,0.6013513513513513,0.3986486486486487,0.6665359733385611,0.3334640266614389,0.6428571428571429,0.3571428571428571,0.08680555555555555,1.4878048780487805,0.5789473684210527,18.0,29760.0,28028.0,0.09999999999999432
Tennessee Titans,435.0,5501.0,1013.0,5.4,21.0,12.0,310.0,315.0,502.0,3878.0,30.0,9.0,7.4,211.0,486.0,1623.0,11.0,3.3,84.0,110.0,887.0,15.0,39.4,9.6,33.42,62.7,6.0,1.8,8.0,8.4,12.8,100.3,25.0,153.0,7.7,4.7,131.32,37.0,429.0,1.0,11.6,68.0,1299.0,0.0,19.1,7554.0,0.0,0.0,5.0,5.0,14.0,14.0,16.0,12.0,2.0,1.0,37.0,32.0,86.5,44.0,43.0,97.7,71.0,3117.0,0.0,43.9,324.0,4901.0,926.0,5.3,34.0,13.0,275.0,332.0,546.0,3606.0,20.0,21.0,6.2,167.0,342.0,1295.0,10.0,3.8,79.0,96.0,793.0,29.0,29.8,16.0,102.05,60.8,3.7,3.8,7.0,6.0,11.5,78.2,38.0,223.0,5.2,6.5,58.03,30.0,276.0,1.0,9.2,81.0,1521.0,0.0,18.8,30.0,26.0,86.7,34.0,34.0,100.0,78.0,3292.0,0.0,42.2,24.0,-90.03,34.68,188.0,5.6,29.4,34.1,168.0,2.07,188.0,5.1,26.0,29.2,139.0,1.53,3.0,3.0,0.0,48.0,3.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4031.0,13.0,111.0,600.0,0.5202369200394866,0.4797630799605134,0.7049627340483549,0.29503726595164514,0.7317073170731707,0.2682926829268293,2.511904761904762,0.3981042654028436,0.04838709677419355,2.4242424242424243,0.6306695464362851,0.3693304535637149,0.7357682105692716,0.26423178943072845,0.6666666666666666,0.33333333333333337,0.10545454545454544,1.842105263157895,0.5,38.0,31584.0,26132.0,4.900000000000002
Minnesota Vikings,416.0,6294.0,1055.0,6.0,24.0,11.0,336.0,333.0,520.0,3951.0,32.0,13.0,7.0,194.0,493.0,2343.0,15.0,4.8,124.0,127.0,1029.0,18.0,35.5,13.1,91.52,64.0,6.2,2.5,8.0,8.1,12.5,99.0,42.0,218.0,7.1,7.5,91.9,36.0,247.0,0.0,6.9,71.0,1428.0,0.0,20.1,8180.0,0.0,0.0,7.0,7.0,8.0,6.0,7.0,4.0,3.0,1.0,25.0,18.0,72.0,48.0,48.0,100.0,64.0,2501.0,1.0,39.1,353.0,5356.0,955.0,5.6,35.0,7.0,316.0,311.0,531.0,3477.0,17.0,28.0,6.1,186.0,387.0,1879.0,22.0,4.9,94.0,90.0,720.0,36.0,33.7,19.1,8.5,58.6,3.2,5.3,7.0,5.3,12.0,68.8,37.0,245.0,4.5,6.5,-11.37,29.0,310.0,0.0,10.7,75.0,1608.0,0.0,21.4,26.0,21.0,80.8,36.0,36.0,100.0,64.0,2579.0,0.0,40.3,31.0,7.86,0.53,183.0,5.9,34.3,29.9,172.0,2.09,178.0,5.5,30.0,32.8,146.0,1.89,0.0,4.0,0.0,51.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4169.0,11.0,63.0,938.0,0.5327014218009478,0.4672985781990522,0.6277407054337464,0.3722592945662536,0.6808510638297872,0.3191489361702128,1.564516129032258,0.6391752577319587,0.05357142857142857,1.6666666666666667,0.5947643979057592,0.4052356020942408,0.6491784914115011,0.3508215085884989,0.4358974358974359,0.5641025641025641,0.1139240506329114,1.4285714285714284,0.3548387096774194,28.0,31476.0,25988.0,-2.8999999999999986
Seattle Seahawks,404.0,5627.0,1017.0,5.5,29.0,13.0,338.0,317.0,521.0,3618.0,27.0,16.0,6.4,190.0,453.0,2009.0,17.0,4.4,121.0,91.0,777.0,27.0,36.2,13.5,70.52,60.8,5.2,3.1,7.4,7.1,12.2,88.2,43.0,254.0,6.1,7.6,90.46,34.0,320.0,1.0,9.4,64.0,1336.0,0.0,20.9,7647.0,0.0,0.0,5.0,5.0,11.0,10.0,11.0,6.0,3.0,1.0,30.0,22.0,73.3,48.0,48.0,100.0,69.0,2844.0,2.0,41.2,327.0,5239.0,1069.0,4.9,28.0,12.0,304.0,343.0,573.0,3480.0,24.0,16.0,5.7,183.0,456.0,1759.0,9.0,3.9,93.0,105.0,825.0,28.0,30.9,14.4,10.42,59.9,4.2,2.8,6.5,6.1,10.9,81.4,40.0,248.0,5.3,6.5,-57.79,29.0,140.0,0.0,4.8,79.0,1626.0,0.0,20.6,31.0,25.0,80.6,35.0,34.0,97.1,76.0,3025.0,0.0,39.8,23.0,-10.12,54.52,185.0,5.7,30.4,32.2,149.0,2.06,188.0,5.9,27.7,30.6,162.0,1.63,3.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3872.0,-1.0,77.0,388.0,0.5545722713864307,0.4454277286135693,0.6429713879509508,0.35702861204904923,0.6136363636363636,0.3863636363636364,1.5702479338842976,0.6368421052631579,0.07988165680473372,1.6818181818181817,0.5734331150608045,0.4265668849391955,0.664248902462302,0.33575109753769805,0.7272727272727273,0.2727272727272727,0.09210526315789473,1.6666666666666667,0.5652173913043478,20.0,27565.0,30456.0,1.6000000000000014
Baltimore Ravens,391.0,4929.0,1009.0,4.9,38.0,19.0,259.0,217.0,415.0,2255.0,16.0,19.0,4.9,121.0,552.0,2674.0,18.0,4.8,115.0,126.0,970.0,23.0,31.8,16.6,-125.2,52.3,3.9,4.6,6.1,4.8,11.6,64.7,42.0,262.0,3.8,9.2,-61.15,53.0,410.0,0.0,7.7,57.0,1222.0,0.0,21.4,6828.0,0.0,0.0,16.0,16.0,6.0,6.0,14.0,11.0,4.0,1.0,40.0,34.0,85.0,35.0,35.0,100.0,91.0,3712.0,0.0,40.8,281.0,4341.0,1026.0,4.2,41.0,17.0,248.0,296.0,531.0,2805.0,19.0,24.0,4.9,144.0,448.0,1536.0,6.0,3.4,78.0,106.0,935.0,26.0,24.3,16.5,230.86,55.7,3.6,4.5,5.9,4.6,10.7,66.4,47.0,353.0,3.6,8.1,140.29,42.0,345.0,0.0,8.2,70.0,1495.0,1.0,21.4,31.0,28.0,90.3,27.0,27.0,100.0,105.0,4210.0,0.0,40.1,37.0,-44.86,78.58,217.0,4.8,22.7,35.0,136.0,1.6,218.0,4.8,19.9,31.2,133.0,1.19,1.0,4.0,2.0,41.0,4.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2517.0,3.0,110.0,588.0,0.4529236868186323,0.5470763131813676,0.4574964495840941,0.5425035504159059,0.4705882352941176,0.5294117647058824,1.0521739130434782,0.950413223140496,0.0888030888030888,1.2708333333333333,0.5633528265107213,0.4366471734892787,0.6461644782308223,0.35383552176917765,0.76,0.24,0.10483870967741936,1.7352941176470589,0.5135135135135135,42.0,29512.0,28994.0,3.8000000000000007
San Francisco 49ers,384.0,5687.0,1038.0,5.5,25.0,10.0,313.0,299.0,511.0,3408.0,25.0,15.0,6.3,172.0,499.0,2279.0,16.0,4.6,118.0,104.0,807.0,23.0,35.1,12.4,20.3,58.5,4.9,2.9,7.0,6.6,11.9,84.0,28.0,158.0,6.0,5.2,56.41,40.0,276.0,0.0,6.9,64.0,1327.0,1.0,20.7,7457.0,0.0,0.0,13.0,11.0,12.0,7.0,10.0,8.0,2.0,0.0,37.0,26.0,70.3,41.0,38.0,92.7,69.0,2668.0,1.0,38.7,337.0,4928.0,976.0,5.0,37.0,14.0,292.0,310.0,514.0,3238.0,25.0,23.0,5.8,165.0,420.0,1690.0,13.0,4.0,99.0,78.0,720.0,28.0,29.4,16.6,32.82,60.3,4.9,4.5,6.9,5.9,11.4,78.6,42.0,306.0,4.9,7.6,9.84,28.0,258.0,1.0,9.2,77.0,1641.0,0.0,21.3,26.0,17.0,65.4,40.0,40.0,100.0,76.0,2972.0,0.0,39.1,24.0,-18.49,18.77,194.0,5.5,29.3,34.0,154.0,1.92,187.0,5.4,26.3,31.8,151.0,1.7,1.0,1.0,0.0,44.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3566.0,12.0,47.0,759.0,0.5192678227360308,0.4807321772639692,0.599261473536135,0.400738526463865,0.6097560975609756,0.3902439024390244,1.4576271186440677,0.686046511627907,0.07348242811501597,1.5217391304347827,0.569672131147541,0.430327868852459,0.6570616883116883,0.3429383116883117,0.6578947368421053,0.3421052631578947,0.0958904109589041,1.725,0.4166666666666667,14.0,29876.0,28237.0,2.1999999999999993
Denver Broncos,381.0,5598.0,1047.0,5.3,24.0,6.0,334.0,280.0,479.0,2969.0,19.0,18.0,5.9,162.0,543.0,2629.0,20.0,4.8,133.0,107.0,922.0,39.0,36.6,12.0,39.2,58.5,4.0,3.8,6.5,5.6,11.2,75.6,25.0,157.0,5.0,5.0,6.94,39.0,442.0,2.0,11.3,59.0,1302.0,0.0,22.1,7509.0,0.0,0.0,12.0,11.0,6.0,6.0,11.0,9.0,3.0,2.0,32.0,28.0,87.5,41.0,41.0,100.0,70.0,3023.0,2.0,43.2,301.0,4433.0,910.0,4.9,20.0,11.0,241.0,265.0,495.0,2828.0,17.0,9.0,5.3,141.0,379.0,1605.0,11.0,4.2,77.0,137.0,1031.0,23.0,28.6,10.3,46.6,53.5,3.4,1.8,6.2,6.0,11.5,76.2,36.0,221.0,5.2,6.8,-3.05,46.0,560.0,1.0,12.2,73.0,1679.0,0.0,23.0,28.0,25.0,89.3,29.0,28.0,96.6,85.0,3663.0,0.0,43.1,24.0,40.6,37.6,183.0,5.9,30.6,30.5,179.0,1.95,185.0,5.1,23.8,31.1,136.0,1.46,0.0,1.0,0.0,42.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3126.0,-4.0,80.0,1165.0,0.4813753581661891,0.5186246418338111,0.5303679885673455,0.4696320114326546,0.4871794871794872,0.5128205128205128,1.218045112781955,0.8209876543209876,0.11676646706586828,1.3541666666666667,0.5835164835164836,0.4164835164835165,0.6379427024588314,0.36205729754116855,0.6071428571428571,0.3928571428571429,0.0954356846473029,1.4761904761904765,0.25,8.0,32757.0,25160.0,-0.6000000000000014
