Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
Miami Dolphins,430.0,6324.0,1011.0,6.3,37.0,14.0,351.0,392.0,645.0,4779.0,46.0,23.0,7.2,250.0,349.0,1545.0,9.0,4.4,84.0,72.0,609.0,17.0,0.0,0.0,60.8,7.1,3.6,7.6,7.4,12.5,93.3,17.0,119.0,7.0,2.6,40.0,297.0,1.0,7.4,65.0,1185.0,0.0,18.2,7923.0,1.0,1.0,5.0,5.0,6.0,4.0,8.0,3.0,2.0,1.0,22.0,14.0,63.6,55.0,52.0,94.5,56.0,2476.0,0.0,44.2,405.0,6050.0,1058.0,5.7,27.0,14.0,337.0,290.0,485.0,3557.0,22.0,13.0,6.9,177.0,540.0,2493.0,23.0,4.6,144.0,82.0,596.0,16.0,0.0,0.0,59.8,4.5,2.7,7.9,7.6,13.2,88.7,33.0,268.0,6.6,6.4,23.0,200.0,0.0,8.7,53.0,997.0,0.0,18.8,31.0,26.0,83.9,46.0,45.0,97.8,64.0,2650.0,0.0,41.4,37.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4898.0,-10.0,25.0,274.0,0.6547972304648862,0.34520276953511375,0.7556925996204934,0.2443074003795066,0.8363636363636363,0.1636363636363637,2.9761904761904763,0.336,0.04843304843304843,1.727272727272727,0.4896030245746692,0.5103969754253308,0.5879338842975207,0.4120661157024793,0.4888888888888889,0.5111111111111111,0.04747774480712166,1.7173913043478264,0.3783783783783784,0.0
New England Patriots,412.0,5327.0,1073.0,5.0,24.0,11.0,314.0,340.0,557.0,3954.0,29.0,13.0,6.5,202.0,469.0,1373.0,10.0,2.9,77.0,87.0,672.0,35.0,0.0,0.0,61.0,5.2,2.3,7.8,7.7,12.7,92.9,47.0,367.0,6.5,7.8,42.0,396.0,1.0,9.4,58.0,1147.0,0.0,19.8,7300.0,1.0,1.0,7.0,7.0,17.0,15.0,16.0,9.0,0.0,0.0,41.0,32.0,78.0,45.0,44.0,97.8,92.0,3872.0,3.0,42.1,307.0,5181.0,1031.0,5.0,40.0,19.0,286.0,255.0,473.0,2978.0,15.0,21.0,5.7,153.0,510.0,2203.0,19.0,4.3,118.0,106.0,866.0,15.0,0.0,0.0,53.9,3.2,4.4,7.0,5.7,13.0,68.4,48.0,346.0,4.5,9.2,60.0,565.0,0.0,9.4,81.0,1480.0,0.0,18.3,28.0,21.0,75.0,35.0,34.0,97.1,90.0,3582.0,0.0,39.8,27.0,2.0,1.0,2.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4321.0,16.0,105.0,146.0,0.5629077353215284,0.4370922646784716,0.7422564295100432,0.2577435704899568,0.7435897435897436,0.2564102564102564,2.6233766233766236,0.3811881188118812,0.11146496815286625,2.689655172413793,0.5053346265761397,0.4946653734238603,0.5747925110982436,0.4252074889017564,0.4411764705882353,0.5588235294117647,0.05244755244755245,1.627906976744186,0.4074074074074074,32.0
Cincinnati Bengals,409.0,6490.0,1046.0,6.2,36.0,16.0,348.0,287.0,497.0,3957.0,25.0,20.0,7.5,183.0,521.0,2533.0,24.0,4.9,134.0,111.0,847.0,31.0,0.0,0.0,57.7,5.0,4.0,8.4,7.6,14.5,85.1,28.0,203.0,6.8,5.3,29.0,235.0,0.0,8.1,63.0,1389.0,0.0,22.0,8296.0,2.0,1.0,5.0,4.0,7.0,5.0,14.0,5.0,4.0,2.0,32.0,17.0,53.1,51.0,50.0,98.0,59.0,2066.0,2.0,35.0,394.0,5274.0,1051.0,5.0,28.0,11.0,336.0,278.0,495.0,3152.0,17.0,17.0,5.9,171.0,514.0,2122.0,23.0,4.1,134.0,93.0,840.0,31.0,0.0,0.0,56.2,3.4,3.4,7.1,6.3,12.7,75.7,42.0,368.0,5.1,7.8,19.0,182.0,0.0,9.6,80.0,1611.0,1.0,20.1,30.0,22.0,73.3,47.0,44.0,93.6,77.0,3065.0,0.0,39.8,31.0,1.0,1.0,0.0,51.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,4160.0,-8.0,15.0,1216.0,0.5019120458891013,0.4980879541108987,0.6097072419106317,0.39029275808936825,0.5102040816326531,0.4897959183673469,1.3656716417910448,0.73224043715847,0.08908045977011494,1.7142857142857142,0.510941960038059,0.48905803996194097,0.5976488433826318,0.4023511566173682,0.425,0.575,0.09226190476190477,1.7317073170731707,0.5161290322580645,14.0
Minnesota Vikings,398.0,5651.0,1024.0,5.5,29.0,14.0,321.0,290.0,519.0,3913.0,31.0,15.0,7.0,186.0,461.0,1738.0,14.0,3.8,114.0,96.0,890.0,21.0,0.0,0.0,55.9,6.0,2.9,8.1,8.0,14.4,90.1,44.0,272.0,6.9,7.8,31.0,215.0,0.0,6.9,56.0,1200.0,0.0,21.4,7322.0,0.0,0.0,8.0,7.0,10.0,9.0,7.0,4.0,3.0,2.0,28.0,22.0,78.6,47.0,44.0,93.6,73.0,2963.0,1.0,40.6,273.0,5012.0,1013.0,4.9,42.0,18.0,286.0,276.0,494.0,3216.0,16.0,24.0,6.0,155.0,481.0,1796.0,10.0,3.7,106.0,99.0,806.0,25.0,0.0,0.0,55.9,3.2,4.9,7.0,5.5,12.6,68.5,38.0,259.0,4.6,7.1,40.0,356.0,0.0,8.9,79.0,1532.0,0.0,19.4,33.0,27.0,81.8,27.0,24.0,88.9,75.0,3022.0,0.0,40.3,31.0,0.0,2.0,1.0,48.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4185.0,13.0,125.0,639.0,0.5498046875,0.4501953125,0.6924438152539374,0.3075561847460626,0.6888888888888889,0.3111111111111111,1.631578947368421,0.6129032258064516,0.06542056074766354,2.1315789473684212,0.5251727541954591,0.47482724580454094,0.641660015961692,0.358339984038308,0.6153846153846154,0.3846153846153846,0.08741258741258741,1.8918918918918919,0.45161290322580644,18.0
Cleveland Browns,391.0,5394.0,1047.0,5.2,24.0,13.0,302.0,315.0,538.0,3744.0,18.0,11.0,6.5,175.0,470.0,1650.0,20.0,3.5,102.0,101.0,807.0,25.0,0.0,0.0,58.6,3.3,2.0,7.5,7.2,12.8,84.6,39.0,274.0,6.3,6.8,41.0,350.0,1.0,8.5,62.0,1213.0,1.0,19.6,7215.0,5.0,5.0,11.0,9.0,11.0,10.0,3.0,1.0,3.0,1.0,33.0,26.0,78.8,44.0,43.0,97.7,83.0,3423.0,0.0,41.2,310.0,5269.0,1047.0,5.0,37.0,19.0,302.0,291.0,518.0,3288.0,21.0,18.0,5.9,171.0,494.0,1981.0,12.0,4.0,113.0,101.0,754.0,18.0,0.0,0.0,56.2,4.1,3.5,6.8,6.1,12.2,76.5,35.0,258.0,5.2,6.3,44.0,268.0,0.0,6.1,78.0,1476.0,1.0,18.9,29.0,20.0,69.0,36.0,34.0,94.4,80.0,3032.0,0.0,37.9,31.0,3.0,0.0,2.0,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4018.0,13.0,81.0,125.0,0.5510983763132761,0.4489016236867239,0.6941045606229144,0.30589543937708563,0.47368421052631576,0.5263157894736843,1.7156862745098038,0.5828571428571429,0.08278145695364239,2.142857142857143,0.5281757402101241,0.47182425978987586,0.6240273296640729,0.3759726703359271,0.6363636363636364,0.36363636363636365,0.059602649006622516,1.7,0.41935483870967744,30.0
Denver Broncos,378.0,5216.0,1042.0,5.0,29.0,13.0,319.0,306.0,549.0,3538.0,22.0,16.0,6.0,184.0,455.0,1678.0,17.0,3.7,94.0,104.0,910.0,41.0,0.0,0.0,55.7,4.0,2.9,6.9,6.4,12.5,78.7,38.0,273.0,5.6,6.5,48.0,552.0,2.0,11.5,53.0,1094.0,0.0,20.6,7133.0,0.0,0.0,4.0,3.0,8.0,8.0,14.0,8.0,2.0,1.0,28.0,20.0,71.4,45.0,44.0,97.8,86.0,3416.0,1.0,39.7,327.0,4947.0,1026.0,4.8,35.0,17.0,291.0,301.0,545.0,3296.0,21.0,18.0,5.5,177.0,432.0,1651.0,13.0,3.8,93.0,127.0,1034.0,21.0,0.0,0.0,55.2,3.9,3.3,6.9,6.2,12.5,75.9,49.0,459.0,4.9,8.2,40.0,362.0,0.0,9.1,65.0,1299.0,0.0,20.0,32.0,24.0,75.0,36.0,35.0,97.2,86.0,3689.0,0.0,42.9,24.0,2.0,2.0,0.0,45.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,3811.0,6.0,51.0,269.0,0.5633397312859885,0.43666026871401153,0.67829754601227,0.32170245398773,0.5641025641025641,0.4358974358974359,1.9574468085106382,0.5108695652173914,0.12852664576802508,1.864864864864865,0.5789473684210527,0.42105263157894735,0.6662623812411562,0.3337376187588438,0.6176470588235294,0.38235294117647056,0.07216494845360824,1.8157894736842106,0.5416666666666666,28.0
San Francisco 49ers,374.0,6082.0,1118.0,5.4,29.0,9.0,346.0,353.0,582.0,4096.0,21.0,20.0,6.7,213.0,510.0,1986.0,16.0,3.9,114.0,95.0,691.0,19.0,0.0,0.0,60.7,3.6,3.4,7.4,6.6,12.2,81.1,26.0,203.0,5.9,4.3,43.0,397.0,1.0,9.2,42.0,757.0,0.0,18.0,7455.0,0.0,0.0,6.0,6.0,18.0,14.0,9.0,4.0,2.0,1.0,35.0,25.0,71.4,42.0,41.0,97.6,85.0,3533.0,2.0,41.6,247.0,4880.0,1061.0,4.6,49.0,10.0,285.0,324.0,604.0,3325.0,18.0,39.0,5.1,169.0,406.0,1555.0,8.0,3.8,97.0,89.0,653.0,19.0,0.0,0.0,53.6,3.0,6.5,6.2,3.9,11.6,55.8,51.0,448.0,2.9,7.8,49.0,373.0,0.0,7.6,71.0,1598.0,1.0,22.5,25.0,15.0,60.0,29.0,28.0,96.6,91.0,3767.0,0.0,41.4,32.0,0.0,5.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4299.0,20.0,127.0,1202.0,0.5438282647584973,0.4561717352415027,0.6734626767510687,0.32653732324893125,0.5675675675675675,0.43243243243243246,1.868421052631579,0.5352112676056338,0.05491329479768786,1.8974358974358976,0.6173421300659755,0.3826578699340245,0.6813524590163934,0.3186475409836066,0.6923076923076923,0.3076923076923077,0.06666666666666667,1.6315789473684212,0.28125,30.0
New York Giants,371.0,5378.0,1076.0,5.0,32.0,10.0,324.0,260.0,472.0,3133.0,22.0,22.0,6.0,171.0,558.0,2245.0,18.0,4.0,127.0,96.0,738.0,26.0,0.0,0.0,55.1,4.7,4.7,7.4,6.3,13.5,75.0,46.0,367.0,5.0,8.9,41.0,287.0,0.0,7.0,50.0,868.0,0.0,17.4,6908.0,0.0,0.0,13.0,12.0,10.0,8.0,12.0,6.0,2.0,0.0,37.0,26.0,70.3,41.0,41.0,100.0,79.0,3539.0,0.0,44.8,236.0,4757.0,996.0,4.8,43.0,19.0,284.0,334.0,587.0,3473.0,15.0,24.0,5.4,177.0,350.0,1284.0,10.0,3.7,78.0,119.0,988.0,29.0,0.0,0.0,56.9,2.6,4.1,6.6,5.3,11.6,68.6,59.0,414.0,4.2,9.1,41.0,386.0,0.0,9.4,70.0,1362.0,0.0,19.5,25.0,18.0,72.0,26.0,26.0,100.0,89.0,3498.0,0.0,39.3,31.0,0.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3500.0,11.0,135.0,621.0,0.48141263940520446,0.5185873605947955,0.5825585719598364,0.4174414280401636,0.55,0.44999999999999996,1.3464566929133859,0.7426900584795322,0.08024691358024691,1.85,0.6485943775100401,0.3514056224899599,0.7300819844439773,0.2699180155560227,0.6,0.4,0.10211267605633803,1.7837837837837835,0.3225806451612903,12.0
Washington Redskins,368.0,5601.0,1044.0,5.4,32.0,10.0,312.0,276.0,542.0,3869.0,22.0,22.0,6.8,177.0,474.0,1732.0,23.0,3.7,112.0,94.0,860.0,23.0,0.0,0.0,50.9,4.1,4.1,7.6,6.6,14.9,72.7,28.0,240.0,5.8,4.9,51.0,550.0,0.0,10.8,60.0,1175.0,0.0,19.6,7574.0,1.0,1.0,9.0,8.0,5.0,3.0,10.0,4.0,7.0,2.0,32.0,18.0,56.3,45.0,38.0,84.4,75.0,3271.0,0.0,43.6,296.0,5297.0,1046.0,5.1,28.0,9.0,316.0,302.0,532.0,3492.0,21.0,19.0,5.9,181.0,459.0,1805.0,14.0,3.9,103.0,115.0,1026.0,32.0,0.0,0.0,56.8,3.9,3.6,7.4,6.5,13.0,78.3,55.0,424.0,5.2,9.4,36.0,220.0,0.0,6.1,50.0,1005.0,0.0,20.1,24.0,17.0,70.8,35.0,35.0,100.0,95.0,3923.0,0.0,41.3,29.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4109.0,-4.0,72.0,304.0,0.5459770114942529,0.45402298850574707,0.6907695054454561,0.3092304945545439,0.4888888888888889,0.5111111111111111,1.5803571428571428,0.632768361581921,0.07371794871794872,2.054054054054054,0.5611854684512428,0.43881453154875716,0.6592410798565226,0.3407589201434774,0.6,0.4,0.10126582278481013,1.8974358974358976,0.3448275862068966,6.0
Seattle Seahawks,366.0,5409.0,1005.0,5.4,27.0,13.0,291.0,268.0,453.0,3109.0,24.0,14.0,6.3,158.0,513.0,2300.0,15.0,4.5,123.0,98.0,813.0,10.0,0.0,0.0,59.2,5.3,3.1,7.6,7.2,12.8,87.7,39.0,315.0,6.0,7.9,39.0,457.0,1.0,11.7,64.0,1322.0,0.0,20.7,7504.0,0.0,0.0,8.0,6.0,9.0,8.0,11.0,3.0,7.0,5.0,35.0,22.0,62.9,42.0,42.0,100.0,79.0,3048.0,0.0,38.6,293.0,5341.0,1053.0,5.1,36.0,14.0,310.0,301.0,535.0,3582.0,20.0,22.0,6.2,192.0,471.0,1759.0,12.0,3.7,93.0,81.0,652.0,25.0,0.0,0.0,56.3,3.7,4.1,7.3,6.2,12.9,74.6,47.0,306.0,5.1,8.1,38.0,298.0,0.0,7.8,59.0,1002.0,0.0,17.0,28.0,19.0,67.9,34.0,32.0,94.1,81.0,3272.0,0.0,40.4,29.0,0.0,1.0,2.0,43.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3424.0,9.0,73.0,68.0,0.48955223880597015,0.5104477611940299,0.5747827694583102,0.4252172305416898,0.6153846153846154,0.3846153846153846,1.2845528455284554,0.7784810126582279,0.03436426116838488,1.6888888888888889,0.5527065527065527,0.44729344729344733,0.6706609249204268,0.32933907507957316,0.625,0.375,0.08064516129032258,1.9729729729729728,0.4482758620689655,18.0
