Year,#Dr,#Dr_Defense,#Dr_Defense_Low_Rank,#Dr_High_Rank,1stD,1stD_Defense,1stD_Defense_Low_Rank,1stD_High_Rank,1stDpass,1stDpass_Defense,1stDpass_Defense_Low_Rank,1stDpass_High_Rank,1stDrun,1stDrun_Defense,1stDrun_Defense_Low_Rank,1stDrun_High_Rank,1stPy,1stPy_Defense,1stPy_Defense_Low_Rank,1stPy_High_Rank,2PA,2PA_Defense,2PM,2PM_Defense,ANY/A,ANY/A_Defense,ANY/A_Defense_Low_Rank,ANY/A_High_Rank,APYd,APYd_High_Rank,AY/A,AY/A_Defense,AY/A_Defense_Low_Rank,AY/A_High_Rank,AllTD,AvgDriveTime,AvgDriveTime_Defense,AvgDriveTime_Defense_Low_Rank,AvgDriveTime_High_Rank,AvgFieldPositionDifferential,AvgFieldPositionDifferential_High_Rank,AvgStartingPosition,AvgStartingPosition_Defense,AvgStartingPosition_Defense_Low_Rank,AvgStartingPosition_High_Rank,Cmp,Cmp%,Cmp%_Defense,Cmp%_Defense_Low_Rank,Cmp%_High_Rank,Cmp_Defense,Cmp_Defense_Low_Rank,Cmp_High_Rank,DefensivePtsScored,DefensivePtsScored_High_Rank,Dscore,Dscore_Rank,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsPassing_Defense,ExpectedPointsPassing_Defense_High_Rank,ExpectedPointsPassing_High_Rank,ExpectedPointsRunning,ExpectedPointsRunning_Defense,ExpectedPointsRunning_Defense_High_Rank,ExpectedPointsRunning_High_Rank,ExpectedPoints_Defense,ExpectedPoints_Defense_High_Rank,ExpectedPoints_High_Rank,FG%,FG%_Defense,FG%_Defense_Low_Rank,FG%_High_Rank,FGA019,FGA2029,FGA3039,FGA4049,FGA50Plus,FGM019,FGM2029,FGM3039,FGM4049,FGM50Plus,FL,FL_Defense,FL_Defense_High_Rank,FL_Low_Rank,FantasyDstScore,FantasyDstScore_Rank,FantasyOffenseScore,FantasyOffenseScore_Rank,FantasyPassScore,FantasyPassScore_Rank,FantasyRushScore,FantasyRushScore_Rank,Fmb,FmbTD,FmbTD_Defense,Fmb_Low_Rank,FumbleLostPercent,FumbleLostPercent_Low_Rank,GameControlPlusBalance,GameControlPlusBalance_Rank,GameControlScore,GameControlScore_Rank,Int,Int%,Int%_Defense,Int%_Defense_High_Rank,Int%_Low_Rank,IntTD,IntTD_Defense,Int_Defense,Int_Defense_High_Rank,Int_Low_Rank,Job,KickRet,KickRet_Defense,KickRet_Defense_Low_Rank,KickRet_High_Rank,KrTD,KrTD_Defense,KrTD_Defense_Low_Rank,KrTD_High_Rank,KrYds,KrYds_Defense,KrYds_Defense_Low_Rank,KrYds_High_Rank,NY/A,NY/A_Defense,NY/A_Defense_Low_Rank,NY/A_High_Rank,Oscore,Oscore_Rank,OthTD,OthTD_Defense,PF,PF_Defense,PF_Defense_Low_Rank,PF_Differential,PF_Differential_High_Rank,PF_High_Rank,PassAtt,PassAtt_Defense,PassAtt_Defense_Low_Rank,PassAtt_High_Rank,PassPercent,PassPercent_Defense,PassPercent_Defense_High_Rank,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD%_High_Rank,PassTD_Defense,PassTD_Defense_Low_Rank,PassTD_High_Rank,PassTdPercent,PassTdPercent_Defense,PassTdPercent_Defense_High_Rank,PassTdPercent_High_Rank,PassYdPercent,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYdPercent_High_Rank,PassYds,PassYds_Defense,PassYds_Defense_Low_Rank,PassYds_High_Rank,Pen,PenYds,PenYds_Defense,PenYds_Defense_Low_Rank,PenYds_Low_Rank,Pen_Defense,Pen_Defense_Low_Rank,Pen_Low_Rank,Penalty1dPercent,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_Defense,Plays/Drive_Defense_Low_Rank,Plays/Drive_High_Rank,Ply,Ply_Defense,Ply_Defense_Low_Rank,Ply_High_Rank,Pnt,PntBlck,PntBlck_Defense,PntBlck_Defense_Low_Rank,PntBlck_Low_Rank,PntRet_Defense,PntRet_Defense_Low_Rank,PntYds,PntYds_Defense,PntYds_Defense_Low_Rank,PntYds_High_Rank,Pnt_Defense,Pnt_Defense_Low_Rank,Pnt_High_Rank,PrTD,PrTD_Defense,PrTD_Defense_Low_Rank,PrTD_High_Rank,PrYds,PrYds_Defense,PrYds_Defense_Low_Rank,PrYds_High_Rank,Pts/Drive,Pts/Drive_Defense,Pts/Drive_Defense_Low_Rank,Pts/Drive_High_Rank,PuntRet,PuntRet_High_Rank,QbRating,QbRating_Defense,QbRating_Defense_Low_Rank,QbRating_High_Rank,RawPassYds,RawPassYds_High_Rank,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_Defense,RunPercent_Defense_High_Rank,RunPercent_High_Rank,RunTdPercent,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_Defense,RunYdPercent_Defense_High_Rank,RunYdPercent_High_Rank,RushAtt,RushAtt_Defense,RushAtt_Defense_Low_Rank,RushAtt_High_Rank,RushTD,RushTD_Defense,RushTD_Defense_Low_Rank,RushTD_High_Rank,RushYds,RushYds_Defense,RushYds_Defense_Low_Rank,RushYds_High_Rank,STscore,STscore_Rank,Sc%,Sc%_Defense,Sc%_Defense_Low_Rank,Sc%_High_Rank,Sfty,Sfty_Defense,Sk,Sk%,Sk%_Defense,Sk%_Defense_High_Rank,Sk%_Low_Rank,SkYds,SkYds_Defense,SkYds_Defense_High_Rank,SkYds_Low_Rank,Sk_Defense,Sk_Defense_High_Rank,Sk_Low_Rank,TFGA,TFGA_Defense,TFGA_Defense_Low_Rank,TFGA_High_Rank,TFGM,TFGM_Defense,TFGM_Defense_Low_Rank,TFGM_High_Rank,TO,TO%,TO%_Defense,TO%_Defense_High_Rank,TO%_Low_Rank,TO_Defense,TO_Defense_High_Rank,TO_Differential,TO_Differential_High_Rank,TO_Low_Rank,ThreePhaseScore,ThreePhaseScore_Rank,TimeOfPossession,TimeOfPossession_Defense,TimeOfPossession_High_Rank,Tm,TotalYds,TotalYds_Defense,TotalYds_Defense_Low_Rank,TotalYds_High_Rank,XP%,XP%_Defense,XP%_Defense_Low_Rank,XP%_High_Rank,XPA,XPA_Defense,XPA_Defense_Low_Rank,XPA_High_Rank,XPM,XPM_Defense,XPM_Defense_Low_Rank,XPM_High_Rank,Y/Apass,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Apass_High_Rank,Y/Arun,Y/Arun_Defense,Y/Arun_Defense_Low_Rank,Y/Arun_High_Rank,Y/C,Y/C_Defense,Y/C_Defense_Low_Rank,Y/C_High_Rank,Y/KR,Y/KR_Defense,Y/KR_Defense_Low_Rank,Y/KR_High_Rank,Y/PR,Y/PR_Defense,Y/PR_Defense_Low_Rank,Y/PR_High_Rank,Y/Play,Y/Play_Defense,Y/Play_Defense_Low_Rank,Y/Play_High_Rank,Y/Pnt,Y/Pnt_Defense,Y/Pnt_Defense_Low_Rank,Y/Pnt_High_Rank,Yds/Drive,Yds/Drive_Defense,Yds/Drive_Defense_Low_Rank,Yds/Drive_High_Rank,Yds_Differential,Yds_Differential_High_Rank,YppYprRatio,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank,YppYprRatio_High_Rank
2014.0,192.0,182.0,16.5,10.0,318.0,307.0,6.5,17.0,186.0,195.0,17.0,19.5,88.0,77.0,6.5,19.5,44.0,35.0,24.0,1.5,1.0,0.0,0.0,0.0,5.9,7.9,32.0,18.0,7159.0,16.0,7.3,8.9,32.0,10.0,33.0,154.0,156.0,15.0,19.5,-4.899999999999999,30.0,25.1,30.0,29.0,31.0,364.0,66.5,66.5,28.5,4.0,345.0,15.0,14.0,0.0,32.0,20.83333333333333,23.0,4.71,22.45,-172.2,32.0,22.0,-11.85,51.95,8.0,9.0,-104.87,29.0,20.0,88.9,84.6,19.0,7.5,0.0,11.0,7.0,8.0,1.0,0.0,11.0,6.0,7.0,0.0,13.0,12.0,7.5,26.5,25.54166666666667,30.0,17.13125,19.0,16.95,19.0,17.3125,18.0,31.0,0.0,2.0,31.5,0.41935483870967744,13.0,21.134343434343425,27.0,23.4,27.0,18.0,3.3,1.3,28.5,28.0,0.0,2.0,7.0,28.5,27.5,HC,36.0,43.0,21.0,19.5,0.0,1.0,29.5,19.0,783.0,1111.0,24.0,23.0,6.7,7.2,30.5,10.0,18.33333333333333,19.0,0.0,1.0,301.0,438.0,29.5,-137.0,29.0,26.0,547.0,519.0,2.0,18.0,0.6013916500994035,0.5686475409836066,21.0,14.0,2.113636363636364,19.0,18.0,3.3,6.7,32.0,28.5,35.0,32.0,27.5,0.5454545454545454,0.7608695652173914,7.0,28.0,0.7052980132450332,0.6985294117647058,11.0,14.0,4047.0,3990.0,24.0,11.0,120.0,1130.0,1164.0,31.0,31.0,144.0,32.0,28.0,0.13836477987421386,0.11400651465798045,8.0,2.0,5.4,5.5,9.0,26.0,1006.0,976.0,3.5,22.0,78.0,1.0,0.0,16.5,21.0,42.0,28.5,3659.0,3522.0,19.0,9.0,80.0,22.0,12.0,0.0,1.0,26.0,21.5,208.0,397.0,29.0,25.5,1.58,2.13,28.0,23.5,29.0,22.0,88.8,108.3,32.0,15.0,4461.0,8.0,0.4731182795698925,14.0,0.3986083499005965,0.4313524590163934,12.0,19.0,0.4545454545454546,0.23913043478260865,26.0,5.0,0.29470198675496684,0.30147058823529416,22.0,19.0,401.0,421.0,14.5,21.0,15.0,11.0,15.0,9.5,1691.0,1722.0,12.0,19.0,16.962962962962965,17.0,29.7,37.4,25.0,25.0,0.0,0.0,58.0,9.6,6.5,18.5,30.5,414.0,241.0,17.0,31.0,36.0,22.0,31.0,27.0,26.0,8.0,24.0,24.0,22.0,9.0,23.5,31.0,15.6,8.8,28.0,28.0,19.0,25.5,-12.0,30.0,29.5,18.868686868686872,24.0,29568.0,28392.0,11.0,WAS,5738.0,5712.0,20.0,13.0,96.9,98.0,7.0,29.5,32.0,51.0,32.0,23.0,31.0,50.0,31.5,24.0,8.2,8.2,31.5,3.5,4.2,4.1,13.0,14.5,12.3,12.3,28.0,5.5,21.8,25.8,23.0,24.5,7.2,9.5,19.0,20.5,5.7,5.9,27.0,9.5,46.9,44.0,14.0,2.0,29.9,31.2,23.5,17.0,26.0,17.0,1.952380952380952,2.0,4.0,9.0
2015.0,180.0,181.0,11.0,23.0,317.0,329.0,22.0,17.5,208.0,202.0,21.5,11.5,81.0,103.0,24.0,23.5,28.0,24.0,5.0,22.5,3.0,0.0,2.0,1.0,7.2,7.0,25.0,6.5,7012.0,16.0,7.9,7.9,25.0,7.5,44.0,169.0,151.0,7.5,7.0,-0.3000000000000007,16.0,27.0,27.3,15.0,19.0,386.0,69.5,62.5,13.0,1.0,354.0,16.5,10.0,20.0,10.0,21.83333333333333,25.0,69.13,132.42,-100.12,21.0,8.0,-56.28,20.41,22.0,27.0,-75.97,21.0,9.0,86.7,82.1,13.0,12.5,0.0,7.0,9.0,10.0,4.0,0.0,7.0,9.0,8.0,2.0,11.0,16.0,1.0,24.5,16.166666666666668,14.0,15.69375,17.0,9.95,7.0,21.4375,25.0,26.0,1.0,1.0,28.0,0.4230769230769231,10.0,15.927104377104378,15.0,14.1,12.0,11.0,2.0,1.9,25.0,12.0,1.0,1.0,11.0,23.0,9.5,HC,40.0,29.0,11.5,9.0,2.0,0.0,13.5,1.5,999.0,582.0,8.0,6.0,7.0,6.8,25.0,6.0,15.833333333333336,14.0,1.0,0.0,388.0,379.0,17.0,9.0,14.0,10.0,555.0,566.0,17.0,20.0,0.5756676557863502,0.598019801980198,14.0,22.0,2.567901234567901,10.0,30.0,5.4,5.3,24.0,10.5,30.0,23.0,13.5,0.7692307692307693,0.75,12.0,11.0,0.7233704292527822,0.6778325123152711,22.0,11.0,4095.0,4128.0,25.0,11.0,105.0,828.0,955.0,18.0,8.0,112.0,16.5,15.0,0.08832807570977919,0.0729483282674772,28.0,25.0,5.8,5.7,15.5,12.5,1011.0,1010.0,13.0,22.5,71.0,1.0,1.0,27.0,27.0,30.0,11.5,3224.0,3103.0,8.0,22.0,69.0,6.0,21.0,0.0,1.0,26.5,22.5,153.0,258.0,14.0,31.0,1.95,1.97,19.0,11.0,32.0,18.5,102.0,96.1,22.0,3.0,4294.0,12.0,0.3894230769230769,23.0,0.42433234421364985,0.401980198019802,19.0,11.0,0.23076923076923075,0.25,21.0,22.0,0.27662957074721783,0.32216748768472897,11.0,22.0,429.0,406.0,11.5,14.5,9.0,10.0,13.0,20.0,1566.0,1962.0,26.0,20.0,14.876543209876544,11.0,36.1,35.4,17.0,12.0,1.0,2.0,27.0,4.6,6.3,15.0,6.0,199.0,264.0,13.0,9.0,38.0,15.0,5.5,30.0,28.0,11.5,19.5,26.0,23.0,9.0,17.0,22.0,11.1,14.9,5.0,15.0,27.0,8.5,5.0,11.5,15.5,17.754208754208754,19.0,30420.0,27331.0,6.0,WAS,5661.0,6090.0,28.0,17.0,97.6,97.6,25.0,9.0,41.0,41.0,20.5,10.5,40.0,40.0,21.5,9.5,7.7,7.8,26.5,7.5,3.7,4.8,30.5,29.0,11.1,12.4,29.5,23.0,25.0,20.1,4.0,9.0,4.8,8.6,17.0,31.0,5.6,6.0,28.5,10.5,45.4,45.0,15.5,15.0,31.5,33.6,28.0,9.0,-429.0,23.0,2.081081081081081,1.625,25.0,2.5
2016.0,175.0,169.0,1.0,29.0,345.0,368.0,32.0,8.0,226.0,225.0,26.5,4.0,89.0,109.0,28.5,21.0,30.0,34.0,23.0,16.5,4.0,0.0,0.0,0.0,7.5,6.4,21.5,4.0,7558.0,3.0,8.1,7.2,21.5,4.0,43.0,165.0,175.0,29.0,9.0,-0.4000000000000021,22.0,27.4,27.8,13.0,24.0,407.0,67.1,65.7,29.0,5.0,387.0,27.0,4.0,0.0,31.0,24.33333333333333,28.0,140.96,168.33,-126.14,24.0,5.0,-6.75,3.68,27.0,9.0,-116.87,26.0,6.0,81.0,80.0,9.0,23.0,0.0,12.0,14.0,9.0,7.0,0.0,12.0,12.0,7.0,3.0,9.0,8.0,21.0,17.5,19.83333333333333,25.0,11.65625,9.0,7.0,5.0,16.3125,18.0,19.0,0.0,1.0,12.0,0.4736842105263158,20.5,17.03097643097643,18.0,18.2,20.0,12.0,2.0,2.2,17.0,12.5,0.0,2.0,13.0,16.0,14.5,HC,27.0,25.0,8.5,26.0,0.0,1.0,29.0,19.5,570.0,534.0,9.0,22.0,7.6,6.6,23.0,2.0,8.0,5.0,0.0,0.0,396.0,383.0,19.0,13.0,18.0,12.0,607.0,589.0,22.0,7.0,0.6243805748265611,0.5971428571428572,15.0,8.0,2.5393258426966288,7.0,25.0,4.1,3.7,9.0,16.5,22.0,12.5,14.5,0.5952380952380952,0.5365853658536586,28.0,23.0,0.7372172296250388,0.6830962619913993,20.0,4.0,4758.0,4130.0,25.0,2.0,110.0,909.0,1023.0,28.0,18.0,100.0,7.0,21.0,0.08695652173913042,0.09239130434782608,17.0,20.0,6.0,6.3,31.5,8.0,1009.0,1050.0,25.0,21.0,49.0,0.0,0.0,13.0,13.5,27.0,9.5,2210.0,2797.0,4.0,32.0,61.0,3.5,31.0,1.0,0.0,12.0,5.5,344.0,222.0,12.0,5.0,2.26,2.12,24.0,6.0,29.0,19.0,97.4,91.1,20.0,7.0,4948.0,3.0,0.3938053097345133,26.0,0.3756194251734391,0.4028571428571428,18.0,25.0,0.4047619047619048,0.4634146341463414,5.0,10.0,0.2627827703749612,0.3169037380086007,13.0,29.0,379.0,423.0,19.0,27.0,17.0,19.0,28.5,7.5,1696.0,1916.0,24.0,21.0,15.049382716049385,11.0,43.4,38.5,21.5,6.0,0.0,0.0,23.0,3.7,6.1,10.5,4.0,190.0,253.0,8.5,12.0,38.0,10.0,4.0,42.0,30.0,12.5,1.0,34.0,24.0,9.0,4.5,21.0,11.4,11.8,17.0,19.0,21.0,17.5,0.0,18.0,15.0,15.86195286195286,13.0,28875.0,29575.0,24.0,WAS,6454.0,6046.0,28.0,3.0,92.3,95.3,21.0,20.0,39.0,43.0,27.0,13.0,36.0,41.0,26.0,14.5,8.2,7.4,21.0,2.0,4.5,4.5,26.5,8.0,12.2,11.3,17.0,4.0,21.1,21.4,14.0,19.0,11.9,8.2,12.5,4.0,6.4,5.8,24.5,2.0,45.1,45.9,19.0,19.0,36.9,35.7,31.5,3.0,408.0,9.0,1.8222222222222213,1.6444444444444446,22.0,13.0
Mean year,182.33333333333334,177.33333333333334,9.5,20.666666666666668,326.6666666666667,334.6666666666667,20.166666666666668,14.166666666666666,206.66666666666666,207.33333333333334,21.666666666666668,11.666666666666666,86.0,96.33333333333333,19.666666666666668,21.333333333333332,34.0,31.0,17.333333333333332,13.5,2.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,6.866666666666667,7.1000000000000005,26.166666666666668,9.5,7243.0,11.666666666666666,7.766666666666666,8.0,26.166666666666668,7.166666666666667,40.0,162.66666666666666,160.66666666666666,17.166666666666668,11.833333333333334,-1.8666666666666671,22.666666666666668,26.5,28.366666666666664,19.0,24.666666666666668,385.6666666666667,67.7,64.89999999999999,23.5,3.3333333333333335,362.0,19.5,9.333333333333334,6.666666666666667,24.333333333333332,22.33333333333333,25.333333333333332,71.60000000000001,107.73333333333333,-132.82,25.666666666666668,11.666666666666666,-24.959999999999997,25.346666666666668,19.0,15.0,-99.23666666666668,25.333333333333332,11.666666666666666,85.53333333333335,82.23333333333333,13.666666666666666,14.333333333333334,0.0,10.0,10.0,9.0,4.0,0.0,10.0,9.0,7.333333333333333,1.6666666666666667,11.0,12.0,9.833333333333334,22.833333333333332,20.51388888888889,23.0,14.827083333333334,15.0,11.299999999999999,10.333333333333334,18.354166666666668,20.333333333333332,25.333333333333332,0.3333333333333333,1.3333333333333333,23.833333333333332,0.43870532410430546,14.5,18.03080808080808,20.0,18.566666666666666,19.666666666666668,13.666666666666666,2.433333333333333,1.8,23.5,17.5,0.3333333333333333,1.6666666666666667,10.333333333333334,22.5,17.166666666666668,,34.333333333333336,32.333333333333336,13.666666666666666,18.166666666666668,0.6666666666666666,0.6666666666666666,24.0,13.333333333333334,784.0,742.3333333333334,13.666666666666666,17.0,7.099999999999999,6.866666666666667,26.166666666666668,6.0,14.055555555555555,12.666666666666666,0.3333333333333333,0.3333333333333333,361.6666666666667,400.0,21.833333333333332,-38.333333333333336,20.333333333333332,16.0,569.6666666666666,558.0,13.666666666666666,15.0,0.6004799602374383,0.5879367333688873,16.666666666666668,14.666666666666666,2.406954480300298,12.0,24.333333333333332,4.266666666666667,5.233333333333333,21.666666666666668,18.5,29.0,22.5,18.5,0.6366411366411366,0.6824849770236833,15.666666666666666,20.666666666666668,0.7219618907076181,0.6864860620237921,17.666666666666668,9.666666666666666,4300.0,4082.6666666666665,24.666666666666668,8.0,111.66666666666667,955.6666666666666,1047.3333333333333,25.666666666666668,19.0,118.66666666666667,18.5,21.333333333333332,0.10454979244104116,0.09311538242442792,17.666666666666668,15.666666666666666,5.733333333333333,5.833333333333333,18.666666666666668,15.5,1008.6666666666666,1012.0,13.833333333333334,21.833333333333332,66.0,0.6666666666666666,0.3333333333333333,18.833333333333332,20.5,33.0,16.5,3031.0,3140.6666666666665,10.333333333333334,21.0,70.0,10.5,21.333333333333332,0.3333333333333333,0.6666666666666666,21.5,16.5,235.0,292.3333333333333,18.333333333333332,20.5,1.93,2.0733333333333333,23.666666666666668,13.5,30.0,19.833333333333332,96.06666666666668,98.5,24.666666666666668,8.333333333333334,4567.666666666667,7.666666666666667,0.41878222207582755,21.0,0.3995200397625618,0.41206326663111276,16.333333333333332,18.333333333333332,0.36335886335886336,0.3175150229763167,17.333333333333332,12.333333333333334,0.278038109292382,0.3135139379762079,15.333333333333334,23.333333333333332,403.0,416.6666666666667,15.0,20.833333333333332,13.666666666666666,13.333333333333334,18.833333333333332,12.333333333333334,1651.0,1866.6666666666667,20.666666666666668,20.0,15.629629629629632,13.0,36.4,37.1,21.166666666666668,14.333333333333334,0.3333333333333333,0.6666666666666666,36.0,5.966666666666666,6.3,14.666666666666666,13.5,267.6666666666667,252.66666666666666,12.833333333333334,17.333333333333332,37.333333333333336,15.666666666666666,13.5,33.0,28.0,10.666666666666666,14.833333333333334,28.0,23.0,9.0,15.0,24.666666666666668,12.700000000000001,11.833333333333334,16.666666666666668,20.666666666666668,22.333333333333332,17.166666666666668,-2.3333333333333335,19.833333333333332,20.0,17.494949494949495,18.666666666666668,29621.0,28432.666666666668,13.666666666666666,,5951.0,5949.333333333333,25.333333333333332,11.0,95.60000000000001,96.96666666666665,17.666666666666668,19.5,37.333333333333336,45.0,26.5,15.5,35.666666666666664,43.666666666666664,26.333333333333332,16.0,8.033333333333333,7.8,26.333333333333332,4.333333333333333,4.133333333333334,4.466666666666666,23.333333333333332,17.166666666666668,11.866666666666665,12.0,24.833333333333332,10.833333333333334,22.633333333333336,22.433333333333337,13.666666666666666,17.5,7.966666666666666,8.766666666666667,16.166666666666668,18.5,5.900000000000001,5.8999999999999995,26.666666666666668,7.333333333333333,45.800000000000004,44.96666666666667,16.166666666666668,12.0,32.766666666666666,33.5,27.666666666666668,9.666666666666666,1.6666666666666667,16.333333333333332,1.9518947518947514,1.7564814814814815,17.0,8.166666666666666
Median year,180.0,181.0,11.0,23.0,318.0,329.0,22.0,17.0,208.0,202.0,21.5,11.5,88.0,103.0,24.0,21.0,30.0,34.0,23.0,16.5,3.0,0.0,0.0,0.0,7.2,7.0,25.0,6.5,7159.0,16.0,7.9,7.9,25.0,7.5,43.0,165.0,156.0,15.0,9.0,-0.4000000000000021,22.0,27.0,27.8,15.0,24.0,386.0,67.1,65.7,28.5,4.0,354.0,16.5,10.0,0.0,31.0,21.83333333333333,25.0,69.13,132.42,-126.14,24.0,8.0,-11.85,20.41,22.0,9.0,-104.87,26.0,9.0,86.7,82.1,13.0,12.5,0.0,11.0,9.0,9.0,4.0,0.0,11.0,9.0,7.0,2.0,11.0,12.0,7.5,24.5,19.83333333333333,25.0,15.69375,17.0,9.95,7.0,17.3125,18.0,26.0,0.0,1.0,28.0,0.4230769230769231,13.0,17.03097643097643,18.0,18.2,20.0,12.0,2.0,1.9,25.0,12.5,0.0,2.0,11.0,23.0,14.5,,36.0,29.0,11.5,19.5,0.0,1.0,29.0,19.0,783.0,582.0,9.0,22.0,7.0,6.8,25.0,6.0,15.833333333333336,14.0,0.0,0.0,388.0,383.0,19.0,9.0,18.0,12.0,555.0,566.0,17.0,18.0,0.6013916500994035,0.5971428571428572,15.0,14.0,2.5393258426966288,10.0,25.0,4.1,5.3,24.0,16.5,30.0,23.0,14.5,0.5952380952380952,0.75,12.0,23.0,0.7233704292527822,0.6830962619913993,20.0,11.0,4095.0,4128.0,25.0,11.0,110.0,909.0,1023.0,28.0,18.0,112.0,16.5,21.0,0.08832807570977919,0.09239130434782608,17.0,20.0,5.8,5.7,15.5,12.5,1009.0,1010.0,13.0,22.0,71.0,1.0,0.0,16.5,21.0,30.0,11.5,3224.0,3103.0,8.0,22.0,69.0,6.0,21.0,0.0,1.0,26.0,21.5,208.0,258.0,14.0,25.5,1.95,2.12,24.0,11.0,29.0,19.0,97.4,96.1,22.0,7.0,4461.0,8.0,0.3938053097345133,23.0,0.3986083499005965,0.4028571428571428,18.0,19.0,0.4047619047619048,0.25,21.0,10.0,0.27662957074721783,0.3169037380086007,13.0,22.0,401.0,421.0,14.5,21.0,15.0,11.0,15.0,9.5,1691.0,1916.0,24.0,20.0,15.049382716049385,11.0,36.1,37.4,21.5,12.0,0.0,0.0,27.0,4.6,6.3,15.0,6.0,199.0,253.0,13.0,12.0,38.0,15.0,5.5,30.0,28.0,11.5,19.5,26.0,23.0,9.0,17.0,22.0,11.4,11.8,17.0,19.0,21.0,17.5,0.0,18.0,15.5,17.754208754208754,19.0,29568.0,28392.0,11.0,,5738.0,6046.0,28.0,13.0,96.9,97.6,21.0,20.0,39.0,43.0,27.0,13.0,36.0,41.0,26.0,14.5,8.2,7.8,26.5,3.5,4.2,4.5,26.5,14.5,12.2,12.3,28.0,5.5,21.8,21.4,14.0,19.0,7.2,8.6,17.0,20.5,5.7,5.9,27.0,9.5,45.4,45.0,15.5,15.0,31.5,33.6,28.0,9.0,26.0,17.0,1.952380952380952,1.6444444444444446,22.0,9.0
