Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Minnesota Vikings,16,38,33,86.8%,39,39,100.0%,72,2902,,40.3
2,Detroit Lions,16,27,19,70.4%,50,49,98.0%,72,3067,,42.6
3,St. Louis Rams,16,26,20,76.9%,27,27,100.0%,79,3318,,42.0
4,Buffalo Bills,16,37,28,75.7%,48,48,100.0%,66,2845,,43.1
5,Atlanta Falcons,16,24,19,79.2%,44,44,100.0%,71,3074,,43.3
6,Kansas City Chiefs,16,34,27,79.4%,35,35,100.0%,79,3239,,41.0
7,Dallas Cowboys,16,36,27,75.0%,34,33,97.1%,79,3294,,41.7
8,Cincinnati Bengals,16,30,22,73.3%,31,29,93.5%,86,3543,,41.2
9,New Orleans Saints,16,31,27,87.1%,42,42,100.0%,67,2914,,43.5
10,New York Jets,16,27,22,81.5%,30,27,90.0%,75,3053,,40.7
11,San Francisco 49ers,16,27,23,85.2%,23,23,100.0%,72,2981,,41.4
12,Jacksonville Jaguars,16,35,26,74.3%,28,28,100.0%,83,3362,,40.5
13,Miami Dolphins,16,22,16,72.7%,34,32,94.1%,86,3793,,44.1
14,Indianapolis Colts,16,36,30,83.3%,53,52,98.1%,67,2861,,42.7
15,Pittsburgh Steelers,16,20,9,45.0%,24,23,95.8%,87,3680,,42.3
16,Carolina Panthers,16,30,25,83.3%,44,43,97.7%,85,3460,,40.7
17,Arizona Cardinals,16,32,23,71.9%,36,36,100.0%,75,3247,,43.3
18,New England Patriots,16,41,30,73.2%,22,22,100.0%,73,2884,,39.5
19,Washington Redskins,16,29,24,82.8%,33,33,100.0%,77,3257,,42.3
20,Baltimore Ravens,16,33,19,57.6%,28,28,100.0%,98,4077,,41.6
21,Tennessee Titans,16,29,22,75.9%,44,44,100.0%,82,3387,,41.3
22,Tampa Bay Buccaneers,16,29,25,86.2%,25,25,100.0%,78,3237,,41.5
23,Denver Broncos,16,29,25,86.2%,37,36,97.3%,77,3619,,47.0
24,Oakland Raiders,16,33,25,75.8%,29,28,96.6%,83,3395,,40.9
25,Seattle Seahawks,16,36,29,80.6%,31,31,100.0%,76,3215,,42.3
26,Chicago Bears,16,28,18,64.3%,20,19,95.0%,90,3663,,40.7
27,San Diego Chargers,16,35,26,74.3%,33,31,93.9%,90,3789,,42.1
28,Cleveland Browns,16,34,25,73.5%,32,30,93.8%,74,3197,,43.2
29,New York Giants,16,31,23,74.2%,34,34,100.0%,90,3762,,41.8
30,Green Bay Packers,16,28,22,78.6%,20,20,100.0%,86,3646,,42.4
31,Philadelphia Eagles,16,32,23,71.9%,17,17,100.0%,104,4222,,40.6
,Avg Team,,30.9,23.6,76.3%,33.1,32.5,98.1%,80.0,3368.7,0.4,42.1
,League Total,,959,732,76.3%,1027,1008,98.1%,2479,104431,11,42.1
,Avg Tm/G,,1.9,1.5,76.3%,2.1,2.0,98.1%,5.0,210.5,0.0,42.1
