Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Oakland Raiders,16,37,31,83.8%,34,33,97.1%,68,2822,,41.5
2,Indianapolis Colts,16,35,24,68.6%,40,40,100.0%,47,2035,,43.3
3,Houston Texans,16,29,25,86.2%,40,39,97.5%,65,2951,,45.4
4,Detroit Lions,16,33,30,90.9%,41,40,97.6%,68,2992,,44.0
5,Dallas Cowboys,16,25,22,88.0%,38,38,100.0%,72,3103,,43.1
6,Pittsburgh Steelers,16,27,21,77.8%,36,36,100.0%,86,3767,,43.8
7,New York Jets,16,24,18,75.0%,29,29,100.0%,74,3263,,44.1
8,Cleveland Browns,16,31,26,83.9%,38,36,94.7%,77,3311,,43.0
9,Arizona Cardinals,16,34,31,91.2%,42,42,100.0%,58,2598,,44.8
10,Tampa Bay Buccaneers,16,30,22,73.3%,41,41,100.0%,81,3370,,41.6
11,New England Patriots,16,30,22,73.3%,23,23,100.0%,79,3286,,41.6
12,Kansas City Chiefs,16,32,26,81.3%,33,33,100.0%,75,3060,,40.8
13,Atlanta Falcons,16,29,23,79.3%,37,37,100.0%,77,3380,,43.9
14,New York Giants,16,29,22,75.9%,40,40,100.0%,69,2891,,41.9
15,Washington Redskins,16,34,30,88.2%,36,36,100.0%,79,3318,,42.0
16,Denver Broncos,16,42,34,81.0%,27,27,100.0%,74,3241,,43.8
17,Miami Dolphins,16,25,22,88.0%,31,31,100.0%,91,3786,,41.6
18,San Francisco 49ers,16,32,30,93.8%,46,46,100.0%,66,2792,,42.3
19,Jacksonville Jaguars,16,24,17,70.8%,31,31,100.0%,90,3726,,41.4
20,Minnesota Vikings,16,40,34,85.0%,31,31,100.0%,79,3587,,45.4
21,Tennessee Titans,16,33,27,81.8%,44,41,93.2%,68,2890,,42.5
22,St. Louis Rams,16,24,19,79.2%,46,46,100.0%,67,3028,,45.2
23,Cincinnati Bengals,16,25,18,72.0%,38,37,97.4%,72,3132,,43.5
24,Philadelphia Eagles,16,28,26,92.9%,34,34,100.0%,82,3567,,43.5
25,Buffalo Bills,16,26,22,84.6%,33,33,100.0%,86,3578,,41.6
26,New Orleans Saints,16,18,14,77.8%,40,40,100.0%,96,4186,,43.6
27,Green Bay Packers,16,27,26,96.3%,38,38,100.0%,83,3702,,44.6
28,Seattle Seahawks,16,33,23,69.7%,36,36,100.0%,88,3775,,42.9
29,Baltimore Ravens,16,23,17,73.9%,20,20,100.0%,86,3861,,44.9
30,Carolina Panthers,16,30,24,80.0%,31,31,100.0%,98,4292,,43.8
31,San Diego Chargers,16,26,23,88.5%,33,32,97.0%,88,3925,,44.6
32,Chicago Bears,16,27,18,66.7%,28,27,96.4%,100,4370,,43.7
,Avg Team,,29.4,24.0,81.4%,35.5,35.1,99.0%,77.8,3377.7,0.4,43.4
,League Total,,942,767,81.4%,1135,1124,99.0%,2489,108086,12,43.4
,Avg Tm/G,,1.8,1.5,81.4%,2.2,2.2,99.0%,4.9,211.1,0.0,43.4
