Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Arizona Cardinals,16,34,27,79.4%,51,50,98.0%,59,2425,,41.1
2,Dallas Cowboys,16,31,26,83.9%,37,37,100.0%,70,2835,,40.5
3,St. Louis Rams,16,31,26,83.9%,50,49,98.0%,67,2827,,42.2
4,Minnesota Vikings,16,29,25,86.2%,38,38,100.0%,65,2594,,39.9
5,Carolina Panthers,16,30,20,66.7%,31,30,96.8%,58,2308,,39.8
6,Seattle Seahawks,16,33,28,84.8%,45,45,100.0%,62,2573,,41.5
7,Cincinnati Bengals,16,36,26,72.2%,40,39,97.5%,80,3336,,41.7
8,San Francisco 49ers,16,31,26,83.9%,46,46,100.0%,65,2776,,42.7
9,Washington Redskins,16,34,30,88.2%,23,23,100.0%,79,3389,,42.9
10,Indianapolis Colts,16,28,21,75.0%,33,33,100.0%,82,3501,,42.7
11,Atlanta Falcons,16,31,29,93.5%,38,38,100.0%,70,2933,,41.9
12,New Orleans Saints,16,24,18,75.0%,31,31,100.0%,74,3027,,40.9
13,Cleveland Browns,16,34,31,91.2%,44,44,100.0%,68,2870,,42.2
14,New York Giants,16,24,13,54.2%,27,25,92.6%,86,3569,,41.5
15,Chicago Bears,16,26,18,69.2%,41,41,100.0%,91,3631,,39.9
16,San Diego Chargers,16,34,30,88.2%,46,46,100.0%,91,3776,,41.5
17,Kansas City Chiefs,16,30,21,70.0%,39,39,100.0%,78,3362,,43.1
18,Tennessee Titans,16,22,17,77.3%,20,20,100.0%,105,4484,,42.7
19,New England Patriots,16,32,24,75.0%,34,34,100.0%,87,3515,,40.4
20,Green Bay Packers,16,25,21,84.0%,36,36,100.0%,94,3892,,41.4
21,Denver Broncos,16,23,19,82.6%,43,42,97.7%,73,3197,,43.8
22,New York Jets,16,34,29,85.3%,32,32,100.0%,88,3520,,40.0
23,Jacksonville Jaguars,16,24,17,70.8%,36,36,100.0%,90,3825,,42.5
24,Pittsburgh Steelers,16,34,29,85.3%,24,24,100.0%,84,3637,,43.3
25,Detroit Lions,16,31,26,83.9%,31,31,100.0%,84,3503,,41.7
26,Baltimore Ravens,16,19,14,73.7%,18,15,83.3%,87,3872,,44.5
27,Philadelphia Eagles,16,33,28,84.8%,21,21,100.0%,87,3515,,40.4
28,Oakland Raiders,16,25,19,76.0%,30,30,100.0%,79,3286,,41.6
29,Miami Dolphins,16,30,22,73.3%,20,20,100.0%,87,3532,,40.6
30,Tampa Bay Buccaneers,16,32,22,68.8%,25,25,100.0%,89,3560,,40.0
31,Buffalo Bills,16,33,29,87.9%,33,33,100.0%,92,3864,,42.0
,Avg Team,,29.6,23.6,79.7%,34.3,34.0,99.1%,79.7,3338.8,0.5,41.9
,League Total,,917,731,79.7%,1063,1053,99.1%,2471,103502,14,41.9
,Avg Tm/G,,1.8,1.5,79.7%,2.1,2.1,99.1%,5.0,208.7,0.0,41.9
