Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Cleveland Browns,16,34,26,76.5%,36,34,94.4%,59,2460,,41.7
2,Miami Dolphins,16,31,23,74.2%,33,31,93.9%,59,2419,,41.0
3,Tampa Bay Buccaneers,16,40,31,77.5%,31,30,96.8%,59,2360,,40.0
4,New York Giants,16,35,28,80.0%,33,32,97.0%,63,2659,,42.2
5,Arizona Cardinals,16,25,18,72.0%,51,50,98.0%,62,2697,,43.5
6,Indianapolis Colts,16,38,25,65.8%,29,29,100.0%,63,2583,,41.0
7,Dallas Cowboys,16,27,22,81.5%,29,29,100.0%,65,2776,,42.7
8,Denver Broncos,16,19,13,68.4%,42,42,100.0%,76,3253,,42.8
9,San Diego Chargers,16,32,27,84.4%,29,28,96.6%,73,3168,,43.4
10,Chicago Bears,16,29,24,82.8%,40,40,100.0%,62,2313,,37.3
11,New Orleans Saints,16,35,27,77.1%,33,33,100.0%,66,2759,,41.8
12,Jacksonville Jaguars,16,31,27,87.1%,45,45,100.0%,61,2562,,42.0
13,Atlanta Falcons,16,22,17,77.3%,38,38,100.0%,70,3031,,43.3
14,New England Patriots,16,32,23,71.9%,41,40,97.6%,86,3337,,38.8
15,Pittsburgh Steelers,16,25,23,92.0%,34,34,100.0%,85,3680,,43.3
16,San Francisco 49ers,16,32,27,84.4%,18,17,94.4%,70,2919,,41.7
17,Cincinnati Bengals,16,49,38,77.6%,34,34,100.0%,64,2458,,38.4
18,St. Louis Rams,16,27,21,77.8%,48,47,97.9%,79,3436,,43.5
19,Detroit Lions,16,42,28,66.7%,32,32,100.0%,61,2605,,42.7
20,Oakland Raiders,16,41,33,80.5%,29,27,93.1%,70,3045,,43.5
21,Houston Oilers,16,24,19,79.2%,35,35,100.0%,86,3646,,42.4
22,Washington Redskins,16,27,22,81.5%,40,39,97.5%,72,2981,,41.4
23,Green Bay Packers,16,21,19,90.5%,35,35,100.0%,88,3749,,42.6
24,Philadelphia Eagles,16,37,28,75.7%,32,32,100.0%,74,3056,,41.3
25,New York Jets,16,41,30,73.2%,41,40,97.6%,85,3493,,41.1
26,Seattle Seahawks,16,35,24,68.6%,37,36,97.3%,81,3451,,42.6
27,Minnesota Vikings,16,35,26,74.3%,32,29,90.6%,68,2870,,42.2
28,Carolina Panthers,16,26,19,73.1%,38,38,100.0%,94,3798,,40.4
29,Kansas City Chiefs,16,19,16,84.2%,25,25,100.0%,102,4264,,41.8
30,Buffalo Bills,16,43,34,79.1%,29,29,100.0%,90,3852,,42.8
,Avg Team,,31.8,24.6,77.4%,35.0,34.3,98.2%,73.1,3071.0,0.4,42.0
,League Total,,954,738,77.4%,1049,1030,98.2%,2193,92129,11,42.0
,Avg Tm/G,,2.0,1.5,77.4%,2.2,2.1,98.2%,4.6,191.9,0.0,42.0
