Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,New Orleans Saints,16,39,31,79.5%,43,43,100.0%,76,3466,,45.6
2,New York Jets,16,35,30,85.7%,37,37,100.0%,62,2790,,45.0
3,Green Bay Packers,16,34,29,85.3%,35,33,94.3%,85,3595,,42.3
4,Indianapolis Colts,16,27,19,70.4%,24,24,100.0%,67,2794,,41.7
5,Cleveland Browns,16,35,28,80.0%,31,31,100.0%,72,3060,,42.5
6,Buffalo Bills,16,25,19,76.0%,44,44,100.0%,62,2492,,40.2
7,Houston Texans,16,32,28,87.5%,47,47,100.0%,63,2526,,40.1
8,Detroit Lions,16,30,24,80.0%,37,37,100.0%,72,2902,,40.3
9,Arizona Cardinals,16,24,21,87.5%,45,44,97.8%,85,3748,,44.1
10,Tennessee Titans,16,27,21,77.8%,49,48,98.0%,85,3748,,44.1
11,St. Louis Rams,16,33,26,78.8%,49,49,100.0%,68,2720,,40.0
12,Cincinnati Bengals,16,28,25,89.3%,37,37,100.0%,50,2105,,42.1
13,Atlanta Falcons,16,30,25,83.3%,38,38,100.0%,79,3405,,43.1
14,Oakland Raiders,16,38,35,92.1%,37,34,91.9%,76,3154,,41.5
15,Pittsburgh Steelers,16,30,24,80.0%,25,24,96.0%,80,3464,,43.3
16,Kansas City Chiefs,16,26,20,76.9%,33,33,100.0%,69,3153,,45.7
17,Baltimore Ravens,16,31,29,93.5%,29,28,96.6%,89,3604,,40.5
18,San Diego Chargers,16,29,20,69.0%,35,34,97.1%,78,3276,,42.0
19,New England Patriots,16,30,24,80.0%,34,34,100.0%,81,3540,,43.7
20,Dallas Cowboys,16,27,21,77.8%,35,35,100.0%,95,3895,,41.0
21,Minnesota Vikings,16,33,28,84.8%,34,34,100.0%,72,3010,,41.8
22,Tampa Bay Buccaneers,16,33,26,78.8%,27,26,96.3%,80,3512,,43.9
23,Denver Broncos,16,18,14,77.8%,30,30,100.0%,81,3637,,44.9
24,Washington Redskins,16,31,22,71.0%,29,29,100.0%,88,3634,,41.3
25,Carolina Panthers,16,27,23,85.2%,22,22,100.0%,79,3563,,45.1
26,Jacksonville Jaguars,16,27,20,74.1%,30,29,96.7%,88,3766,,42.8
27,Miami Dolphins,16,24,24,100.0%,32,31,96.9%,92,3956,,43.0
28,Chicago Bears,16,29,21,72.4%,20,19,95.0%,97,3987,,41.1
29,San Francisco 49ers,16,36,29,80.6%,44,43,97.7%,71,2847,,40.1
30,New York Giants,16,30,21,70.0%,35,35,100.0%,88,3652,,41.5
31,Philadelphia Eagles,16,27,22,81.5%,46,46,100.0%,104,4358,,41.9
32,Seattle Seahawks,16,42,34,81.0%,21,21,100.0%,77,3088,,40.1
,Avg Team,,30.2,24.5,81.0%,34.8,34.3,98.7%,78.5,3337.9,0.3,42.5
,League Total,,967,783,81.0%,1114,1099,98.7%,2511,106813,9,42.5
,Avg Tm/G,,1.9,1.5,81.0%,2.2,2.1,98.7%,4.9,208.6,0.0,42.5
