Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Atlanta Falcons,16,30,16,53.3%,48,46,95.8%,60,2496,,41.6
2,New Orleans Saints,16,33,24,72.7%,41,41,100.0%,84,3494,,41.6
3,Houston Oilers,16,30,22,73.3%,53,51,96.2%,64,2701,,42.2
4,Tampa Bay Buccaneers,16,27,18,66.7%,46,44,95.7%,68,2788,,41.0
5,Detroit Lions,16,29,24,82.8%,48,48,100.0%,73,2920,,40.0
6,Cincinnati Bengals,16,27,22,81.5%,39,37,94.9%,67,2774,,41.4
7,Cleveland Browns,16,33,29,87.9%,30,30,100.0%,77,3126,,40.6
8,Minnesota Vikings,16,28,24,85.7%,59,58,98.3%,68,2774,,40.8
9,New York Jets,16,37,26,70.3%,41,40,97.6%,67,2854,,42.6
10,Miami Dolphins,16,17,9,52.9%,38,37,97.4%,83,3478,,41.9
11,Buffalo Bills,16,28,20,71.4%,56,56,100.0%,72,2815,,39.1
12,San Diego Chargers,16,25,19,76.0%,51,50,98.0%,73,2891,,39.6
13,Los Angeles Rams,16,31,22,71.0%,36,32,88.9%,71,2946,,41.5
14,Pittsburgh Steelers,16,28,22,78.6%,35,34,97.1%,90,3816,,42.4
15,Indianapolis Colts,16,23,21,91.3%,50,47,94.0%,80,3360,,42.0
16,Chicago Bears,16,22,16,72.7%,29,26,89.7%,100,4160,,41.6
17,San Francisco 49ers,16,25,19,76.0%,24,24,100.0%,80,3240,,40.5
18,St. Louis Cardinals,16,38,25,65.8%,39,36,92.3%,81,3159,,39.0
19,Green Bay Packers,16,31,24,77.4%,34,33,97.1%,89,3640,,40.9
20,Washington Redskins,16,20,13,65.0%,39,37,94.9%,78,3112,,39.9
21,Philadelphia Eagles,16,35,22,62.9%,36,36,100.0%,89,3498,,39.3
22,Los Angeles Raiders,16,21,17,81.0%,33,29,87.9%,117,5066,,43.3
23,New York Giants,16,26,17,65.4%,35,34,97.1%,92,3680,,40.0
24,New England Patriots,16,31,21,67.7%,42,37,88.1%,83,3345,,40.3
25,Denver Broncos,16,33,19,57.6%,26,26,100.0%,81,3362,,41.5
26,Kansas City Chiefs,16,27,19,70.4%,38,37,97.4%,91,3640,,40.0
27,Seattle Seahawks,16,22,14,63.6%,34,34,100.0%,83,3345,,40.3
28,Dallas Cowboys,16,28,19,67.9%,36,35,97.2%,99,4237,,42.8
,Avg Team,,28.0,20.1,71.7%,39.5,38.4,97.3%,80.7,3336.4,0.6,41.3
,League Total,,785,563,71.7%,1105,1075,97.3%,2260,93420,17,41.3
,Avg Tm/G,,1.8,1.3,71.7%,2.5,2.4,97.3%,5.0,208.5,0.0,41.3
