Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Miami Dolphins,16,27,17,63.0%,42,40,95.2%,76,3139,,41.3
2,Los Angeles Rams,16,37,29,78.4%,40,38,95.0%,58,2453,,42.3
3,San Francisco 49ers,16,30,27,90.0%,30,30,100.0%,68,2985,,43.9
4,Indianapolis Colts,16,30,21,70.0%,45,43,95.6%,71,2854,,40.2
5,New York Jets,16,26,21,80.8%,26,26,100.0%,66,2858,,43.3
6,Houston Oilers,16,28,19,67.9%,26,25,96.2%,79,3452,,43.7
7,New England Patriots,16,24,20,83.3%,32,32,100.0%,90,3708,,41.2
8,Atlanta Falcons,16,31,20,64.5%,46,45,97.8%,74,3027,,40.9
9,Dallas Cowboys,16,27,22,81.5%,23,23,100.0%,78,3221,,41.3
10,Washington Redskins,16,22,17,77.3%,42,40,95.2%,73,3000,,41.1
11,Cincinnati Bengals,16,28,20,71.4%,37,37,100.0%,74,3123,,42.2
12,Phoenix Cardinals,16,35,26,74.3%,27,27,100.0%,78,3331,,42.7
13,Chicago Bears,16,34,26,76.5%,22,20,90.9%,78,3229,,41.4
14,New York Giants,16,23,17,73.9%,22,22,100.0%,80,3224,,40.3
15,Philadelphia Eagles,16,34,23,67.6%,35,34,97.1%,75,3135,,41.8
16,Cleveland Browns,16,38,31,81.6%,30,30,100.0%,85,3604,,42.4
17,Buffalo Bills,16,35,23,65.7%,25,23,92.0%,65,2717,,41.8
18,Tampa Bay Buccaneers,16,35,32,91.4%,40,38,95.0%,76,3291,,43.3
19,Detroit Lions,16,30,23,76.7%,32,31,96.9%,81,3491,,43.1
20,Kansas City Chiefs,16,32,28,87.5%,30,27,90.0%,68,3033,,44.6
21,Los Angeles Raiders,16,33,21,63.6%,37,37,100.0%,80,3368,,42.1
22,New Orleans Saints,16,30,24,80.0%,39,35,89.7%,80,3384,,42.3
23,Denver Broncos,16,36,31,86.1%,27,27,100.0%,81,3540,,43.7
24,Green Bay Packers,16,40,31,77.5%,27,27,100.0%,79,3176,,40.2
25,San Diego Chargers,16,33,26,78.8%,30,30,100.0%,72,3031,,42.1
26,Seattle Seahawks,16,39,29,74.4%,32,31,96.9%,73,3095,,42.4
27,Pittsburgh Steelers,16,29,24,82.8%,30,29,96.7%,82,3600,,43.9
28,Minnesota Vikings,16,33,25,75.8%,31,29,93.5%,78,3307,,42.4
,Avg Team,,31.4,24.0,76.6%,32.2,31.3,97.2%,75.6,3207.6,0.4,42.4
,League Total,,879,673,76.6%,901,876,97.2%,2118,89812,10,42.4
,Avg Tm/G,,2.0,1.5,76.6%,2.0,2.0,97.2%,4.7,200.5,0.0,42.4
