Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,San Francisco 49ers,16,32,27,84.4%,50,50,100.0%,69,2712,,39.3
2,New Orleans Saints,16,23,16,69.6%,54,54,100.0%,77,3180,,41.3
3,Atlanta Falcons,16,35,26,74.3%,40,40,100.0%,72,2873,,39.9
4,Minnesota Vikings,16,42,29,69.0%,32,32,100.0%,69,2857,,41.4
5,Cincinnati Bengals,16,32,29,90.6%,50,49,98.0%,71,3138,,44.2
6,Carolina Panthers,16,25,19,76.0%,43,42,97.7%,74,2923,,39.5
7,Buffalo Bills,16,31,23,74.2%,22,22,100.0%,93,3878,,41.7
8,Indianapolis Colts,16,29,26,89.7%,31,31,100.0%,83,3436,,41.4
9,Cleveland Browns,16,39,33,84.6%,41,40,97.6%,66,2699,,40.9
10,New York Jets,16,31,26,83.9%,33,33,100.0%,78,3190,,40.9
11,Pittsburgh Steelers,16,26,20,76.9%,35,34,97.1%,92,3735,,40.6
12,New York Giants,16,37,24,64.9%,39,38,97.4%,78,3424,,43.9
13,Chicago Bears,16,36,25,69.4%,38,38,100.0%,80,3112,,38.9
14,Arizona Cardinals,16,24,16,66.7%,45,44,97.8%,89,3774,,42.4
15,Detroit Lions,16,29,22,75.9%,31,31,100.0%,82,3444,,42.0
16,Tampa Bay Buccaneers,16,31,24,77.4%,23,23,100.0%,101,4151,,41.1
17,Green Bay Packers,16,31,24,77.4%,35,35,100.0%,69,2953,,42.8
18,San Diego Chargers,16,38,26,68.4%,34,34,100.0%,85,3442,,40.5
19,Denver Broncos,16,29,25,86.2%,32,31,96.9%,92,4011,,43.6
20,St. Louis Rams,16,26,20,76.9%,23,22,95.7%,86,3672,,42.7
21,Washington Redskins,16,30,25,83.3%,38,38,100.0%,74,3160,,42.7
22,Dallas Cowboys,16,33,26,78.8%,24,24,100.0%,93,3832,,41.2
23,New England Patriots,16,30,25,83.3%,27,27,100.0%,95,3914,,41.2
24,Jacksonville Jaguars,16,18,17,94.4%,22,22,100.0%,96,3974,,41.4
25,Miami Dolphins,16,40,31,77.5%,35,33,94.3%,85,3493,,41.1
26,Seattle Seahawks,16,38,30,78.9%,27,26,96.3%,81,3402,,42.0
27,Tennessee Titans,16,22,15,68.2%,33,33,100.0%,80,3432,,42.9
28,Oakland Raiders,16,32,26,81.3%,33,33,100.0%,82,3542,,43.2
29,Philadelphia Eagles,16,45,36,80.0%,33,33,100.0%,73,3008,,41.2
30,Baltimore Ravens,16,25,19,76.0%,27,26,96.3%,115,4853,,42.2
31,Kansas City Chiefs,16,25,19,76.0%,33,33,100.0%,98,4263,,43.5
,Avg Team,,31.1,24.2,77.7%,34.3,33.9,98.9%,83.2,3482.1,0.4,41.9
,League Total,,964,749,77.7%,1063,1051,98.9%,2578,107945,11,41.9
,Avg Tm/G,,1.9,1.5,77.7%,2.1,2.1,98.9%,5.2,217.6,0.0,41.9
