Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Los Angeles Rams,16,28,20,71.4%,47,46,97.9%,68,2829,,41.6
2,Kansas City Chiefs,16,28,21,75.0%,27,25,92.6%,60,2550,,42.5
3,Indianapolis Colts,16,23,17,73.9%,46,46,100.0%,59,2443,,41.4
4,Cincinnati Bengals,16,31,22,71.0%,52,49,94.2%,57,2394,,42.0
5,New York Giants,16,30,29,96.7%,30,30,100.0%,74,2997,,40.5
6,Tampa Bay Buccaneers,16,35,25,71.4%,41,40,97.6%,71,3046,,42.9
7,Phoenix Cardinals,16,23,15,65.2%,43,41,95.3%,71,3209,,45.2
8,Minnesota Vikings,16,29,20,69.0%,35,34,97.1%,67,2861,,42.7
9,Houston Oilers,16,29,23,79.3%,26,26,100.0%,74,3115,,42.1
10,Los Angeles Raiders,16,28,16,57.1%,36,33,91.7%,61,2361,,38.7
11,Miami Dolphins,16,33,23,69.7%,40,40,100.0%,65,2587,,39.8
12,New England Patriots,16,42,29,69.0%,31,30,96.8%,69,2912,,42.2
13,Chicago Bears,16,30,22,73.3%,29,29,100.0%,81,3345,,41.3
14,Dallas Cowboys,16,39,29,74.4%,32,31,96.9%,61,2367,,38.8
15,San Francisco 49ers,16,25,22,88.0%,25,23,92.0%,82,3362,,41.0
16,Seattle Seahawks,16,32,28,87.5%,25,25,100.0%,79,3089,,39.1
17,Cleveland Browns,16,30,22,73.3%,33,32,97.0%,61,2519,,41.3
18,San Diego Chargers,16,29,23,79.3%,38,37,97.4%,76,3063,,40.3
19,Pittsburgh Steelers,16,41,26,63.4%,38,38,100.0%,65,2704,,41.6
20,New York Jets,16,38,26,68.4%,30,29,96.7%,56,2274,,40.6
21,Buffalo Bills,16,35,27,77.1%,34,33,97.1%,70,2737,,39.1
22,Green Bay Packers,16,31,23,74.2%,35,34,97.1%,76,3200,,42.1
23,Denver Broncos,16,33,27,81.8%,22,22,100.0%,79,3516,,44.5
24,Detroit Lions,16,28,19,67.9%,34,34,100.0%,67,2626,,39.2
25,Atlanta Falcons,16,26,13,50.0%,43,41,95.3%,79,3184,,40.3
26,Philadelphia Eagles,16,33,25,75.8%,24,23,95.8%,86,3672,,42.7
27,Washington Redskins,16,18,14,77.8%,26,26,100.0%,85,3545,,41.7
28,New Orleans Saints,16,21,17,81.0%,23,22,95.7%,88,3722,,42.3
,Avg Team,,30.3,22.3,73.5%,33.6,32.8,97.7%,71.0,2960.8,0.6,41.7
,League Total,,848,623,73.5%,941,919,97.7%,1987,82902,16,41.7
,Avg Tm/G,,1.9,1.4,73.5%,2.1,2.1,97.7%,4.4,185.0,0.0,41.7
