Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Tampa Bay Buccaneers,16,30,18,60.0%,42,42,100.0%,77,3003,,39.0
2,Miami Dolphins,16,28,22,78.6%,45,44,97.8%,58,2424,,41.8
3,Cleveland Browns,16,34,26,76.5%,30,30,100.0%,69,2719,,39.4
4,Kansas City Chiefs,16,24,16,66.7%,39,38,97.4%,63,2533,,40.2
5,Buffalo Bills,16,24,12,50.0%,29,27,93.1%,75,2978,,39.7
6,San Diego Chargers,16,36,22,61.1%,38,36,94.7%,71,2790,,39.3
7,Washington Redskins,16,36,22,61.1%,46,43,93.5%,79,3113,,39.4
8,Indianapolis Colts,16,25,17,68.0%,38,36,94.7%,68,2679,,39.4
9,Chicago Bears,16,22,13,59.1%,25,22,88.0%,90,3618,,40.2
10,Dallas Cowboys,16,29,24,82.8%,44,41,93.2%,86,3578,,41.6
11,Seattle Seahawks,16,32,21,65.6%,38,38,100.0%,66,2779,,42.1
12,Green Bay Packers,16,35,25,71.4%,34,34,100.0%,76,2858,,37.6
13,Detroit Lions,16,29,25,86.2%,34,32,94.1%,74,2916,,39.4
14,Denver Broncos,16,27,21,77.8%,41,41,100.0%,84,3646,,43.4
15,Cincinnati Bengals,16,24,17,70.8%,39,38,97.4%,65,2594,,39.9
16,Pittsburgh Steelers,16,32,26,81.3%,49,47,95.9%,67,2727,,40.7
17,New Orleans Saints,16,34,27,79.4%,29,28,96.6%,70,2814,,40.2
18,Phoenix Cardinals,16,22,13,59.1%,51,47,92.2%,83,3411,,41.1
19,New England Patriots,16,26,17,65.4%,33,33,100.0%,86,3629,,42.2
20,Houston Oilers,16,18,14,77.8%,46,43,93.5%,80,2976,,37.2
21,New York Giants,16,33,25,75.8%,32,31,96.9%,93,3701,,39.8
22,Atlanta Falcons,16,36,26,72.2%,34,31,91.2%,73,2891,,39.6
23,New York Jets,16,30,20,66.7%,43,36,83.7%,72,2743,,38.1
24,Los Angeles Rams,16,23,16,69.6%,35,35,100.0%,93,3711,,39.9
25,Los Angeles Raiders,16,29,27,93.1%,41,40,97.6%,94,3892,,41.4
26,San Francisco 49ers,16,24,18,75.0%,34,34,100.0%,86,3526,,41.0
27,Minnesota Vikings,16,25,21,84.0%,24,22,91.7%,96,4061,,42.3
28,Philadelphia Eagles,16,29,20,69.0%,37,35,94.6%,85,3213,,37.8
,Avg Team,,28.4,20.4,71.7%,37.3,35.9,96.1%,77.8,3159.8,0.8,40.6
,League Total,,796,571,71.7%,1045,1004,96.1%,2179,88474,23,40.6
,Avg Tm/G,,1.8,1.3,71.7%,2.3,2.2,96.1%,4.9,197.5,0.1,40.6
