Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Atlanta Falcons,15,30,19,63.3%,54,51,94.4%,60,2382,,39.7
2,Kansas City Chiefs,15,35,24,68.6%,45,44,97.8%,56,2262,,40.4
3,Miami Dolphins,15,22,14,63.6%,41,41,100.0%,71,2755,,38.8
4,Seattle Seahawks,15,26,21,80.8%,36,35,97.2%,63,2463,,39.1
5,Cleveland Browns,15,25,17,68.0%,26,26,100.0%,81,3038,,37.5
6,Chicago Bears,15,31,18,58.1%,33,30,90.9%,86,3406,,39.6
7,Cincinnati Bengals,15,26,23,88.5%,43,43,100.0%,75,3015,,40.2
8,Los Angeles Rams,15,24,21,87.5%,43,40,93.0%,83,3096,,37.3
9,Los Angeles Raiders,15,29,20,69.0%,33,31,93.9%,78,3323,,42.6
10,Detroit Lions,15,34,28,82.4%,43,42,97.7%,65,2464,,37.9
11,Buffalo Bills,15,20,15,75.0%,37,36,97.3%,88,3230,,36.7
12,Denver Broncos,15,21,14,66.7%,35,32,91.4%,75,3157,,42.1
13,San Diego Chargers,15,29,19,65.5%,37,36,97.3%,89,3694,,41.5
14,Indianapolis Colts,15,26,15,57.7%,28,25,89.3%,82,3050,,37.2
15,Pittsburgh Steelers,15,26,20,76.9%,34,31,91.2%,70,2744,,39.2
16,St. Louis Cardinals,15,18,11,61.1%,48,45,93.8%,74,3049,,41.2
17,Houston Oilers,15,36,30,83.3%,37,35,94.6%,77,3034,,39.4
18,Tampa Bay Buccaneers,15,30,18,60.0%,44,42,95.5%,64,2637,,41.2
19,New York Jets,15,29,20,69.0%,43,42,97.7%,80,3072,,38.4
20,Green Bay Packers,15,36,27,75.0%,31,29,93.5%,77,3088,,40.1
21,Minnesota Vikings,15,31,24,77.4%,38,35,92.1%,74,2953,,39.9
22,Dallas Cowboys,15,29,19,65.5%,41,39,95.1%,75,3045,,40.6
23,San Francisco 49ers,15,35,24,68.6%,26,25,96.2%,72,2851,,39.6
24,New Orleans Saints,15,18,12,66.7%,35,35,100.0%,73,2738,,37.5
25,New York Giants,15,34,23,67.6%,35,33,94.3%,96,3658,,38.1
26,Washington Redskins,15,28,19,67.9%,33,30,90.9%,91,3567,,39.2
27,New England Patriots,15,27,18,66.7%,33,33,100.0%,77,2934,,38.1
28,Philadelphia Eagles,15,29,18,62.1%,46,44,95.7%,88,3265,,37.1
,Avg Team,,28.0,19.7,70.3%,37.2,36.1,97.0%,76.4,3039.4,1.0,39.8
,League Total,,784,551,70.3%,1041,1010,97.0%,2140,85104,29,39.8
,Avg Tm/G,,1.9,1.3,70.3%,2.5,2.4,97.0%,5.1,202.6,0.1,39.8
