Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Jacksonville Jaguars,16,25,23,92.0%,48,48,100.0%,64,2714,,42.4
2,Buffalo Bills,16,39,29,74.4%,46,46,100.0%,71,2989,,42.1
3,New Orleans Saints,16,34,28,82.4%,29,27,93.1%,67,2995,,44.7
4,Minnesota Vikings,16,23,18,78.3%,42,42,100.0%,85,3748,,44.1
5,Cleveland Browns,16,36,27,75.0%,35,35,100.0%,64,2816,,44.0
6,Cincinnati Bengals,16,33,28,84.8%,43,43,100.0%,76,3139,,41.3
7,Houston Texans,16,27,21,77.8%,50,50,100.0%,67,2928,,43.7
8,San Diego Chargers,16,16,16,100.0%,37,36,97.3%,81,3410,,42.1
9,Seattle Seahawks,16,30,25,83.3%,44,44,100.0%,81,3524,,43.5
10,Tampa Bay Buccaneers,16,21,17,81.0%,35,35,100.0%,72,2916,,40.5
11,Tennessee Titans,16,48,39,81.3%,30,30,100.0%,61,2617,,42.9
12,Carolina Panthers,16,32,29,90.6%,45,45,100.0%,76,3306,,43.5
13,Miami Dolphins,16,31,27,87.1%,36,36,100.0%,77,3257,,42.3
14,Dallas Cowboys,16,27,25,92.6%,49,49,100.0%,70,3017,,43.1
15,New York Giants,16,27,23,85.2%,37,36,97.3%,86,3741,,43.5
16,Green Bay Packers,16,29,24,82.8%,24,24,100.0%,78,3494,,44.8
17,New England Patriots,16,26,19,73.1%,32,32,100.0%,58,2424,,41.8
18,Chicago Bears,16,27,21,77.8%,31,29,93.5%,88,3573,,40.6
19,Indianapolis Colts,16,36,31,86.1%,41,41,100.0%,67,2975,,44.4
20,Pittsburgh Steelers,16,30,26,86.7%,19,18,94.7%,81,3272,,40.4
21,Baltimore Ravens,16,32,27,84.4%,25,25,100.0%,89,3872,,43.5
22,Arizona Cardinals,16,51,40,78.4%,45,44,97.8%,64,3066,,47.9
23,Atlanta Falcons,16,23,15,65.2%,31,31,100.0%,73,3322,,45.5
24,Denver Broncos,16,36,29,80.6%,53,52,98.1%,73,3168,,43.4
25,San Francisco 49ers,16,33,28,84.8%,37,36,97.3%,84,3570,,42.5
26,Detroit Lions,16,20,19,95.0%,42,42,100.0%,83,3635,,43.8
27,Washington Redskins,16,38,28,73.7%,37,37,100.0%,86,3707,,43.1
28,Kansas City Chiefs,16,24,20,83.3%,38,38,100.0%,89,4023,,45.2
29,Philadelphia Eagles,16,21,18,85.7%,45,45,100.0%,82,3600,,43.9
30,St. Louis Rams,16,38,35,92.1%,29,29,100.0%,82,3674,,44.8
31,New York Jets,16,23,18,78.3%,35,34,97.1%,97,4384,,45.2
32,Oakland Raiders,16,28,21,75.0%,44,44,100.0%,94,4117,,43.8
,Avg Team,,30.1,24.8,82.4%,37.9,37.6,99.1%,77.1,3344.0,0.4,43.4
,League Total,,964,794,82.4%,1214,1203,99.1%,2466,107008,13,43.4
,Avg Tm/G,,1.9,1.6,82.4%,2.4,2.3,99.1%,4.8,209.0,0.0,43.4
