Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Miami Dolphins,16,18,11,61.1%,40,40,100.0%,68,2836,,41.7
2,Los Angeles Rams,16,29,23,79.3%,38,38,100.0%,74,3108,,42.0
3,Tampa Bay Buccaneers,16,26,23,88.5%,38,38,100.0%,68,2904,,42.7
4,Chicago Bears,16,41,30,73.2%,26,25,96.2%,72,2808,,39.0
5,Detroit Lions,16,28,21,75.0%,38,37,97.4%,66,2963,,44.9
6,Buffalo Bills,16,30,26,86.7%,36,34,94.4%,69,2919,,42.3
7,New York Jets,16,27,21,77.8%,32,31,96.9%,62,2672,,43.1
8,Houston Oilers,16,31,30,96.8%,35,34,97.1%,82,3444,,42.0
9,Indianapolis Colts,16,34,27,79.4%,29,29,100.0%,72,3038,,42.2
10,Los Angeles Raiders,16,29,21,72.4%,35,34,97.1%,84,3410,,40.6
11,San Francisco 49ers,16,21,15,71.4%,23,23,100.0%,77,3272,,42.5
12,Atlanta Falcons,16,33,26,78.8%,40,39,97.5%,62,2660,,42.9
13,New Orleans Saints,16,37,30,81.1%,41,41,100.0%,60,2556,,42.6
14,Cincinnati Bengals,16,35,31,88.6%,41,41,100.0%,87,3532,,40.6
15,New England Patriots,16,25,20,80.0%,33,32,97.0%,83,3337,,40.2
16,Cleveland Browns,16,26,17,65.4%,19,19,100.0%,97,3880,,40.0
17,Seattle Seahawks,16,33,27,81.8%,28,28,100.0%,78,3190,,40.9
18,Washington Redskins,16,28,17,60.7%,47,47,100.0%,87,3506,,40.3
19,Denver Broncos,16,37,31,83.8%,35,35,100.0%,76,3306,,43.5
20,San Diego Chargers,16,27,22,81.5%,30,30,100.0%,76,3291,,43.3
21,Kansas City Chiefs,16,23,18,78.3%,30,30,100.0%,85,3825,,45.0
22,New York Giants,16,34,29,85.3%,30,30,100.0%,69,2794,,40.5
23,Minnesota Vikings,16,30,19,63.3%,31,31,100.0%,86,3483,,40.5
24,Dallas Cowboys,16,25,20,80.0%,24,24,100.0%,84,3637,,43.3
25,Arizona Cardinals,16,24,15,62.5%,29,28,96.6%,90,3681,,40.9
26,Philadelphia Eagles,16,26,25,96.2%,28,27,96.4%,90,3573,,39.7
27,Green Bay Packers,16,25,21,84.0%,24,24,100.0%,88,3494,,39.7
28,Pittsburgh Steelers,16,29,24,82.8%,22,22,100.0%,97,4093,,42.2
,Avg Team,,29.0,22.9,78.9%,32.2,31.8,98.8%,78.2,3264.4,0.2,41.8
,League Total,,811,640,78.9%,902,891,98.8%,2189,91403,5,41.8
,Avg Tm/G,,1.8,1.4,78.9%,2.0,2.0,98.8%,4.9,204.0,0.0,41.8
