Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Minnesota Vikings,16,27,24,88.9%,43,43,100.0%,59,2490,,42.2
2,St. Louis Rams,16,36,31,86.1%,39,39,100.0%,71,3018,,42.5
3,Houston Texans,16,29,22,75.9%,37,37,100.0%,69,2877,,41.7
4,Oakland Raiders,16,25,17,68.0%,54,53,98.1%,68,2808,,41.3
5,Dallas Cowboys,16,23,21,91.3%,45,44,97.8%,78,3260,,41.8
6,Jacksonville Jaguars,16,28,21,75.0%,28,27,96.4%,74,3263,,44.1
7,New England Patriots,16,18,15,83.3%,23,23,100.0%,69,2864,,41.5
8,New York Giants,16,25,20,80.0%,37,37,100.0%,77,2995,,38.9
9,Kansas City Chiefs,16,27,21,77.8%,51,50,98.0%,64,2701,,42.2
10,Atlanta Falcons,16,18,16,88.9%,39,39,100.0%,80,3464,,43.3
11,Pittsburgh Steelers,16,27,23,85.2%,24,24,100.0%,79,3373,,42.7
12,Tampa Bay Buccaneers,16,31,20,64.5%,35,34,97.1%,87,3863,,44.4
13,San Francisco 49ers,16,29,25,86.2%,51,51,100.0%,80,3272,,40.9
14,Cleveland Browns,16,28,24,85.7%,44,44,100.0%,85,3536,,41.6
15,Green Bay Packers,16,25,17,68.0%,47,47,100.0%,81,3175,,39.2
16,New York Jets,16,19,16,84.2%,29,29,100.0%,89,3569,,40.1
17,Carolina Panthers,16,28,20,71.4%,39,39,100.0%,64,2630,,41.1
18,Seattle Seahawks,16,32,27,84.4%,39,38,97.4%,74,3093,,41.8
19,Tennessee Titans,16,28,23,82.1%,50,50,100.0%,74,3226,,43.6
20,Indianapolis Colts,16,31,25,80.6%,36,36,100.0%,52,2220,,42.7
21,Denver Broncos,16,26,21,80.8%,32,31,96.9%,95,4247,,44.7
22,Philadelphia Eagles,16,24,17,70.8%,27,27,100.0%,89,3782,,42.5
23,San Diego Chargers,16,27,20,74.1%,34,33,97.1%,64,2714,,42.4
24,Detroit Lions,16,20,17,85.0%,38,37,97.4%,84,3654,,43.5
25,Miami Dolphins,16,28,20,71.4%,42,42,100.0%,102,4182,,41.0
26,New Orleans Saints,16,35,31,88.6%,42,42,100.0%,71,2897,,40.8
27,Buffalo Bills,16,32,27,84.4%,27,27,100.0%,79,3215,,40.7
28,Chicago Bears,16,36,26,72.2%,35,35,100.0%,92,3717,,40.4
29,Cincinnati Bengals,16,31,28,90.3%,40,40,100.0%,79,3310,,41.9
30,Arizona Cardinals,16,26,25,96.2%,30,29,96.7%,97,4064,,41.9
31,Washington Redskins,16,20,17,85.0%,28,28,100.0%,104,4181,,40.2
32,Baltimore Ravens,16,31,26,83.9%,24,24,100.0%,94,3769,,40.1
,Avg Team,,27.2,22.0,80.8%,37.2,36.8,99.2%,78.9,3309.2,0.3,42.0
,League Total,,870,703,80.8%,1189,1179,99.2%,2524,105893,11,42.0
,Avg Tm/G,,1.7,1.4,80.8%,2.3,2.3,99.2%,4.9,206.8,0.0,42.0
