Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Tampa Bay Buccaneers,16,29,23,79.3%,60,59,98.3%,58,0,0,0.0
2,San Diego Chargers,16,28,25,89.3%,40,40,100.0%,60,0,0,0.0
3,Pittsburgh Steelers,16,27,22,81.5%,21,21,100.0%,87,0,0,0.0
4,Washington Redskins,16,41,34,82.9%,38,37,97.4%,70,0,0,0.0
5,Cleveland Browns,16,34,30,88.2%,31,31,100.0%,76,0,0,0.0
6,Carolina Panthers,16,31,27,87.1%,48,48,100.0%,52,0,0,0.0
7,Kansas City Chiefs,16,28,23,82.1%,37,37,100.0%,83,0,0,0.0
8,Indianapolis Colts,16,34,29,85.3%,49,49,100.0%,74,0,0,0.0
9,Philadelphia Eagles,16,24,16,66.7%,38,38,100.0%,85,0,0,0.0
10,New Orleans Saints,16,32,27,84.4%,37,36,97.3%,71,0,0,0.0
11,Minnesota Vikings,16,35,32,91.4%,49,49,100.0%,67,0,0,0.0
12,Atlanta Falcons,16,28,23,82.1%,37,37,100.0%,75,0,0,0.0
13,Buffalo Bills,16,25,21,84.0%,52,51,98.1%,68,0,0,0.0
14,Dallas Cowboys,16,33,26,78.8%,35,35,100.0%,72,0,0,0.0
15,Jacksonville Jaguars,16,29,22,75.9%,36,35,97.2%,89,0,0,0.0
16,Oakland Raiders,16,29,21,72.4%,53,52,98.1%,68,0,0,0.0
17,New York Giants,16,31,25,80.6%,45,45,100.0%,75,0,0,0.0
18,New England Patriots,16,23,20,87.0%,38,38,100.0%,67,0,0,0.0
19,Arizona Cardinals,16,48,35,72.9%,33,33,100.0%,92,0,0,0.0
20,Miami Dolphins,16,33,26,78.8%,31,31,100.0%,95,0,0,0.0
21,Baltimore Ravens,16,31,28,90.3%,26,26,100.0%,86,0,0,0.0
22,St. Louis Rams,16,37,31,83.8%,44,44,100.0%,81,0,0,0.0
23,Tennessee Titans,16,28,27,96.4%,32,32,100.0%,83,0,0,0.0
24,Houston Texans,16,36,30,83.3%,22,22,100.0%,83,0,0,0.0
25,Green Bay Packers,16,27,22,81.5%,35,35,100.0%,58,0,0,0.0
26,Denver Broncos,16,39,32,82.1%,40,40,100.0%,92,0,0,0.0
27,Chicago Bears,16,36,30,83.3%,33,33,100.0%,85,0,0,0.0
28,Seattle Seahawks,16,37,28,75.7%,32,31,96.9%,81,0,0,0.0
29,New York Jets,16,30,29,96.7%,38,38,100.0%,92,0,0,0.0
30,Cincinnati Bengals,16,27,22,81.5%,35,35,100.0%,98,0,0,0.0
31,Detroit Lions,16,34,30,88.2%,41,41,100.0%,78,0,0,0.0
32,San Francisco 49ers,16,27,22,81.5%,21,21,100.0%,87,0,0,0.0
,Avg Team,,31.6,26.2,82.9%,37.7,37.5,99.4%,77.8,3501.6,0.3,45.0
,League Total,,1011,838,82.9%,1207,1200,99.4%,2488,112051,9,45.0
,Avg Tm/G,,2.0,1.6,82.9%,2.4,2.3,99.4%,4.9,218.8,0.0,45.0
