Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Detroit Lions,16,34,31,91.2%,55,55,100.0%,66,2878,,43.6
2,Washington Redskins,16,36,31,86.1%,31,31,100.0%,70,2926,,41.8
3,St. Louis Rams,16,22,19,86.4%,52,51,98.1%,75,3322,,44.3
4,Jacksonville Jaguars,16,28,24,85.7%,38,38,100.0%,62,2784,,44.9
5,New England Patriots,16,20,14,70.0%,34,33,97.1%,79,3271,,41.4
6,Atlanta Falcons,16,28,20,71.4%,38,37,97.4%,62,2635,,42.5
7,Indianapolis Colts,16,36,30,83.3%,27,27,100.0%,65,2886,,44.4
8,Carolina Panthers,16,27,19,70.4%,33,33,100.0%,74,3315,,44.8
9,Tampa Bay Buccaneers,16,32,26,81.3%,46,44,95.7%,72,3082,,42.8
10,Chicago Bears,16,33,25,75.8%,40,38,95.0%,71,3025,,42.6
11,Tennessee Titans,16,27,22,81.5%,47,46,97.9%,76,3367,,44.3
12,San Diego Chargers,16,29,25,86.2%,33,33,100.0%,63,2709,,43.0
13,New York Giants,16,21,18,85.7%,51,47,92.2%,72,3168,,44.0
14,Miami Dolphins,16,39,33,84.6%,37,35,94.6%,67,2955,,44.1
15,Oakland Raiders,16,40,30,75.0%,41,41,100.0%,77,3296,,42.8
16,Cleveland Browns,16,36,30,83.3%,41,39,95.1%,77,3319,,43.1
17,Seattle Seahawks,16,31,22,71.0%,44,44,100.0%,82,3870,,47.2
18,Cincinnati Bengals,16,29,23,79.3%,30,30,100.0%,83,3644,,43.9
19,Houston Texans,16,23,20,87.0%,39,39,100.0%,76,3557,,46.8
20,Pittsburgh Steelers,16,29,22,75.9%,32,32,100.0%,86,3681,,42.8
21,Dallas Cowboys,16,26,18,69.2%,28,28,100.0%,92,4085,,44.4
22,Denver Broncos,16,31,29,93.5%,34,33,97.1%,76,3519,,46.3
23,Buffalo Bills,16,28,22,78.6%,32,32,100.0%,78,3214,,41.2
24,New York Jets,16,23,19,82.6%,24,23,95.8%,99,4277,,43.2
25,New Orleans Saints,16,32,27,84.4%,36,36,100.0%,71,3053,,43.0
26,Baltimore Ravens,16,27,24,88.9%,27,27,100.0%,79,3429,,43.4
27,Arizona Cardinals,16,25,19,76.0%,38,38,100.0%,84,3772,,44.9
28,Green Bay Packers,16,17,13,76.5%,34,34,100.0%,74,3330,,45.0
29,Kansas City Chiefs,16,37,29,78.4%,47,47,100.0%,79,3484,,44.1
30,Minnesota Vikings,16,26,22,84.6%,31,30,96.8%,89,3978,,44.7
31,Philadelphia Eagles,16,24,21,87.5%,38,38,100.0%,80,3600,,45.0
32,San Francisco 49ers,16,34,29,85.3%,27,26,96.3%,95,4294,,45.2
,Avg Team,,29.1,23.6,81.3%,37.0,36.4,98.3%,76.6,3374.8,0.2,44.1
,League Total,,930,756,81.3%,1185,1165,98.3%,2451,107993,6,44.1
,Avg Tm/G,,1.8,1.5,81.3%,2.3,2.3,98.3%,4.8,210.9,0.0,44.1
