Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Chicago Bears,16,39,33,84.6%,49,49,100.0%,49,2109,0,43.0
2,New Orleans Saints,16,32,31,96.9%,43,43,100.0%,63,2783,0,44.2
3,Tampa Bay Buccaneers,16,39,29,74.4%,41,41,100.0%,64,2826,0,44.2
4,Baltimore Ravens,16,36,30,83.3%,28,28,100.0%,76,3489,0,45.9
5,Washington Redskins,16,26,22,84.6%,51,50,98.0%,80,3522,0,44.0
6,San Francisco 49ers,16,20,20,100.0%,40,40,100.0%,74,3362,0,45.4
7,Miami Dolphins,16,34,26,76.5%,39,39,100.0%,61,2593,0,42.5
8,Detroit Lions,16,23,18,78.3%,30,30,100.0%,82,3583,0,43.7
9,Tennessee Titans,16,39,33,84.6%,47,47,100.0%,73,3356,0,46.0
10,Atlanta Falcons,16,38,31,81.6%,42,40,95.2%,56,2413,0,43.1
11,Pittsburgh Steelers,16,32,30,93.8%,38,38,100.0%,68,3078,0,45.3
12,Kansas City Chiefs,16,37,32,86.5%,25,25,100.0%,78,3700,0,47.4
13,Green Bay Packers,16,24,21,87.5%,37,37,100.0%,62,2691,0,43.4
14,Minnesota Vikings,16,31,25,80.6%,37,36,97.3%,76,3292,0,43.3
15,Seattle Seahawks,16,24,21,87.5%,25,25,100.0%,83,3630,0,43.7
16,New York Jets,16,32,26,81.3%,44,43,97.7%,81,3757,0,46.4
17,San Diego Chargers,16,34,28,82.4%,36,36,100.0%,69,3210,0,46.5
18,Carolina Panthers,16,28,22,78.6%,44,44,100.0%,72,3297,0,45.8
19,Dallas Cowboys,16,18,16,88.9%,41,40,97.6%,67,3007,0,44.9
20,Cincinnati Bengals,16,32,26,81.3%,34,34,100.0%,75,3274,0,43.7
21,Jacksonville Jaguars,16,35,31,88.6%,45,45,100.0%,75,3559,0,47.5
22,St. Louis Rams,16,29,25,86.2%,39,39,100.0%,76,3268,0,43.0
23,Indianapolis Colts,16,19,15,78.9%,46,46,100.0%,90,4271,0,47.5
24,New York Giants,16,31,29,93.5%,41,41,100.0%,75,3416,0,45.5
25,Arizona Cardinals,16,32,25,78.1%,32,32,100.0%,78,3544,0,45.4
26,Denver Broncos,16,28,23,82.1%,37,37,100.0%,88,4035,0,45.9
27,Cleveland Browns,16,34,29,85.3%,34,34,100.0%,86,3790,0,44.1
28,New England Patriots,16,37,29,78.4%,28,28,100.0%,65,2847,0,43.8
29,Buffalo Bills,16,37,30,81.1%,27,27,100.0%,88,3834,0,43.6
30,Oakland Raiders,16,38,32,84.2%,50,50,100.0%,83,3634,0,43.8
31,Houston Texans,16,22,19,86.4%,33,32,97.0%,83,3742,0,45.1
32,Philadelphia Eagles,16,27,22,81.5%,47,46,97.9%,91,3984,0,43.8
,Avg Team,,30.8,25.9,84.0%,38.4,38.2,99.3%,74.6,3340.5,0.7,44.8
,League Total,,987,829,84.0%,1230,1222,99.3%,2387,106896,23,44.8
,Avg Tm/G,,1.9,1.6,84.0%,2.4,2.4,99.3%,4.7,208.8,0.0,44.8
