Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,San Diego Chargers,16,30,23,76.7%,39,39,100.0%,65,0,0,0.0
2,Atlanta Falcons,16,35,34,97.1%,47,47,100.0%,62,0,0,0.0
3,Carolina Panthers,16,34,30,88.2%,19,19,100.0%,73,0,0,0.0
4,St. Louis Rams,16,26,18,69.2%,42,42,100.0%,74,0,0,0.0
5,Detroit Lions,16,40,37,92.5%,29,29,100.0%,84,0,0,0.0
6,New Orleans Saints,16,28,24,85.7%,32,32,100.0%,83,0,0,0.0
7,Jacksonville Jaguars,16,29,26,89.7%,53,53,100.0%,76,0,0,0.0
8,Green Bay Packers,16,30,24,80.0%,49,48,98.0%,70,0,0,0.0
9,Washington Redskins,16,25,21,84.0%,59,59,100.0%,74,0,0,0.0
10,Chicago Bears,16,30,28,93.3%,54,54,100.0%,58,0,0,0.0
11,Cleveland Browns,16,32,27,84.4%,43,43,100.0%,88,0,0,0.0
12,Tampa Bay Buccaneers,16,32,31,96.9%,40,40,100.0%,68,0,0,0.0
13,Pittsburgh Steelers,16,31,28,90.3%,39,38,97.4%,79,0,0,0.0
14,New York Giants,16,30,29,96.7%,40,40,100.0%,87,0,0,0.0
15,Houston Texans,16,35,30,85.7%,46,46,100.0%,91,0,0,0.0
16,Tennessee Titans,16,39,32,82.1%,38,37,97.4%,76,0,0,0.0
17,Minnesota Vikings,16,29,27,93.1%,53,53,100.0%,77,0,0,0.0
18,Cincinnati Bengals,16,31,26,83.9%,31,31,100.0%,90,0,0,0.0
19,Indianapolis Colts,16,30,23,76.7%,37,37,100.0%,75,0,0,0.0
20,Arizona Cardinals,16,32,25,78.1%,33,33,100.0%,88,0,0,0.0
21,New York Jets,16,37,33,89.2%,40,40,100.0%,82,0,0,0.0
22,Miami Dolphins,16,40,34,85.0%,33,33,100.0%,78,0,0,0.0
23,Oakland Raiders,16,28,25,89.3%,52,52,100.0%,77,0,0,0.0
24,Dallas Cowboys,16,29,25,86.2%,48,47,97.9%,61,0,0,0.0
25,Seattle Seahawks,16,27,26,96.3%,17,17,100.0%,82,0,0,0.0
26,Philadelphia Eagles,16,32,27,84.4%,36,35,97.2%,74,0,0,0.0
27,Baltimore Ravens,16,35,32,91.4%,34,34,100.0%,98,0,0,0.0
28,San Francisco 49ers,16,25,20,80.0%,28,28,100.0%,87,0,0,0.0
29,New England Patriots,16,27,22,81.5%,38,38,100.0%,80,0,0,0.0
30,Buffalo Bills,16,36,31,86.1%,41,41,100.0%,94,0,0,0.0
31,Denver Broncos,16,26,23,88.5%,44,44,100.0%,89,0,0,0.0
32,Kansas City Chiefs,16,28,22,78.6%,33,33,100.0%,87,0,0,0.0
,Avg Team,,31.2,27.0,86.5%,39.6,39.4,99.6%,79.0,3550.4,0.6,45.0
,League Total,,998,863,86.5%,1267,1262,99.6%,2527,113614,18,45.0
,Avg Tm/G,,1.9,1.7,86.5%,2.5,2.5,99.6%,4.9,221.9,0.0,45.0
