Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Denver Broncos,16,33,27,81.8%,42,42,100.0%,60,2634,,43.9
2,Houston Texans,16,33,28,84.8%,43,42,97.7%,59,2537,,43.0
3,Miami Dolphins,16,33,28,84.8%,49,49,100.0%,62,2685,,43.3
4,Jacksonville Jaguars,16,23,18,78.3%,32,32,100.0%,66,2871,,43.5
5,New Orleans Saints,16,30,26,86.7%,44,44,100.0%,67,2921,,43.6
6,Cincinnati Bengals,16,27,25,92.6%,42,42,100.0%,58,2303,,39.7
7,New York Jets,16,32,29,90.6%,36,36,100.0%,68,2904,,42.7
8,Indianapolis Colts,16,20,15,75.0%,27,27,100.0%,56,2475,,44.2
9,Buffalo Bills,16,30,27,90.0%,37,37,100.0%,61,2599,,42.6
10,Oakland Raiders,16,34,25,73.5%,43,43,100.0%,71,3046,,42.9
11,St. Louis Rams,16,39,34,87.2%,44,44,100.0%,66,3148,,47.7
12,Baltimore Ravens,16,43,37,86.0%,36,35,97.2%,76,3276,,43.1
13,Pittsburgh Steelers,16,22,18,81.8%,30,29,96.7%,82,3526,,43.0
14,Detroit Lions,16,27,17,63.0%,53,53,100.0%,61,2739,,44.9
15,Washington Redskins,16,37,27,73.0%,30,29,96.7%,81,3483,,43.0
16,Tennessee Titans,16,25,18,72.0%,33,31,93.9%,81,3613,,44.6
17,Philadelphia Eagles,16,38,31,81.6%,29,27,93.1%,76,3162,,41.6
18,New York Giants,16,29,21,72.4%,38,38,100.0%,87,3628,,41.7
19,Cleveland Browns,16,35,32,91.4%,38,38,100.0%,69,2774,,40.2
20,New England Patriots,16,14,12,85.7%,34,34,100.0%,76,3298,,43.4
21,Kansas City Chiefs,16,39,34,87.2%,33,33,100.0%,84,3763,,44.8
22,Tampa Bay Buccaneers,16,18,15,83.3%,32,31,96.9%,83,3610,,43.5
23,Minnesota Vikings,16,32,28,87.5%,31,31,100.0%,82,3780,,46.1
24,San Francisco 49ers,16,35,31,88.6%,38,37,97.4%,89,3640,,40.9
25,Carolina Panthers,16,32,27,84.4%,38,38,100.0%,76,3245,,42.7
26,Atlanta Falcons,16,30,28,93.3%,46,46,100.0%,74,3064,,41.4
27,Dallas Cowboys,16,31,25,80.6%,34,34,100.0%,73,3285,,45.0
28,Green Bay Packers,16,27,24,88.9%,29,29,100.0%,80,3400,,42.5
29,San Diego Chargers,16,19,13,68.4%,33,33,100.0%,69,2960,,42.9
30,Arizona Cardinals,16,33,28,84.8%,39,39,100.0%,73,3183,,43.6
31,Chicago Bears,16,33,25,75.8%,37,35,94.6%,94,3807,,40.5
32,Seattle Seahawks,16,27,22,81.5%,28,27,96.4%,93,4324,,46.5
,Avg Team,,30.0,24.8,82.8%,36.8,36.4,99.0%,73.5,3193.5,0.4,43.4
,League Total,,960,795,82.8%,1177,1165,99.0%,2353,102192,12,43.4
,Avg Tm/G,,1.9,1.6,82.8%,2.3,2.3,99.0%,4.6,199.6,0.0,43.4
