Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Cleveland Browns,16,43,35,81.4%,31,31,100.0%,76,3146,,41.4
2,New York Jets,16,27,20,74.1%,33,33,100.0%,66,2521,,38.2
3,Arizona Cardinals,16,28,21,75.0%,53,53,100.0%,67,2680,,40.0
4,Jacksonville Jaguars,16,27,24,88.9%,34,33,97.1%,75,3075,,41.0
5,Buffalo Bills,16,31,23,74.2%,26,26,100.0%,93,3553,,38.2
6,Minnesota Vikings,16,26,21,80.8%,36,36,100.0%,64,2579,,40.3
7,San Diego Chargers,16,26,23,88.5%,53,52,98.1%,74,3160,,42.7
8,New Orleans Saints,16,31,25,80.6%,35,35,100.0%,76,3184,,41.9
9,New York Giants,16,37,28,75.7%,42,41,97.6%,82,2919,,35.6
10,Cincinnati Bengals,16,33,28,84.8%,38,38,100.0%,67,2848,,42.5
11,Tampa Bay Buccaneers,16,34,25,73.5%,27,27,100.0%,82,3559,,43.4
12,Denver Broncos,16,28,25,89.3%,29,28,96.6%,85,3663,,43.1
13,Washington Redskins,16,31,19,61.3%,45,45,100.0%,71,2996,,42.2
14,Chicago Bears,16,38,31,81.6%,33,31,93.9%,76,3070,,40.4
15,Houston Texans,16,35,28,80.0%,40,40,100.0%,75,3128,,41.7
16,Detroit Lions,16,24,17,70.8%,46,46,100.0%,84,3570,,42.5
17,San Francisco 49ers,16,26,17,65.4%,40,40,100.0%,76,2972,,39.1
18,Seattle Seahawks,16,31,25,80.6%,35,34,97.1%,76,3025,,39.8
19,St. Louis Rams,16,24,19,79.2%,36,35,97.2%,74,3064,,41.4
20,Atlanta Falcons,16,25,19,76.0%,48,47,97.9%,82,3559,,43.4
21,Indianapolis Colts,16,21,16,76.2%,38,38,100.0%,74,3115,,42.1
22,Miami Dolphins,16,31,26,83.9%,23,23,100.0%,80,3296,,41.2
23,Green Bay Packers,16,33,30,90.9%,29,29,100.0%,83,3403,,41.0
24,Carolina Panthers,16,32,21,65.6%,32,31,96.9%,90,3780,,42.0
25,Pittsburgh Steelers,16,24,21,87.5%,35,32,91.4%,91,3695,,40.6
26,Philadelphia Eagles,16,30,22,73.3%,28,27,96.4%,78,3034,,38.9
27,Oakland Raiders,16,34,28,82.4%,36,35,97.2%,82,3272,,39.9
28,Tennessee Titans,16,30,26,86.7%,34,34,100.0%,78,3292,,42.2
29,Dallas Cowboys,16,23,21,91.3%,26,23,88.5%,105,4473,,42.6
30,New England Patriots,16,35,25,71.4%,21,21,100.0%,90,3654,,40.6
31,Kansas City Chiefs,16,25,19,76.0%,39,39,100.0%,73,2971,,40.7
32,Baltimore Ravens,16,31,28,90.3%,27,27,100.0%,105,4210,,40.1
,Avg Team,,29.8,23.6,79.2%,35.3,34.7,98.4%,79.7,3291.8,0.7,41.3
,League Total,,954,756,79.2%,1128,1110,98.4%,2550,105338,21,41.3
,Avg Tm/G,,1.9,1.5,79.2%,2.2,2.2,98.4%,5.0,205.7,0.0,41.3
