Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Buffalo Bills,16,15,12,80.0%,50,45,90.0%,81,3280,,40.5
2,Cleveland Browns,16,29,19,65.5%,34,33,97.1%,91,3840,,42.2
3,Minnesota Vikings,16,37,29,78.4%,39,38,97.4%,65,2691,,41.4
4,Detroit Lions,16,36,28,77.8%,40,40,100.0%,64,2573,,40.2
5,Miami Dolphins,16,28,19,67.9%,38,35,92.1%,73,2971,,40.7
6,Washington Redskins,16,28,22,78.6%,35,34,97.1%,85,3723,,43.8
7,Houston Oilers,16,34,19,55.9%,51,49,96.1%,68,2679,,39.4
8,Tampa Bay Buccaneers,16,43,32,74.4%,50,50,100.0%,59,2620,,44.4
9,Indianapolis Colts,16,31,25,80.6%,45,41,91.1%,72,2981,,41.4
10,Cincinnati Bengals,16,34,26,76.5%,51,51,100.0%,60,2478,,41.3
11,Green Bay Packers,16,31,16,51.6%,43,41,95.3%,77,3288,,42.7
12,Atlanta Falcons,16,23,17,73.9%,56,55,98.2%,69,2898,,42.0
13,St. Louis Cardinals,16,38,28,73.7%,47,46,97.9%,75,3068,,40.9
14,Philadelphia Eagles,16,29,13,44.8%,38,37,97.4%,92,3919,,42.6
15,New Orleans Saints,16,28,21,75.0%,48,48,100.0%,81,3418,,42.2
16,San Diego Chargers,16,30,18,60.0%,54,51,94.4%,70,2716,,38.8
17,New York Jets,16,25,18,72.0%,30,30,100.0%,88,3678,,41.8
18,Dallas Cowboys,16,27,18,66.7%,40,37,92.5%,78,3221,,41.3
19,Los Angeles Rams,16,29,23,79.3%,30,28,93.3%,89,3738,,42.0
20,Chicago Bears,16,19,12,63.2%,23,22,95.7%,90,3636,,40.4
21,Seattle Seahawks,16,28,20,71.4%,35,31,88.6%,97,4084,,42.1
22,Kansas City Chiefs,16,30,25,83.3%,41,39,95.1%,75,3090,,41.2
23,New York Giants,16,21,18,85.7%,33,31,93.9%,107,4366,,40.8
24,San Francisco 49ers,16,35,27,77.1%,26,24,92.3%,92,3643,,39.6
25,Pittsburgh Steelers,16,25,19,76.0%,43,40,93.0%,86,3517,,40.9
26,Los Angeles Raiders,16,35,24,68.6%,33,32,97.0%,104,4358,,41.9
27,New England Patriots,16,25,22,88.0%,32,30,93.8%,97,3928,,40.5
28,Denver Broncos,16,33,26,78.8%,36,35,97.2%,94,3863,,41.1
,Avg Team,,29.5,21.3,72.2%,39.6,38.3,96.7%,81.4,3390.8,0.6,41.7
,League Total,,826,596,72.2%,1110,1073,96.7%,2279,94943,16,41.7
,Avg Tm/G,,1.8,1.3,72.2%,2.5,2.4,96.7%,5.1,211.9,0.0,41.7
