Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Cincinnati Bengals,16,31,27,87.1%,51,51,100.0%,64,2848,,44.5
2,Indianapolis Colts,16,37,28,75.7%,45,44,97.8%,68,3033,,44.6
3,Chicago Bears,16,31,26,83.9%,38,36,94.7%,72,3082,,42.8
4,Pittsburgh Steelers,16,41,32,78.0%,24,23,95.8%,76,3481,,45.8
5,Tennessee Oilers,16,30,25,83.3%,29,29,100.0%,74,3189,,43.1
6,Tampa Bay Buccaneers,16,30,26,86.7%,29,29,100.0%,87,3654,,42.0
7,Carolina Panthers,16,31,30,96.8%,43,41,95.3%,71,3124,,44.0
8,Green Bay Packers,16,27,23,85.2%,30,28,93.3%,90,3924,,43.6
9,Philadelphia Eagles,16,32,24,75.0%,37,36,97.3%,85,3612,,42.5
10,Kansas City Chiefs,16,30,18,60.0%,43,43,100.0%,77,3249,,42.2
11,New Orleans Saints,16,33,26,78.8%,39,39,100.0%,75,3262,,43.5
12,Detroit Lions,16,30,25,83.3%,41,41,100.0%,81,3459,,42.7
13,Baltimore Ravens,16,30,26,86.7%,35,35,100.0%,86,3655,,42.5
14,San Diego Chargers,16,34,25,73.5%,37,37,100.0%,103,4542,,44.1
15,New England Patriots,16,32,27,84.4%,30,30,100.0%,73,3102,,42.5
16,Seattle Seahawks,16,30,23,76.7%,31,31,100.0%,78,3401,,43.6
17,New York Jets,16,25,20,80.0%,27,26,96.3%,85,3587,,42.2
18,St. Louis Rams,16,27,24,88.9%,40,40,100.0%,92,3827,,41.6
19,San Francisco 49ers,16,32,19,59.4%,38,35,92.1%,83,3494,,42.1
20,Minnesota Vikings,16,19,17,89.5%,31,31,100.0%,74,3152,,42.6
21,Arizona Cardinals,16,30,24,80.0%,41,40,97.6%,75,3293,,43.9
22,Buffalo Bills,16,26,21,80.8%,28,28,100.0%,77,3457,,44.9
23,Denver Broncos,16,20,14,70.0%,31,31,100.0%,88,3731,,42.4
24,Dallas Cowboys,16,19,16,84.2%,30,29,96.7%,85,3604,,42.4
25,Atlanta Falcons,16,20,15,75.0%,31,28,90.3%,80,3424,,42.8
26,Oakland Raiders,16,37,28,75.7%,36,36,100.0%,96,4301,,44.8
27,Jacksonville Jaguars,16,35,30,85.7%,30,30,100.0%,78,3393,,43.5
28,Washington Redskins,16,28,23,82.1%,46,46,100.0%,92,3965,,43.1
29,Miami Dolphins,16,32,23,71.9%,24,24,100.0%,88,3986,,45.3
30,New York Giants,16,30,23,76.7%,34,34,100.0%,88,3705,,42.1
,Avg Team,,29.6,23.6,79.6%,35.0,34.4,98.3%,81.4,3532.9,0.3,43.4
,League Total,,889,708,79.6%,1049,1031,98.3%,2441,105987,10,43.4
,Avg Tm/G,,1.9,1.5,79.6%,2.2,2.1,98.3%,5.1,220.8,0.0,43.4
