Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Buffalo Bills,9,20,16,80.0%,15,14,93.3%,44,1729,,39.3
2,Denver Broncos,9,24,17,70.8%,25,25,100.0%,42,1655,,39.4
3,New Orleans Saints,9,12,9,75.0%,19,19,100.0%,51,2096,,41.1
4,Cincinnati Bengals,9,12,10,83.3%,20,19,95.0%,37,1484,,40.1
5,Baltimore Colts,9,19,14,73.7%,28,26,92.9%,41,1636,,39.9
6,Miami Dolphins,9,15,9,60.0%,15,14,93.3%,40,1604,,40.1
7,Seattle Seahawks,9,15,6,40.0%,18,17,94.4%,50,2030,,40.6
8,Tampa Bay Buccaneers,9,17,12,70.6%,21,16,76.2%,42,1823,,43.4
9,Philadelphia Eagles,9,22,20,90.9%,19,19,100.0%,38,1398,,36.8
10,Houston Oilers,9,18,11,61.1%,30,30,100.0%,38,1634,,43.0
11,New England Patriots,9,15,10,66.7%,18,17,94.4%,43,1707,,39.7
12,Atlanta Falcons,9,12,6,50.0%,26,25,96.2%,38,1585,,41.7
13,San Diego Chargers,9,19,16,84.2%,25,23,92.0%,27,1212,,44.9
14,Kansas City Chiefs,9,14,10,71.4%,22,20,90.9%,37,1469,,39.7
15,Dallas Cowboys,9,15,9,60.0%,17,16,94.1%,49,2082,,42.5
16,Cleveland Browns,9,11,7,63.6%,23,21,91.3%,40,1552,,38.8
17,Pittsburgh Steelers,9,14,9,64.3%,17,17,100.0%,53,2019,,38.1
18,St. Louis Cardinals,9,18,8,44.4%,21,20,95.2%,51,2101,,41.2
19,New York Jets,9,15,9,60.0%,20,19,95.0%,42,1768,,42.1
20,Detroit Lions,9,21,12,57.1%,20,20,100.0%,46,1831,,39.8
21,Los Angeles Rams,9,19,14,73.7%,30,28,93.3%,42,1600,,38.1
22,San Francisco 49ers,9,19,13,68.4%,24,23,95.8%,50,2135,,42.7
23,Green Bay Packers,9,18,12,66.7%,19,17,89.5%,46,1923,,41.8
24,New York Giants,9,13,12,92.3%,18,16,88.9%,59,2419,,41.0
25,Washington Redskins,9,9,6,66.7%,16,14,87.5%,56,2246,,40.1
26,Chicago Bears,9,17,12,70.6%,20,18,90.0%,49,2038,,41.6
27,Minnesota Vikings,9,19,11,57.9%,24,21,87.5%,50,2095,,41.9
28,Los Angeles Raiders,9,14,11,78.6%,24,23,95.8%,49,1877,,38.3
,Avg Team,,16.3,11.1,68.2%,21.0,19.9,94.9%,44.6,1824.2,0.3,40.9
,League Total,,456,311,68.2%,587,557,94.9%,1250,51078,8,40.9
,Avg Tm/G,,1.8,1.2,68.2%,2.3,2.2,94.9%,5.0,202.7,0.0,40.9
