Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Tampa Bay Buccaneers,16,27,19,70.4%,32,32,100.0%,74,3212,,43.4
2,Detroit Lions,16,25,20,80.0%,41,40,97.6%,71,2925,,41.2
3,New York Jets,16,28,23,82.1%,52,51,98.1%,75,3157,,42.1
4,Baltimore Ravens,16,31,28,90.3%,41,41,100.0%,68,2883,,42.4
5,New Orleans Saints,16,42,33,78.6%,32,32,100.0%,74,3182,,43.0
6,Jacksonville Jaguars,16,34,26,76.5%,35,33,94.3%,71,2982,,42.0
7,Chicago Bears,16,23,16,69.6%,36,35,97.2%,76,3048,,40.1
8,St. Louis Rams,16,27,19,70.4%,47,46,97.9%,69,2801,,40.6
9,Atlanta Falcons,16,44,42,95.5%,43,43,100.0%,64,2694,,42.1
10,Dallas Cowboys,16,32,28,87.5%,20,20,100.0%,75,3457,,46.1
11,Indianapolis Colts,16,28,23,82.1%,34,33,97.1%,81,3524,,43.5
12,Denver Broncos,16,23,20,87.0%,25,25,100.0%,83,3826,,46.1
13,Pittsburgh Steelers,16,26,21,80.8%,26,26,100.0%,86,3767,,43.8
14,Arizona Cardinals,16,37,30,81.1%,43,41,95.3%,69,3022,,43.8
15,Houston Oilers,16,33,25,75.8%,32,32,100.0%,75,3075,,41.0
16,New England Patriots,16,29,23,79.3%,28,28,100.0%,82,3485,,42.5
17,Miami Dolphins,16,17,13,76.5%,39,38,97.4%,75,3285,,43.8
18,Philadelphia Eagles,16,36,31,86.1%,32,30,93.8%,74,3286,,44.4
19,Kansas City Chiefs,16,36,25,69.4%,29,29,100.0%,71,2968,,41.8
20,Oakland Raiders,16,34,25,73.5%,26,26,100.0%,85,3562,,41.9
21,Seattle Seahawks,16,34,31,91.2%,35,35,100.0%,76,3215,,42.3
22,Green Bay Packers,16,27,25,92.6%,17,17,100.0%,90,3879,,43.1
23,Minnesota Vikings,16,30,20,66.7%,33,33,100.0%,84,3595,,42.8
24,San Francisco 49ers,16,29,26,89.7%,21,21,100.0%,88,3696,,42.0
25,Washington Redskins,16,38,27,71.1%,31,31,100.0%,68,2992,,44.0
26,New York Giants,16,26,22,84.6%,31,31,100.0%,92,3800,,41.3
27,Cincinnati Bengals,16,30,25,83.3%,40,40,100.0%,61,2708,,44.4
28,San Diego Chargers,16,33,26,78.8%,40,40,100.0%,71,3145,,44.3
29,Carolina Panthers,16,20,17,85.0%,24,23,95.8%,95,4161,,43.8
30,Buffalo Bills,16,36,23,63.9%,26,25,96.2%,102,4406,,43.2
,Avg Team,,30.5,24.4,80.0%,33.0,32.6,98.6%,77.5,3341.7,0.4,43.1
,League Total,,915,732,80.0%,991,977,98.6%,2325,100251,12,43.1
,Avg Tm/G,,1.9,1.5,80.0%,2.1,2.0,98.6%,4.8,208.9,0.0,43.1
