Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,San Diego Chargers,16,29,22,75.9%,56,54,96.4%,70,2779,,39.7
2,Cincinnati Bengals,16,22,17,77.3%,36,35,97.2%,76,3215,,42.3
3,Cleveland Browns,16,22,16,72.7%,42,40,95.2%,73,2956,,40.5
4,Houston Oilers,16,36,29,80.6%,53,49,92.5%,65,2568,,39.5
5,Atlanta Falcons,16,26,17,65.4%,49,44,89.8%,67,2814,,42.0
6,Philadelphia Eagles,16,37,28,75.7%,34,34,100.0%,80,3024,,37.8
7,New England Patriots,16,31,24,77.4%,30,29,96.7%,78,3276,,42.0
8,New Orleans Saints,16,34,20,58.8%,39,37,94.9%,83,3469,,41.8
9,Detroit Lions,16,26,18,69.2%,33,32,97.0%,79,3168,,40.1
10,New York Jets,16,28,20,71.4%,39,35,89.7%,85,3493,,41.1
11,Denver Broncos,16,33,25,75.8%,36,34,94.4%,77,3403,,44.2
12,San Francisco 49ers,16,27,17,63.0%,35,32,91.4%,74,2990,,40.4
13,Green Bay Packers,16,29,19,65.5%,54,50,92.6%,78,3050,,39.1
14,Tampa Bay Buccaneers,16,34,28,82.4%,42,40,95.2%,79,3215,,40.7
15,Los Angeles Rams,16,28,17,60.7%,42,39,92.9%,83,3461,,41.7
16,Pittsburgh Steelers,16,20,15,75.0%,37,36,97.3%,88,3617,,41.1
17,Baltimore Colts,16,23,14,60.9%,45,42,93.3%,80,3328,,41.6
18,New York Giants,16,32,22,68.8%,40,39,97.5%,99,3881,,39.2
19,Miami Dolphins,16,15,9,60.0%,32,31,96.9%,90,3672,,40.8
20,Buffalo Bills,16,39,26,66.7%,39,39,100.0%,78,3346,,42.9
21,Seattle Seahawks,16,26,20,76.9%,48,43,89.6%,68,2754,,40.5
22,Chicago Bears,16,23,17,73.9%,36,34,94.4%,99,3821,,38.6
23,Minnesota Vikings,16,27,18,66.7%,42,40,95.2%,77,3026,,39.3
24,Los Angeles Raiders,16,25,19,76.0%,40,39,97.5%,100,4060,,40.6
25,St. Louis Cardinals,16,15,12,80.0%,56,54,96.4%,88,3546,,40.3
26,Kansas City Chiefs,16,26,20,76.9%,44,43,97.7%,85,3502,,41.2
27,Dallas Cowboys,16,30,22,73.3%,42,42,100.0%,84,3511,,41.8
28,Washington Redskins,16,28,20,71.4%,39,38,97.4%,66,2746,,41.6
,Avg Team,,27.5,19.7,71.5%,41.2,39.4,95.8%,80.3,3296.5,0.5,41.0
,League Total,,771,551,71.5%,1153,1104,95.8%,2249,92302,15,41.0
,Avg Tm/G,,1.7,1.2,71.5%,2.6,2.5,95.8%,5.0,206.0,0.0,41.0
