Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Miami Dolphins,16,33,25,75.8%,43,42,97.7%,62,2418,,39.0
2,Dallas Cowboys,16,35,28,80.0%,44,43,97.7%,73,2913,,39.9
3,Seattle Seahawks,16,32,22,68.8%,37,35,94.6%,74,2901,,39.2
4,New England Patriots,16,26,19,73.1%,48,46,95.8%,81,3410,,42.1
5,Kansas City Chiefs,16,26,21,80.8%,32,31,96.9%,82,3206,,39.1
6,Los Angeles Raiders,16,21,15,71.4%,36,36,100.0%,72,2902,,40.3
7,Houston Oilers,16,21,17,81.0%,51,49,96.1%,56,2106,,37.6
8,Green Bay Packers,16,30,23,76.7%,41,39,95.1%,65,2646,,40.7
9,Chicago Bears,16,36,26,72.2%,43,41,95.3%,67,2653,,39.6
10,Phoenix Cardinals,16,40,29,72.5%,41,40,97.6%,76,3154,,41.5
11,Cincinnati Bengals,16,27,20,74.1%,32,31,96.9%,75,2932,,39.1
12,New York Jets,16,31,21,67.7%,50,46,92.0%,69,2746,,39.8
13,Indianapolis Colts,16,43,32,74.4%,29,29,100.0%,65,2704,,41.6
14,San Diego Chargers,16,41,29,70.7%,29,27,93.1%,79,3049,,38.6
15,Detroit Lions,16,33,23,69.7%,42,41,97.6%,80,3296,,41.2
16,Pittsburgh Steelers,16,27,19,70.4%,38,37,97.4%,69,2794,,40.5
17,San Francisco 49ers,16,31,23,74.2%,26,26,100.0%,74,2879,,38.9
18,Buffalo Bills,16,37,26,70.3%,34,33,97.1%,75,2872,,38.3
19,Washington Redskins,16,23,14,60.9%,38,38,100.0%,76,3048,,40.1
20,New York Giants,16,21,14,66.7%,30,30,100.0%,74,2967,,40.1
21,New Orleans Saints,16,24,19,79.2%,35,34,97.1%,75,2955,,39.4
22,Atlanta Falcons,16,36,31,86.1%,49,48,98.0%,56,2341,,41.8
23,Tampa Bay Buccaneers,16,24,20,83.3%,51,51,100.0%,69,2781,,40.3
24,Minnesota Vikings,16,21,13,61.9%,33,32,97.0%,95,3857,,40.6
25,Denver Broncos,16,27,17,63.0%,25,25,100.0%,84,3444,,41.0
26,Los Angeles Rams,16,29,26,89.7%,38,36,94.7%,81,3362,,41.5
27,Philadelphia Eagles,16,26,14,53.8%,33,30,90.9%,85,3570,,42.0
28,Cleveland Browns,16,28,15,53.6%,29,29,100.0%,94,3798,,40.4
,Avg Team,,29.6,21.5,72.5%,37.4,36.6,97.9%,74.4,3018.2,0.7,40.6
,League Total,,829,601,72.5%,1047,1025,97.9%,2083,84510,20,40.6
,Avg Tm/G,,1.9,1.3,72.5%,2.3,2.3,97.9%,4.6,188.6,0.0,40.6
