Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Tampa Bay Buccaneers,16,30,21,70.0%,58,56,96.6%,59,2437,,41.3
2,Green Bay Packers,16,25,18,72.0%,52,48,92.3%,70,2772,,39.6
3,Miami Dolphins,16,31,26,83.9%,46,45,97.8%,64,2650,,41.4
4,Indianapolis Colts,16,35,24,68.6%,47,46,97.9%,67,2727,,40.7
5,Buffalo Bills,16,33,22,66.7%,40,38,95.0%,83,3162,,38.1
6,Detroit Lions,16,35,24,68.6%,36,36,100.0%,68,2836,,41.7
7,St. Louis Cardinals,16,32,24,75.0%,40,37,92.5%,83,3511,,42.3
8,Cincinnati Bengals,16,30,22,73.3%,47,44,93.6%,77,3065,,39.8
9,New Orleans Saints,16,27,17,63.0%,34,32,94.1%,78,3315,,42.5
10,Houston Oilers,16,29,19,65.5%,38,38,100.0%,94,3713,,39.5
11,Atlanta Falcons,16,26,15,57.7%,34,31,91.2%,83,3436,,41.4
12,San Diego Chargers,16,31,23,74.2%,46,45,97.8%,81,3305,,40.8
13,Minnesota Vikings,16,33,27,81.8%,27,24,88.9%,75,3022,,40.3
14,Chicago Bears,16,22,16,72.7%,20,19,95.0%,100,4090,,40.9
15,New York Jets,16,27,16,59.3%,48,48,100.0%,75,2978,,39.7
16,Dallas Cowboys,16,30,16,53.3%,41,39,95.1%,87,3619,,41.6
17,Washington Redskins,16,24,17,70.8%,35,35,100.0%,95,3923,,41.3
18,Pittsburgh Steelers,16,39,22,56.4%,38,36,94.7%,82,3198,,39.0
19,Los Angeles Raiders,16,21,16,76.2%,42,40,95.2%,97,4084,,42.1
20,Seattle Seahawks,16,28,19,67.9%,34,32,94.1%,81,3272,,40.4
21,New York Giants,16,25,18,72.0%,26,26,100.0%,89,3498,,39.3
22,Los Angeles Rams,16,31,24,77.4%,27,27,100.0%,96,3974,,41.4
23,Denver Broncos,16,32,24,75.0%,36,35,97.2%,86,3689,,42.9
24,Cleveland Browns,16,29,20,69.0%,36,34,94.4%,80,3032,,37.9
25,San Francisco 49ers,16,25,15,60.0%,29,28,96.6%,91,3767,,41.4
26,Kansas City Chiefs,16,31,20,64.5%,38,36,94.7%,83,3071,,37.0
27,Philadelphia Eagles,16,26,13,50.0%,39,37,94.9%,97,3754,,38.7
28,New England Patriots,16,28,21,75.0%,35,34,97.1%,90,3582,,39.8
,Avg Team,,29.1,20.0,68.6%,37.8,36.6,96.9%,82.5,3378.8,1.0,40.9
,League Total,,815,559,68.6%,1059,1026,96.9%,2311,94607,28,40.9
,Avg Tm/G,,1.8,1.2,68.6%,2.4,2.3,96.9%,5.2,211.2,0.1,40.9
