Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Cincinnati Bengals,16,31,23,74.2%,52,51,98.1%,65,2717,,41.8
2,Seattle Seahawks,16,26,22,84.6%,39,39,100.0%,65,2535,,39.0
3,Washington Redskins,16,34,31,91.2%,36,36,100.0%,86,3397,,39.5
4,Indianapolis Colts,16,26,21,80.8%,34,32,94.1%,74,3086,,41.7
5,New York Jets,16,31,26,83.9%,35,34,97.1%,62,2499,,40.3
6,Tennessee Titans,16,21,14,66.7%,36,36,100.0%,77,3203,,41.6
7,St. Louis Rams,16,30,26,86.7%,39,39,100.0%,70,2870,,41.0
8,Denver Broncos,16,32,25,78.1%,34,33,97.1%,77,3149,,40.9
9,New York Giants,16,31,21,67.7%,24,24,100.0%,84,3360,,40.0
10,Minnesota Vikings,16,28,21,75.0%,46,45,97.8%,65,2541,,39.1
11,New England Patriots,16,34,20,58.8%,41,40,97.6%,68,2679,,39.4
12,Arizona Cardinals,16,29,22,75.9%,49,49,100.0%,65,2730,,42.0
13,Pittsburgh Steelers,16,26,20,76.9%,38,37,97.4%,77,3103,,40.3
14,San Francisco 49ers,16,30,22,73.3%,39,39,100.0%,65,2698,,41.5
15,Buffalo Bills,16,26,19,73.1%,46,44,95.7%,71,2833,,39.9
16,Jacksonville Jaguars,16,34,23,67.6%,32,32,100.0%,65,2516,,38.7
17,New Orleans Saints,16,28,23,82.1%,40,39,97.5%,73,3117,,42.7
18,Oakland Raiders,16,23,17,73.9%,31,31,100.0%,71,2975,,41.9
19,Baltimore Ravens,16,33,29,87.9%,32,31,96.9%,78,3182,,40.8
20,Miami Dolphins,16,30,28,93.3%,27,27,100.0%,80,3432,,42.9
21,Chicago Bears,16,44,37,84.1%,34,34,100.0%,78,3260,,41.8
22,Cleveland Browns,16,37,28,75.7%,32,32,100.0%,76,2941,,38.7
23,Kansas City Chiefs,16,32,26,81.3%,39,39,100.0%,60,2346,,39.1
24,Detroit Lions,16,33,29,87.9%,49,48,98.0%,80,3392,,42.4
25,Atlanta Falcons,16,24,18,75.0%,33,32,97.0%,72,3024,,42.0
26,San Diego Chargers,16,31,21,67.7%,42,42,100.0%,83,3328,,40.1
27,Philadelphia Eagles,16,21,17,81.0%,24,24,100.0%,90,3690,,41.0
28,Dallas Cowboys,16,38,27,71.1%,35,34,97.1%,94,3892,,41.4
29,Green Bay Packers,16,22,16,72.7%,37,36,97.3%,76,3139,,41.3
30,Carolina Panthers,16,29,24,82.8%,33,32,97.0%,103,4254,,41.3
31,Houston Texans,16,34,24,70.6%,38,38,100.0%,98,3891,,39.7
32,Tampa Bay Buccaneers,16,23,17,73.9%,19,19,100.0%,99,4396,,44.4
,Avg Team,,29.7,23.0,77.5%,36.4,35.9,98.5%,76.5,3158.8,0.7,41.3
,League Total,,951,737,77.5%,1165,1148,98.5%,2447,101082,22,41.3
,Avg Tm/G,,1.9,1.4,77.5%,2.3,2.2,98.5%,4.8,197.4,0.0,41.3
