Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New Orleans Saints,24.0,180.0,0.0,7.5,33.0,830.0,0.0,25.2
San Diego Chargers,19.0,158.0,0.0,8.3,73.0,1797.0,0.0,24.6
Atlanta Falcons,33.0,251.0,0.0,7.6,23.0,571.0,0.0,24.8
Tampa Bay Buccaneers,35.0,393.0,0.0,11.2,24.0,452.0,0.0,18.8
Carolina Panthers,36.0,335.0,0.0,9.3,18.0,407.0,0.0,22.6
Arizona Cardinals,36.0,321.0,0.0,8.9,54.0,1298.0,0.0,24.0
Buffalo Bills,45.0,477.0,1.0,10.6,48.0,1122.0,0.0,23.4
Philadelphia Eagles,28.0,223.0,1.0,8.0,52.0,1229.0,2.0,23.6
San Francisco 49ers,38.0,330.0,0.0,8.7,54.0,1104.0,1.0,20.4
Green Bay Packers,20.0,261.0,0.0,13.1,61.0,1583.0,1.0,26.0
New York Jets,43.0,488.0,0.0,11.3,42.0,938.0,0.0,22.3
Jacksonville Jaguars,47.0,330.0,0.0,7.0,25.0,509.0,0.0,20.4
Detroit Lions,32.0,250.0,0.0,7.8,35.0,924.0,0.0,26.4
New England Patriots,29.0,221.0,0.0,7.6,32.0,664.0,0.0,20.8
Tennessee Titans,35.0,210.0,0.0,6.0,45.0,1099.0,0.0,24.4
Pittsburgh Steelers,35.0,313.0,0.0,8.9,55.0,1233.0,0.0,22.4
Miami Dolphins,42.0,407.0,0.0,9.7,36.0,826.0,0.0,22.9
Indianapolis Colts,29.0,396.0,1.0,13.7,43.0,1085.0,0.0,25.2
Dallas Cowboys,37.0,339.0,0.0,9.2,38.0,791.0,0.0,20.8
Cleveland Browns,38.0,357.0,0.0,9.4,27.0,612.0,0.0,22.7
New York Giants,48.0,655.0,3.0,13.6,33.0,721.0,0.0,21.8
Oakland Raiders,42.0,438.0,1.0,10.4,30.0,613.0,1.0,20.4
St. Louis Rams,30.0,79.0,0.0,2.6,25.0,544.0,0.0,21.8
Denver Broncos,28.0,274.0,0.0,9.8,32.0,936.0,1.0,29.3
Seattle Seahawks,21.0,82.0,0.0,3.9,44.0,1056.0,0.0,24.0
Washington Redskins,39.0,655.0,3.0,16.8,47.0,1048.0,1.0,22.3
Cincinnati Bengals,27.0,254.0,1.0,9.4,52.0,1219.0,0.0,23.4
Baltimore Ravens,46.0,419.0,0.0,9.1,38.0,873.0,0.0,23.0
Chicago Bears,15.0,111.0,0.0,7.4,47.0,883.0,1.0,18.8
Minnesota Vikings,36.0,318.0,1.0,8.8,41.0,1113.0,1.0,27.1
Houston Texans,43.0,530.0,1.0,12.3,39.0,1004.0,0.0,25.7
Kansas City Chiefs,38.0,246.0,0.0,6.5,43.0,1048.0,0.0,24.4
Avg Team,34.2,321.9,0.4,9.4,40.3,941.4,0.2,23.4
