Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Indianapolis Colts,27.0,249.0,0.0,9.2,70.0,1700.0,0.0,24.3
Tennessee Titans,32.0,290.0,0.0,9.1,61.0,1524.0,0.0,25.0
New Orleans Saints,34.0,363.0,0.0,10.7,76.0,1827.0,1.0,24.0
Miami Dolphins,37.0,485.0,2.0,13.1,68.0,1655.0,0.0,24.3
Cleveland Browns,32.0,235.0,0.0,7.3,53.0,1228.0,1.0,23.2
San Diego Chargers,23.0,146.0,0.0,6.3,86.0,1943.0,1.0,22.6
New York Jets,29.0,288.0,0.0,9.9,73.0,1568.0,0.0,21.5
Pittsburgh Steelers,40.0,247.0,0.0,6.2,71.0,1357.0,0.0,19.1
Denver Broncos,28.0,330.0,1.0,11.8,63.0,1554.0,1.0,24.7
New York Giants,24.0,140.0,0.0,5.8,85.0,1912.0,0.0,22.5
Baltimore Ravens,38.0,245.0,0.0,6.4,76.0,1720.0,2.0,22.6
Minnesota Vikings,42.0,624.0,4.0,14.9,78.0,1830.0,0.0,23.5
New England Patriots,11.0,158.0,0.0,14.4,75.0,1672.0,2.0,22.3
Cincinnati Bengals,48.0,436.0,1.0,9.1,47.0,1059.0,0.0,22.5
Washington Redskins,33.0,385.0,2.0,11.7,55.0,1103.0,0.0,20.1
Atlanta Falcons,20.0,49.0,0.0,2.5,71.0,1536.0,0.0,21.6
Carolina Panthers,41.0,276.0,1.0,6.7,59.0,1292.0,0.0,21.9
Jacksonville Jaguars,31.0,269.0,0.0,8.7,51.0,1015.0,0.0,19.9
Houston Texans,21.0,235.0,1.0,11.2,73.0,1630.0,0.0,22.3
Detroit Lions,51.0,414.0,2.0,8.1,57.0,1332.0,0.0,23.4
San Francisco 49ers,39.0,364.0,0.0,9.3,65.0,1515.0,0.0,23.3
Buffalo Bills,18.0,187.0,0.0,10.4,63.0,1247.0,0.0,19.8
Kansas City Chiefs,33.0,307.0,0.0,9.3,62.0,1465.0,1.0,23.6
Green Bay Packers,33.0,249.0,0.0,7.5,72.0,1687.0,0.0,23.4
Dallas Cowboys,37.0,390.0,0.0,10.5,71.0,1510.0,1.0,21.3
Tampa Bay Buccaneers,39.0,392.0,0.0,10.1,74.0,1542.0,0.0,20.8
Arizona Cardinals,29.0,381.0,1.0,13.1,69.0,1724.0,1.0,25.0
St. Louis Rams,57.0,590.0,0.0,10.4,56.0,1469.0,0.0,26.2
Philadelphia Eagles,41.0,296.0,0.0,7.2,75.0,1698.0,1.0,22.6
Seattle Seahawks,44.0,444.0,1.0,10.1,47.0,1205.0,0.0,25.6
Chicago Bears,36.0,203.0,0.0,5.6,68.0,1656.0,0.0,24.4
Oakland Raiders,43.0,425.0,0.0,9.9,44.0,1074.0,1.0,24.4
Avg Team,34.1,315.4,0.5,9.3,66.1,1507.8,0.4,22.8
