Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Miami Dolphins,33.0,382.0,1.0,11.6,65.0,1380.0,0.0,21.2
Tampa Bay Buccaneers,22.0,117.0,0.0,5.3,49.0,1236.0,1.0,25.2
Indianapolis Colts,45.0,313.0,0.0,7.0,36.0,630.0,0.0,17.5
Minnesota Vikings,34.0,339.0,1.0,10.0,50.0,925.0,0.0,18.5
Kansas City Chiefs,41.0,328.0,1.0,8.0,64.0,1203.0,0.0,18.8
Houston Oilers,31.0,255.0,0.0,8.2,63.0,989.0,0.0,15.7
Chicago Bears,38.0,351.0,1.0,9.2,50.0,1027.0,0.0,20.5
Pittsburgh Steelers,39.0,308.0,0.0,7.9,52.0,1052.0,0.0,20.2
Detroit Lions,30.0,356.0,0.0,11.9,45.0,948.0,0.0,21.1
Dallas Cowboys,34.0,397.0,0.0,11.7,60.0,1217.0,0.0,20.3
San Francisco 49ers,23.0,177.0,0.0,7.7,66.0,1273.0,0.0,19.3
Cincinnati Bengals,32.0,284.0,1.0,8.9,46.0,1079.0,2.0,23.5
New York Giants,46.0,548.0,2.0,11.9,64.0,1207.0,0.0,18.9
Los Angeles Raiders,40.0,385.0,0.0,9.6,35.0,690.0,0.0,19.7
Phoenix Cardinals,22.0,141.0,0.0,6.4,42.0,767.0,0.0,18.3
New York Jets,26.0,189.0,0.0,7.3,33.0,552.0,0.0,16.7
Buffalo Bills,22.0,185.0,0.0,8.4,60.0,1215.0,1.0,20.3
Denver Broncos,38.0,383.0,0.0,10.1,13.0,254.0,0.0,19.5
Washington Redskins,27.0,332.0,1.0,12.3,54.0,1074.0,1.0,19.9
New Orleans Saints,31.0,218.0,0.0,7.0,40.0,923.0,0.0,23.1
Cleveland Browns,26.0,221.0,0.0,8.5,51.0,907.0,0.0,17.8
Seattle Seahawks,57.0,415.0,1.0,7.3,36.0,685.0,0.0,19.0
San Diego Chargers,24.0,244.0,1.0,10.2,54.0,962.0,0.0,17.8
Green Bay Packers,26.0,230.0,1.0,8.8,57.0,901.0,0.0,15.8
Atlanta Falcons,44.0,427.0,3.0,9.7,55.0,1059.0,0.0,19.3
Philadelphia Eagles,36.0,295.0,0.0,8.2,53.0,1027.0,1.0,19.4
New England Patriots,59.0,499.0,1.0,8.5,45.0,749.0,0.0,16.6
Los Angeles Rams,48.0,522.0,1.0,10.9,55.0,1128.0,0.0,20.5
Avg Team,34.8,318.2,0.6,9.1,49.8,966.4,0.2,19.4
