Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New Orleans Saints,24.0,99.0,0.0,4.1,39.0,1029.0,0.0,26.4
Arizona Cardinals,32.0,284.0,0.0,8.9,37.0,967.0,0.0,26.1
San Diego Chargers,35.0,366.0,0.0,10.5,67.0,1488.0,0.0,22.2
Houston Texans,32.0,396.0,0.0,12.4,45.0,1169.0,0.0,26.0
Detroit Lions,30.0,311.0,1.0,10.4,20.0,544.0,0.0,27.2
Green Bay Packers,22.0,191.0,1.0,8.7,58.0,1421.0,1.0,24.5
Tampa Bay Buccaneers,32.0,185.0,1.0,5.8,37.0,868.0,0.0,23.5
Dallas Cowboys,25.0,240.0,0.0,9.6,43.0,921.0,0.0,21.4
Cleveland Browns,42.0,295.0,0.0,7.0,31.0,695.0,0.0,22.4
Washington Redskins,42.0,397.0,1.0,9.5,43.0,1111.0,1.0,25.8
Miami Dolphins,36.0,349.0,0.0,9.7,46.0,1237.0,1.0,26.9
Pittsburgh Steelers,27.0,220.0,0.0,8.1,54.0,1249.0,1.0,23.1
Carolina Panthers,28.0,435.0,1.0,15.5,18.0,584.0,0.0,32.4
Atlanta Falcons,26.0,250.0,0.0,9.6,36.0,820.0,0.0,22.8
Baltimore Ravens,23.0,166.0,0.0,7.2,26.0,601.0,0.0,23.1
Buffalo Bills,38.0,246.0,0.0,6.5,32.0,639.0,0.0,20.0
New England Patriots,29.0,267.0,0.0,9.2,45.0,955.0,0.0,21.2
Denver Broncos,33.0,371.0,1.0,11.2,35.0,905.0,0.0,25.9
New York Giants,37.0,391.0,1.0,10.6,32.0,587.0,0.0,18.3
Philadelphia Eagles,29.0,238.0,1.0,8.2,52.0,1183.0,0.0,22.8
Seattle Seahawks,17.0,195.0,1.0,11.5,43.0,1035.0,0.0,24.1
Chicago Bears,33.0,335.0,1.0,10.2,35.0,614.0,0.0,17.5
Tennessee Titans,43.0,350.0,0.0,8.1,31.0,855.0,1.0,27.6
San Francisco 49ers,36.0,336.0,1.0,9.3,40.0,907.0,0.0,22.7
Jacksonville Jaguars,52.0,464.0,0.0,8.9,22.0,516.0,0.0,23.5
Minnesota Vikings,39.0,255.0,0.0,6.5,28.0,579.0,0.0,20.7
St. Louis Rams,28.0,192.0,0.0,6.9,35.0,849.0,1.0,24.3
Indianapolis Colts,35.0,205.0,0.0,5.9,26.0,587.0,0.0,22.6
Oakland Raiders,47.0,513.0,1.0,10.9,21.0,683.0,0.0,32.5
Cincinnati Bengals,30.0,226.0,1.0,7.5,44.0,1123.0,0.0,25.5
New York Jets,25.0,250.0,0.0,10.0,51.0,1110.0,0.0,21.8
Kansas City Chiefs,29.0,190.0,0.0,6.6,54.0,1293.0,0.0,23.9
Avg Team,32.4,287.8,0.4,8.9,38.3,910.1,0.2,23.8
