Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New York Giants,44.0,247.0,0.0,5.6,29.0,646.0,0.0,22.3
Los Angeles Rams,43.0,533.0,2.0,12.4,47.0,984.0,0.0,20.9
Houston Oilers,28.0,249.0,0.0,8.9,60.0,1062.0,0.0,17.7
Dallas Cowboys,32.0,169.0,0.0,5.3,66.0,1225.0,1.0,18.6
San Francisco 49ers,15.0,171.0,0.0,11.4,61.0,1196.0,0.0,19.6
New York Jets,26.0,156.0,0.0,6.0,47.0,911.0,0.0,19.4
Miami Dolphins,32.0,356.0,1.0,11.1,62.0,1239.0,0.0,20.0
Buffalo Bills,29.0,247.0,0.0,8.5,43.0,850.0,0.0,19.8
Chicago Bears,22.0,115.0,0.0,5.2,53.0,918.0,0.0,17.3
Denver Broncos,33.0,337.0,0.0,10.2,63.0,1119.0,0.0,17.8
San Diego Chargers,36.0,292.0,0.0,8.1,64.0,1063.0,0.0,16.6
Kansas City Chiefs,43.0,352.0,0.0,8.2,49.0,1007.0,0.0,20.6
Seattle Seahawks,47.0,475.0,1.0,10.1,52.0,967.0,1.0,18.6
Indianapolis Colts,41.0,352.0,1.0,8.6,37.0,551.0,0.0,14.9
Philadelphia Eagles,35.0,311.0,1.0,8.9,53.0,1133.0,0.0,21.4
Atlanta Falcons,41.0,350.0,0.0,8.5,55.0,1064.0,0.0,19.3
Los Angeles Raiders,35.0,301.0,0.0,8.6,45.0,783.0,0.0,17.4
Phoenix Cardinals,30.0,234.0,0.0,7.8,51.0,994.0,0.0,19.5
Detroit Lions,45.0,377.0,0.0,8.4,30.0,609.0,0.0,20.3
Washington Redskins,34.0,343.0,2.0,10.1,36.0,722.0,0.0,20.1
Minnesota Vikings,46.0,560.0,1.0,12.2,58.0,1420.0,1.0,24.5
Tampa Bay Buccaneers,53.0,394.0,0.0,7.4,28.0,499.0,0.0,17.8
New England Patriots,34.0,313.0,1.0,9.2,44.0,921.0,0.0,20.9
Pittsburgh Steelers,50.0,669.0,3.0,13.4,54.0,1165.0,1.0,21.6
Cleveland Browns,49.0,438.0,0.0,8.9,46.0,814.0,0.0,17.7
New Orleans Saints,36.0,341.0,1.0,9.5,40.0,788.0,0.0,19.7
Green Bay Packers,38.0,350.0,0.0,9.2,70.0,1407.0,0.0,20.1
Cincinnati Bengals,47.0,416.0,0.0,8.9,38.0,831.0,0.0,21.9
Avg Team,37.3,339.3,0.5,9.1,49.3,960.3,0.1,19.5
