Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Miami Dolphins,48.0,368.0,0.0,7.7,48.0,1058.0,0.0,22.0
Chicago Bears,42.0,527.0,2.0,12.5,52.0,1115.0,1.0,21.4
Washington Redskins,35.0,235.0,0.0,6.7,76.0,1610.0,0.0,21.2
Minnesota Vikings,37.0,577.0,0.0,15.6,53.0,1314.0,0.0,24.8
Pittsburgh Steelers,32.0,284.0,0.0,8.9,69.0,1509.0,1.0,21.9
Houston Oilers,31.0,251.0,0.0,8.1,78.0,1675.0,0.0,21.5
Tampa Bay Buccaneers,38.0,248.0,0.0,6.5,51.0,972.0,0.0,19.1
St. Louis Rams,41.0,495.0,0.0,12.1,58.0,1290.0,2.0,22.2
Dallas Cowboys,32.0,249.0,0.0,7.8,70.0,1431.0,0.0,20.4
San Francisco 49ers,36.0,235.0,0.0,6.5,77.0,1414.0,0.0,18.4
Kansas City Chiefs,42.0,492.0,1.0,11.7,64.0,1300.0,0.0,20.3
Denver Broncos,23.0,261.0,1.0,11.3,76.0,1602.0,1.0,21.1
Jacksonville Jaguars,44.0,400.0,0.0,9.1,71.0,1674.0,0.0,23.6
Buffalo Bills,40.0,246.0,1.0,6.2,65.0,1255.0,0.0,19.3
San Diego Chargers,51.0,612.0,1.0,12.0,59.0,1497.0,0.0,25.4
Indianapolis Colts,38.0,413.0,0.0,10.9,67.0,1666.0,0.0,24.9
Oakland Raiders,38.0,272.0,0.0,7.2,55.0,1129.0,0.0,20.5
Detroit Lions,42.0,519.0,1.0,12.4,52.0,1298.0,0.0,25.0
Cincinnati Bengals,38.0,502.0,0.0,13.2,69.0,1642.0,1.0,23.8
Philadelphia Eagles,36.0,330.0,1.0,9.2,73.0,1715.0,0.0,23.5
Carolina Panthers,32.0,175.0,0.0,5.5,71.0,1429.0,0.0,20.1
Seattle Seahawks,52.0,593.0,0.0,11.4,72.0,1642.0,0.0,22.8
Green Bay Packers,29.0,237.0,0.0,8.2,76.0,1649.0,0.0,21.7
New York Jets,40.0,429.0,0.0,10.7,58.0,1485.0,1.0,25.6
New York Giants,45.0,432.0,2.0,9.6,42.0,948.0,0.0,22.6
New Orleans Saints,43.0,546.0,1.0,12.7,52.0,1155.0,0.0,22.2
Arizona Cardinals,37.0,403.0,1.0,10.9,61.0,1290.0,1.0,21.1
New England Patriots,34.0,334.0,0.0,9.8,81.0,1683.0,0.0,20.8
Atlanta Falcons,32.0,413.0,1.0,12.9,53.0,1314.0,1.0,24.8
Baltimore Ravens,27.0,273.0,0.0,10.1,70.0,1402.0,0.0,20.0
Avg Team,37.8,379.9,0.4,10.0,64.0,1405.4,0.3,22.0
