Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Dallas Cowboys,22.0,216.0,0.0,9.8,85.0,1661.0,0.0,19.5
Miami Dolphins,35.0,265.0,0.0,7.6,85.0,1782.0,0.0,21.0
San Francisco 49ers,26.0,287.0,0.0,11.0,82.0,1857.0,0.0,22.6
Detroit Lions,29.0,442.0,1.0,15.2,80.0,1828.0,0.0,22.9
Denver Broncos,25.0,137.0,0.0,5.5,77.0,1671.0,2.0,21.7
Indianapolis Colts,37.0,374.0,0.0,10.1,68.0,1546.0,1.0,22.7
Washington Redskins,26.0,173.0,0.0,6.7,70.0,1434.0,1.0,20.5
Chicago Bears,28.0,257.0,1.0,9.2,72.0,1570.0,0.0,21.8
Arizona Cardinals,32.0,242.0,0.0,7.6,65.0,1593.0,2.0,24.5
Houston Oilers,35.0,288.0,1.0,8.2,78.0,1467.0,0.0,18.8
Cleveland Browns,34.0,296.0,0.0,8.7,63.0,1172.0,0.0,18.6
Philadelphia Eagles,38.0,484.0,2.0,12.7,61.0,1576.0,0.0,25.8
Cincinnati Bengals,27.0,154.0,0.0,5.7,65.0,1475.0,0.0,22.7
New York Giants,34.0,297.0,1.0,8.7,54.0,1129.0,0.0,20.9
Oakland Raiders,38.0,294.0,0.0,7.7,68.0,1469.0,0.0,21.6
San Diego Chargers,35.0,429.0,1.0,12.3,63.0,1496.0,0.0,23.7
New Orleans Saints,36.0,240.0,0.0,6.7,68.0,1348.0,0.0,19.8
Jacksonville Jaguars,46.0,323.0,0.0,7.0,54.0,1278.0,1.0,23.7
Carolina Panthers,39.0,342.0,0.0,8.8,62.0,1159.0,0.0,18.7
Tampa Bay Buccaneers,40.0,335.0,0.0,8.4,46.0,856.0,0.0,18.6
Minnesota Vikings,41.0,446.0,1.0,10.9,74.0,1581.0,0.0,21.4
Atlanta Falcons,28.0,184.0,0.0,6.6,59.0,1323.0,0.0,22.4
Seattle Seahawks,48.0,545.0,0.0,11.4,70.0,1669.0,2.0,23.8
Kansas City Chiefs,42.0,433.0,0.0,10.3,71.0,1448.0,0.0,20.4
New York Jets,62.0,737.0,0.0,11.9,42.0,987.0,0.0,23.5
Pittsburgh Steelers,22.0,186.0,0.0,8.5,88.0,1544.0,0.0,17.5
Buffalo Bills,23.0,224.0,1.0,9.7,73.0,1615.0,0.0,22.1
New England Patriots,40.0,342.0,0.0,8.6,67.0,1405.0,0.0,21.0
Green Bay Packers,36.0,279.0,0.0,7.8,74.0,1581.0,0.0,21.4
St. Louis Rams,38.0,392.0,1.0,10.3,59.0,1247.0,0.0,21.1
Avg Team,34.7,327.3,0.3,9.4,68.1,1458.9,0.3,21.4
