Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Kansas City Chiefs,39.0,255.0,0.0,6.5,80.0,1672.0,0.0,20.9
Tennessee Oilers,36.0,430.0,0.0,11.9,71.0,1528.0,0.0,21.5
San Francisco 49ers,41.0,270.0,0.0,6.6,82.0,1746.0,0.0,21.3
Jacksonville Jaguars,29.0,241.0,0.0,8.3,77.0,1730.0,0.0,22.5
Miami Dolphins,43.0,323.0,0.0,7.5,53.0,1018.0,0.0,19.2
Denver Broncos,26.0,235.0,1.0,9.0,89.0,1827.0,0.0,20.5
Washington Redskins,33.0,237.0,0.0,7.2,67.0,1515.0,0.0,22.6
New York Giants,40.0,382.0,0.0,9.6,49.0,1163.0,1.0,23.7
New England Patriots,38.0,437.0,0.0,11.5,75.0,1651.0,1.0,22.0
Indianapolis Colts,43.0,491.0,0.0,11.4,64.0,1544.0,1.0,24.1
Pittsburgh Steelers,23.0,271.0,0.0,11.8,74.0,1556.0,1.0,21.0
Minnesota Vikings,49.0,566.0,1.0,11.6,67.0,1398.0,0.0,20.9
Philadelphia Eagles,48.0,515.0,1.0,10.7,66.0,1548.0,0.0,23.5
Cincinnati Bengals,35.0,407.0,2.0,11.6,67.0,1406.0,0.0,21.0
Tampa Bay Buccaneers,42.0,388.0,0.0,9.2,44.0,957.0,1.0,21.8
Atlanta Falcons,21.0,55.0,0.0,2.6,52.0,1167.0,0.0,22.4
Green Bay Packers,32.0,255.0,0.0,8.0,78.0,1599.0,0.0,20.5
Carolina Panthers,38.0,428.0,2.0,11.3,55.0,1276.0,1.0,23.2
New Orleans Saints,50.0,706.0,1.0,14.1,51.0,1139.0,0.0,22.3
Detroit Lions,51.0,434.0,1.0,8.5,61.0,1269.0,0.0,20.8
St. Louis Rams,60.0,618.0,1.0,10.3,54.0,1262.0,1.0,23.4
Oakland Raiders,52.0,431.0,0.0,8.3,48.0,1124.0,0.0,23.4
Dallas Cowboys,40.0,365.0,0.0,9.1,65.0,1172.0,0.0,18.0
Arizona Cardinals,40.0,441.0,1.0,11.0,42.0,945.0,1.0,22.5
New York Jets,47.0,459.0,0.0,9.8,54.0,1134.0,0.0,21.0
Seattle Seahawks,38.0,463.0,2.0,12.2,77.0,1779.0,1.0,23.1
Baltimore Ravens,53.0,460.0,0.0,8.7,58.0,1323.0,1.0,22.8
Buffalo Bills,44.0,366.0,0.0,8.3,55.0,1385.0,3.0,25.2
San Diego Chargers,39.0,416.0,0.0,10.7,63.0,1517.0,1.0,24.1
Chicago Bears,52.0,727.0,2.0,14.0,52.0,1237.0,0.0,23.8
Avg Team,40.7,403.5,0.5,9.9,63.0,1386.2,0.5,22.0
