Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Tennessee Titans,28.0,311.0,2.0,11.1,74.0,1482.0,0.0,20.0
Tampa Bay Buccaneers,42.0,433.0,0.0,10.3,72.0,1567.0,0.0,21.8
Oakland Raiders,21.0,297.0,0.0,14.1,74.0,1826.0,1.0,24.7
Jacksonville Jaguars,39.0,286.0,0.0,7.3,59.0,1151.0,0.0,19.5
New York Giants,30.0,230.0,0.0,7.7,74.0,1661.0,0.0,22.4
Miami Dolphins,39.0,273.0,0.0,7.0,69.0,1540.0,0.0,22.3
Atlanta Falcons,23.0,109.0,0.0,4.7,73.0,1607.0,0.0,22.0
Kansas City Chiefs,27.0,274.0,0.0,10.1,88.0,1880.0,0.0,21.4
San Francisco 49ers,37.0,340.0,2.0,9.2,73.0,1665.0,1.0,22.8
Denver Broncos,23.0,223.0,0.0,9.7,81.0,1781.0,0.0,22.0
Philadelphia Eagles,30.0,420.0,2.0,14.0,76.0,1637.0,1.0,21.5
Cleveland Browns,42.0,408.0,1.0,9.7,67.0,1366.0,0.0,20.4
Seattle Seahawks,17.0,202.0,1.0,11.9,73.0,1591.0,2.0,21.8
Indianapolis Colts,27.0,156.0,0.0,5.8,74.0,1515.0,0.0,20.5
Buffalo Bills,29.0,294.0,0.0,10.1,76.0,1634.0,2.0,21.5
New York Jets,33.0,203.0,0.0,6.2,74.0,1574.0,1.0,21.3
Baltimore Ravens,40.0,471.0,2.0,11.8,67.0,1512.0,1.0,22.6
Dallas Cowboys,58.0,602.0,0.0,10.4,48.0,1095.0,0.0,22.8
St. Louis Rams,34.0,463.0,1.0,13.6,57.0,1354.0,2.0,23.8
New England Patriots,24.0,181.0,0.0,7.5,73.0,1493.0,0.0,20.5
Green Bay Packers,41.0,286.0,0.0,7.0,83.0,1800.0,0.0,21.7
San Diego Chargers,36.0,369.0,1.0,10.3,53.0,1059.0,0.0,20.0
Cincinnati Bengals,41.0,611.0,3.0,14.9,57.0,1191.0,1.0,20.9
Pittsburgh Steelers,32.0,352.0,1.0,11.0,78.0,1671.0,1.0,21.4
Minnesota Vikings,21.0,131.0,0.0,6.2,76.0,1749.0,2.0,23.0
Arizona Cardinals,42.0,547.0,3.0,13.0,58.0,1407.0,0.0,24.3
Carolina Panthers,63.0,554.0,0.0,8.8,50.0,926.0,0.0,18.5
Chicago Bears,46.0,386.0,0.0,8.4,61.0,1361.0,0.0,22.3
Washington Redskins,37.0,507.0,1.0,13.7,62.0,1392.0,1.0,22.5
New Orleans Saints,38.0,209.0,0.0,5.5,85.0,1817.0,0.0,21.4
Detroit Lions,53.0,239.0,0.0,4.5,68.0,1560.0,0.0,22.9
Houston Texans,58.0,328.0,0.0,5.7,52.0,1156.0,1.0,22.2
Avg Team,36.0,342.8,0.7,9.5,68.9,1500.6,0.5,21.8
