Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New York Jets,34.0,221.0,0.0,6.5,72.0,1557.0,1.0,21.6
Carolina Panthers,38.0,303.0,0.0,8.0,69.0,1477.0,0.0,21.4
Indianapolis Colts,29.0,395.0,1.0,13.6,92.0,1960.0,0.0,21.3
San Diego Chargers,23.0,164.0,0.0,7.1,83.0,1846.0,2.0,22.2
Tampa Bay Buccaneers,31.0,279.0,0.0,9.0,58.0,1315.0,1.0,22.7
New England Patriots,31.0,365.0,1.0,11.8,86.0,2003.0,1.0,23.3
Denver Broncos,32.0,297.0,0.0,9.3,68.0,1635.0,1.0,24.0
Philadelphia Eagles,34.0,221.0,0.0,6.5,73.0,1693.0,0.0,23.2
Washington Redskins,65.0,718.0,1.0,11.0,57.0,1223.0,1.0,21.5
Atlanta Falcons,33.0,134.0,0.0,4.1,56.0,1117.0,1.0,19.9
Jacksonville Jaguars,38.0,429.0,2.0,11.3,50.0,995.0,0.0,19.9
Kansas City Chiefs,24.0,301.0,2.0,12.5,85.0,1908.0,0.0,22.4
Green Bay Packers,34.0,301.0,0.0,8.9,79.0,1594.0,0.0,20.2
Cincinnati Bengals,51.0,378.0,0.0,7.4,80.0,1573.0,0.0,19.7
Minnesota Vikings,26.0,169.0,0.0,6.5,75.0,1869.0,1.0,24.9
Seattle Seahawks,33.0,244.0,0.0,7.4,77.0,1677.0,0.0,21.8
New York Giants,38.0,356.0,0.0,9.4,66.0,1278.0,0.0,19.4
Pittsburgh Steelers,34.0,252.0,0.0,7.4,74.0,1595.0,1.0,21.6
Detroit Lions,46.0,367.0,0.0,8.0,54.0,1058.0,0.0,19.6
Oakland Raiders,35.0,395.0,0.0,11.3,62.0,1458.0,0.0,23.5
Buffalo Bills,37.0,315.0,0.0,8.5,77.0,1406.0,0.0,18.3
Houston Texans,30.0,265.0,0.0,8.8,60.0,1386.0,1.0,23.1
Cleveland Browns,48.0,313.0,0.0,6.5,59.0,1336.0,1.0,22.6
Arizona Cardinals,56.0,475.0,1.0,8.5,46.0,1017.0,1.0,22.1
St. Louis Rams,35.0,416.0,1.0,11.9,66.0,1680.0,1.0,25.5
San Francisco 49ers,51.0,445.0,0.0,8.7,56.0,1119.0,0.0,20.0
Tennessee Titans,31.0,195.0,1.0,6.3,69.0,1389.0,0.0,20.1
Chicago Bears,57.0,380.0,0.0,6.7,54.0,1160.0,0.0,21.5
Baltimore Ravens,36.0,281.0,0.0,7.8,65.0,1509.0,2.0,23.2
Miami Dolphins,45.0,258.0,0.0,5.7,51.0,1114.0,1.0,21.8
Dallas Cowboys,39.0,410.0,0.0,10.5,62.0,1083.0,0.0,17.5
New Orleans Saints,43.0,310.0,1.0,7.2,74.0,1710.0,0.0,23.1
Avg Team,38.0,326.9,0.3,8.6,67.3,1460.6,0.5,21.7
