Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Cincinnati Bengals,42.0,416.0,0.0,9.9,80.0,1612.0,1.0,20.2
Tampa Bay Buccaneers,52.0,668.0,1.0,12.8,64.0,1332.0,0.0,20.8
Buffalo Bills,34.0,220.0,0.0,6.5,61.0,1268.0,1.0,20.8
San Francisco 49ers,57.0,664.0,1.0,11.6,67.0,1389.0,0.0,20.7
New England Patriots,35.0,305.0,1.0,8.7,68.0,1326.0,0.0,19.5
Baltimore Colts,44.0,402.0,0.0,9.1,43.0,864.0,0.0,20.1
Green Bay Packers,50.0,511.0,0.0,10.2,70.0,1183.0,0.0,16.9
Dallas Cowboys,38.0,231.0,0.0,6.1,71.0,1508.0,0.0,21.2
Denver Broncos,46.0,388.0,0.0,8.4,47.0,1007.0,0.0,21.4
Miami Dolphins,45.0,286.0,0.0,6.4,60.0,1218.0,0.0,20.3
San Diego Chargers,31.0,168.0,0.0,5.4,88.0,1528.0,0.0,17.4
Philadelphia Eagles,34.0,246.0,0.0,7.2,60.0,1334.0,0.0,22.2
Seattle Seahawks,33.0,153.0,0.0,4.6,67.0,1177.0,0.0,17.6
Kansas City Chiefs,46.0,293.0,0.0,6.4,68.0,1296.0,0.0,19.1
Pittsburgh Steelers,34.0,358.0,2.0,10.5,52.0,1253.0,0.0,24.1
Minnesota Vikings,46.0,399.0,1.0,8.7,62.0,1260.0,0.0,20.3
New York Jets,31.0,149.0,0.0,4.8,63.0,1415.0,0.0,22.5
Chicago Bears,66.0,594.0,1.0,9.0,44.0,937.0,0.0,21.3
New Orleans Saints,36.0,282.0,0.0,7.8,50.0,966.0,0.0,19.3
Atlanta Falcons,59.0,577.0,2.0,9.8,67.0,1286.0,0.0,19.2
Houston Oilers,47.0,360.0,0.0,7.7,59.0,1201.0,0.0,20.4
Detroit Lions,39.0,299.0,0.0,7.7,70.0,1257.0,0.0,18.0
Washington Redskins,50.0,388.0,1.0,7.8,69.0,1275.0,0.0,18.5
Los Angeles Rams,52.0,481.0,0.0,9.3,60.0,1443.0,2.0,24.1
St. Louis Cardinals,37.0,276.0,0.0,7.5,55.0,1163.0,0.0,21.1
New York Giants,61.0,561.0,1.0,9.2,50.0,959.0,0.0,19.2
Cleveland Browns,30.0,253.0,0.0,8.4,45.0,1156.0,0.0,25.7
Oakland Raiders,45.0,514.0,0.0,11.4,49.0,1068.0,1.0,21.8
Avg Team,43.6,372.9,0.4,8.6,61.0,1238.6,0.2,20.3
