Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Minnesota Vikings,27.0,325.0,1.0,12.0,73.0,2008.0,4.0,27.5
Atlanta Falcons,20.0,112.0,0.0,5.6,69.0,1613.0,1.0,23.4
Pittsburgh Steelers,30.0,310.0,0.0,10.3,64.0,1212.0,0.0,18.9
Dallas Cowboys,34.0,210.0,0.0,6.2,69.0,1274.0,0.0,18.5
Chicago Bears,38.0,349.0,1.0,9.2,55.0,1097.0,0.0,19.9
Buffalo Bills,32.0,374.0,1.0,11.7,77.0,1638.0,0.0,21.3
Philadelphia Eagles,61.0,511.0,1.0,8.4,40.0,764.0,0.0,19.1
Tennessee Oilers,34.0,332.0,0.0,9.8,55.0,1114.0,0.0,20.3
New Orleans Saints,53.0,649.0,0.0,12.2,52.0,1128.0,0.0,21.7
New England Patriots,43.0,493.0,0.0,11.5,71.0,1335.0,0.0,18.8
Denver Broncos,43.0,381.0,0.0,8.9,89.0,2006.0,0.0,22.5
Miami Dolphins,43.0,339.0,0.0,7.9,56.0,1227.0,1.0,21.9
New York Jets,30.0,309.0,1.0,10.3,60.0,1370.0,0.0,22.8
Tampa Bay Buccaneers,38.0,302.0,1.0,7.9,62.0,1333.0,1.0,21.5
Kansas City Chiefs,41.0,513.0,1.0,12.5,69.0,1374.0,0.0,19.9
Cincinnati Bengals,36.0,503.0,1.0,14.0,46.0,1199.0,0.0,26.1
New York Giants,53.0,587.0,1.0,11.1,51.0,1234.0,0.0,24.2
Detroit Lions,47.0,471.0,1.0,10.0,49.0,1196.0,1.0,24.4
Seattle Seahawks,33.0,369.0,1.0,11.2,68.0,1311.0,0.0,19.3
Indianapolis Colts,42.0,451.0,0.0,10.7,65.0,1688.0,1.0,26.0
Arizona Cardinals,38.0,313.0,0.0,8.2,56.0,1200.0,0.0,21.4
San Francisco 49ers,36.0,341.0,0.0,9.5,67.0,1296.0,0.0,19.3
Jacksonville Jaguars,40.0,332.0,0.0,8.3,76.0,1858.0,1.0,24.4
Green Bay Packers,27.0,237.0,1.0,8.8,74.0,1807.0,2.0,24.4
St. Louis Rams,58.0,652.0,1.0,11.2,47.0,1020.0,0.0,21.7
Oakland Raiders,53.0,787.0,1.0,14.8,60.0,1388.0,0.0,23.1
Baltimore Ravens,40.0,284.0,1.0,7.1,57.0,1168.0,2.0,20.5
Washington Redskins,32.0,261.0,0.0,8.2,61.0,1569.0,2.0,25.7
San Diego Chargers,49.0,515.0,1.0,10.5,54.0,1484.0,1.0,27.5
Carolina Panthers,20.0,94.0,0.0,4.7,65.0,1439.0,1.0,22.1
Avg Team,39.0,390.2,0.5,10.0,61.9,1378.3,0.6,22.3
