Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Carolina Panthers,25.0,187.0,0.0,7.5,64.0,1120.0,0.0,17.5
Philadelphia Eagles,47.0,375.0,1.0,8.0,72.0,1519.0,0.0,21.1
Miami Dolphins,36.0,258.0,0.0,7.2,68.0,1260.0,0.0,18.5
Baltimore Ravens,40.0,373.0,0.0,9.3,73.0,1558.0,0.0,21.3
New York Giants,28.0,353.0,0.0,12.6,67.0,1509.0,0.0,22.5
Oakland Raiders,30.0,268.0,0.0,8.9,80.0,1689.0,0.0,21.1
Minnesota Vikings,32.0,310.0,0.0,9.7,69.0,1519.0,1.0,22.0
San Francisco 49ers,32.0,332.0,0.0,10.4,63.0,1358.0,0.0,21.6
Tampa Bay Buccaneers,41.0,408.0,1.0,10.0,74.0,1688.0,0.0,22.8
Indianapolis Colts,28.0,357.0,0.0,12.8,73.0,1736.0,1.0,23.8
Washington Redskins,33.0,342.0,2.0,10.4,60.0,1529.0,1.0,25.5
Green Bay Packers,27.0,205.0,1.0,7.6,76.0,1639.0,0.0,21.6
Pittsburgh Steelers,44.0,371.0,0.0,8.4,69.0,1496.0,0.0,21.7
Tennessee Titans,28.0,160.0,0.0,5.7,76.0,1587.0,0.0,20.9
Detroit Lions,53.0,498.0,0.0,9.4,59.0,1327.0,0.0,22.5
Denver Broncos,23.0,270.0,1.0,11.7,90.0,1934.0,1.0,21.5
New Orleans Saints,37.0,494.0,2.0,13.4,71.0,1743.0,2.0,24.5
Dallas Cowboys,29.0,228.0,0.0,7.9,56.0,1205.0,0.0,21.5
Chicago Bears,36.0,251.0,0.0,7.0,51.0,1105.0,0.0,21.7
Kansas City Chiefs,43.0,519.0,0.0,12.1,70.0,1679.0,0.0,24.0
Buffalo Bills,51.0,544.0,1.0,10.7,70.0,1524.0,2.0,21.8
Jacksonville Jaguars,38.0,478.0,1.0,12.6,73.0,1523.0,1.0,20.9
New England Patriots,43.0,384.0,0.0,8.9,62.0,1350.0,1.0,21.8
Seattle Seahawks,32.0,151.0,0.0,4.7,64.0,1236.0,0.0,19.3
New York Jets,42.0,660.0,2.0,15.7,62.0,1424.0,0.0,23.0
Cleveland Browns,69.0,793.0,0.0,11.5,42.0,1012.0,0.0,24.1
St. Louis Rams,17.0,132.0,0.0,7.8,87.0,2032.0,1.0,23.4
Arizona Cardinals,37.0,347.0,2.0,9.4,46.0,827.0,0.0,18.0
Cincinnati Bengals,40.0,387.0,0.0,9.7,42.0,898.0,0.0,21.4
Atlanta Falcons,29.0,126.0,0.0,4.3,50.0,1230.0,3.0,24.6
San Diego Chargers,51.0,706.0,1.0,13.8,61.0,1471.0,1.0,24.1
Avg Team,36.8,367.6,0.5,10.0,65.8,1442.8,0.5,21.9
