Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Buffalo Bills,36.0,222.0,0.0,6.2,69.0,1117.0,0.0,16.2
Indianapolis Colts,37.0,418.0,1.0,11.3,67.0,1480.0,1.0,22.1
Chicago Bears,40.0,447.0,0.0,11.2,56.0,1130.0,0.0,20.2
Kansas City Chiefs,48.0,473.0,0.0,9.9,57.0,1380.0,2.0,24.2
Cincinnati Bengals,32.0,280.0,0.0,8.8,61.0,1335.0,0.0,21.9
Philadelphia Eagles,47.0,393.0,0.0,8.4,63.0,1266.0,0.0,20.1
Miami Dolphins,35.0,318.0,0.0,9.1,53.0,1109.0,0.0,20.9
New England Patriots,37.0,217.0,0.0,5.9,45.0,888.0,0.0,19.7
San Diego Chargers,56.0,558.0,0.0,10.0,47.0,1055.0,1.0,22.4
Cleveland Browns,32.0,304.0,1.0,9.5,58.0,973.0,0.0,16.8
Houston Oilers,35.0,206.0,0.0,5.9,69.0,1362.0,1.0,19.7
Green Bay Packers,39.0,314.0,0.0,8.1,49.0,966.0,0.0,19.7
Seattle Seahawks,36.0,202.0,0.0,5.6,66.0,1207.0,0.0,18.3
Tampa Bay Buccaneers,38.0,273.0,0.0,7.2,52.0,1129.0,0.0,21.7
Detroit Lions,57.0,483.0,1.0,8.5,56.0,1076.0,0.0,19.2
Atlanta Falcons,51.0,297.0,0.0,5.8,48.0,982.0,0.0,20.5
New Orleans Saints,39.0,248.0,0.0,6.4,43.0,823.0,0.0,19.1
Los Angeles Rams,43.0,347.0,0.0,8.1,81.0,1563.0,1.0,19.3
San Francisco 49ers,47.0,426.0,0.0,9.1,73.0,1362.0,0.0,18.7
New York Giants,38.0,303.0,0.0,8.0,73.0,1269.0,0.0,17.4
New York Jets,34.0,201.0,0.0,5.9,70.0,1491.0,0.0,21.3
Denver Broncos,33.0,364.0,1.0,11.0,52.0,1035.0,0.0,19.9
Phoenix Cardinals,41.0,416.0,1.0,10.1,65.0,1379.0,1.0,21.2
Pittsburgh Steelers,40.0,418.0,0.0,10.5,63.0,1351.0,1.0,21.4
Dallas Cowboys,37.0,239.0,0.0,6.5,56.0,1060.0,0.0,18.9
Minnesota Vikings,39.0,405.0,0.0,10.4,81.0,1622.0,0.0,20.0
Los Angeles Raiders,47.0,397.0,0.0,8.4,61.0,1299.0,0.0,21.3
Washington Redskins,39.0,448.0,1.0,11.5,61.0,1111.0,0.0,18.2
Avg Team,40.5,343.5,0.2,8.5,60.5,1207.9,0.3,20.0
