Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New England Patriots,26.0,191.0,0.0,7.3,32.0,614.0,0.0,19.2
Miami Dolphins,14.0,77.0,0.0,5.5,33.0,704.0,0.0,21.3
New Orleans Saints,29.0,239.0,0.0,8.2,20.0,388.0,0.0,19.4
Cincinnati Bengals,17.0,68.0,0.0,4.0,45.0,851.0,0.0,18.9
Kansas City Chiefs,22.0,338.0,2.0,15.4,42.0,794.0,0.0,18.9
Seattle Seahawks,19.0,69.0,0.0,3.6,24.0,361.0,0.0,15.0
Atlanta Falcons,24.0,197.0,0.0,8.2,30.0,678.0,0.0,22.6
New York Jets,17.0,153.0,1.0,9.0,35.0,743.0,1.0,21.2
Baltimore Colts,26.0,226.0,0.0,8.7,25.0,538.0,0.0,21.5
San Diego Chargers,7.0,86.0,0.0,12.3,51.0,991.0,0.0,19.4
Chicago Bears,34.0,314.0,0.0,9.2,30.0,537.0,0.0,17.9
Tampa Bay Buccaneers,23.0,192.0,0.0,8.3,40.0,870.0,0.0,21.8
Green Bay Packers,27.0,286.0,0.0,10.6,45.0,875.0,1.0,19.4
Cleveland Browns,30.0,216.0,0.0,7.2,23.0,424.0,0.0,18.4
Minnesota Vikings,30.0,176.0,0.0,5.9,38.0,663.0,0.0,17.4
Denver Broncos,25.0,227.0,0.0,9.1,26.0,541.0,0.0,20.8
Philadelphia Eagles,31.0,316.0,0.0,10.2,39.0,885.0,0.0,22.7
Detroit Lions,26.0,237.0,0.0,9.1,38.0,755.0,0.0,19.9
Buffalo Bills,10.0,30.0,0.0,3.0,34.0,604.0,0.0,17.8
Los Angeles Raiders,17.0,71.0,0.0,4.2,43.0,851.0,0.0,19.8
Dallas Cowboys,21.0,118.0,0.0,5.6,41.0,936.0,0.0,22.8
Pittsburgh Steelers,28.0,182.0,0.0,6.5,36.0,821.0,0.0,22.8
Houston Oilers,35.0,293.0,0.0,8.4,26.0,564.0,0.0,21.7
San Francisco 49ers,20.0,224.0,1.0,11.2,40.0,857.0,0.0,21.4
Los Angeles Rams,31.0,401.0,1.0,12.9,36.0,844.0,0.0,23.4
St. Louis Cardinals,36.0,288.0,0.0,8.0,27.0,558.0,0.0,20.7
Washington Redskins,30.0,106.0,0.0,3.5,42.0,726.0,0.0,17.3
New York Giants,25.0,207.0,0.0,8.3,34.0,616.0,0.0,18.1
Avg Team,24.3,197.4,0.2,8.1,34.8,699.6,0.1,20.1
