Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Atlanta Falcons,28.0,241.0,0.0,8.6,64.0,1362.0,1.0,21.3
New Orleans Saints,26.0,310.0,0.0,11.9,66.0,1592.0,0.0,24.1
New England Patriots,25.0,179.0,0.0,7.2,81.0,1826.0,1.0,22.5
Miami Dolphins,43.0,454.0,1.0,10.6,53.0,1303.0,2.0,24.6
Pittsburgh Steelers,32.0,294.0,0.0,9.2,77.0,1540.0,1.0,20.0
Tampa Bay Buccaneers,32.0,232.0,0.0,7.3,75.0,1554.0,1.0,20.7
Denver Broncos,50.0,550.0,0.0,11.0,51.0,1259.0,1.0,24.7
Detroit Lions,54.0,633.0,1.0,11.7,72.0,1487.0,1.0,20.7
Tennessee Titans,35.0,214.0,0.0,6.1,56.0,1389.0,1.0,24.8
Chicago Bears,39.0,303.0,1.0,7.8,59.0,1404.0,0.0,23.8
San Francisco 49ers,54.0,483.0,0.0,8.9,67.0,1485.0,1.0,22.2
Cleveland Browns,40.0,285.0,0.0,7.1,54.0,959.0,0.0,17.8
San Diego Chargers,28.0,528.0,1.0,18.9,84.0,1880.0,3.0,22.4
Baltimore Ravens,34.0,275.0,0.0,8.1,38.0,987.0,0.0,26.0
Indianapolis Colts,28.0,299.0,1.0,10.7,73.0,1880.0,1.0,25.8
Dallas Cowboys,33.0,205.0,0.0,6.2,56.0,1363.0,1.0,24.3
Philadelphia Eagles,34.0,309.0,0.0,9.1,69.0,1502.0,0.0,21.8
New York Giants,36.0,535.0,2.0,14.9,77.0,1515.0,0.0,19.7
Buffalo Bills,32.0,299.0,0.0,9.3,57.0,1238.0,0.0,21.7
Houston Texans,29.0,233.0,0.0,8.0,72.0,1741.0,1.0,24.2
Green Bay Packers,31.0,341.0,1.0,11.0,76.0,1658.0,0.0,21.8
Minnesota Vikings,32.0,241.0,1.0,7.5,61.0,1455.0,1.0,23.9
Cincinnati Bengals,26.0,124.0,0.0,4.8,64.0,1504.0,2.0,23.5
Seattle Seahawks,35.0,327.0,1.0,9.3,50.0,1099.0,0.0,22.0
Kansas City Chiefs,42.0,361.0,0.0,8.6,66.0,1336.0,1.0,20.2
Washington Redskins,45.0,568.0,1.0,12.6,61.0,1160.0,0.0,19.0
Carolina Panthers,54.0,488.0,1.0,9.0,45.0,1064.0,0.0,23.6
St. Louis Rams,45.0,435.0,1.0,9.7,65.0,1538.0,1.0,23.7
Jacksonville Jaguars,19.0,123.0,0.0,6.5,59.0,1266.0,1.0,21.5
New York Jets,27.0,299.0,0.0,11.1,73.0,1428.0,0.0,19.6
Oakland Raiders,46.0,400.0,0.0,8.7,61.0,1412.0,1.0,23.1
Arizona Cardinals,35.0,458.0,0.0,13.1,51.0,1234.0,0.0,24.2
Avg Team,35.9,344.6,0.4,9.6,63.5,1419.4,0.7,22.3
