Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
San Francisco 49ers,38.0,278.0,0.0,7.3,78.0,1675.0,0.0,21.5
Minnesota Vikings,40.0,297.0,0.0,7.4,70.0,1392.0,0.0,19.9
Kansas City Chiefs,54.0,559.0,1.0,10.4,75.0,1528.0,0.0,20.4
Denver Broncos,55.0,524.0,0.0,9.5,46.0,824.0,0.0,17.9
New England Patriots,48.0,392.0,0.0,8.2,55.0,1082.0,0.0,19.7
Miami Dolphins,32.0,229.0,0.0,7.2,54.0,1024.0,0.0,19.0
Houston Oilers,47.0,354.0,0.0,7.5,61.0,1280.0,0.0,21.0
Cincinnati Bengals,41.0,310.0,0.0,7.6,68.0,1298.0,0.0,19.1
New York Jets,47.0,367.0,1.0,7.8,50.0,1063.0,0.0,21.3
Seattle Seahawks,36.0,185.0,0.0,5.1,59.0,952.0,0.0,16.1
Cleveland Browns,30.0,309.0,0.0,10.3,61.0,1155.0,1.0,18.9
New Orleans Saints,51.0,573.0,2.0,11.2,44.0,938.0,0.0,21.3
Baltimore Colts,55.0,642.0,1.0,11.7,61.0,1138.0,0.0,18.7
Los Angeles Rams,39.0,251.0,0.0,6.4,71.0,1325.0,0.0,18.7
San Diego Chargers,35.0,299.0,0.0,8.5,70.0,1426.0,0.0,20.4
Detroit Lions,39.0,302.0,0.0,7.7,71.0,1146.0,0.0,16.1
Philadelphia Eagles,57.0,511.0,0.0,9.0,45.0,804.0,0.0,17.9
Buffalo Bills,42.0,403.0,0.0,9.6,53.0,949.0,0.0,17.9
Pittsburgh Steelers,44.0,418.0,1.0,9.5,65.0,1507.0,1.0,23.2
Tampa Bay Buccaneers,59.0,603.0,1.0,10.2,50.0,1039.0,0.0,20.8
Washington Redskins,41.0,407.0,1.0,9.9,91.0,1772.0,0.0,19.5
Atlanta Falcons,34.0,179.0,0.0,5.3,60.0,1212.0,0.0,20.2
Chicago Bears,44.0,322.0,0.0,7.3,66.0,1229.0,0.0,18.6
Los Angeles Raiders,35.0,334.0,2.0,9.5,68.0,1227.0,0.0,18.0
Green Bay Packers,43.0,384.0,1.0,8.9,78.0,1429.0,0.0,18.3
Dallas Cowboys,53.0,588.0,1.0,11.1,78.0,1806.0,0.0,23.2
New York Giants,47.0,283.0,0.0,6.0,67.0,1296.0,0.0,19.3
St. Louis Cardinals,47.0,307.0,0.0,6.5,66.0,1300.0,1.0,19.7
Avg Team,44.0,378.9,0.4,8.6,63.6,1243.4,0.1,19.5
