Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
San Francisco 49ers,34.0,290.0,0.0,8.5,68.0,1408.0,0.0,20.7
Green Bay Packers,34.0,288.0,0.0,8.5,76.0,1520.0,0.0,20.0
New York Jets,34.0,446.0,1.0,13.1,63.0,1355.0,0.0,21.5
Tampa Bay Buccaneers,44.0,380.0,1.0,8.6,63.0,1321.0,0.0,21.0
New England Patriots,26.0,124.0,0.0,4.8,75.0,1658.0,0.0,22.1
Cincinnati Bengals,47.0,374.0,0.0,8.0,46.0,1157.0,1.0,25.2
Cleveland Browns,52.0,647.0,1.0,12.4,65.0,1215.0,0.0,18.7
Philadelphia Eagles,56.0,489.0,0.0,8.7,67.0,1430.0,0.0,21.3
Oakland Raiders,34.0,491.0,0.0,14.4,75.0,1657.0,1.0,22.1
Chicago Bears,45.0,327.0,0.0,7.3,66.0,1353.0,0.0,20.5
Pittsburgh Steelers,28.0,334.0,0.0,11.9,73.0,1561.0,1.0,21.4
Jacksonville Jaguars,38.0,295.0,0.0,7.8,64.0,1266.0,0.0,19.8
St. Louis Rams,17.0,167.0,0.0,9.8,86.0,2194.0,2.0,25.5
Denver Broncos,48.0,517.0,1.0,10.8,69.0,1526.0,1.0,22.1
Miami Dolphins,30.0,136.0,0.0,4.5,59.0,1189.0,0.0,20.2
Atlanta Falcons,17.0,130.0,0.0,7.6,64.0,1286.0,0.0,20.1
Kansas City Chiefs,31.0,288.0,1.0,9.3,65.0,1474.0,1.0,22.7
Dallas Cowboys,38.0,493.0,0.0,13.0,54.0,1164.0,0.0,21.6
Baltimore Ravens,33.0,183.0,0.0,5.5,64.0,1393.0,0.0,21.8
Seattle Seahawks,43.0,462.0,1.0,10.7,64.0,1273.0,1.0,19.9
Washington Redskins,44.0,434.0,1.0,9.9,54.0,945.0,0.0,17.5
Tennessee Titans,36.0,264.0,0.0,7.3,57.0,1418.0,0.0,24.9
New York Giants,45.0,543.0,1.0,12.1,66.0,1593.0,0.0,24.1
Buffalo Bills,40.0,418.0,0.0,10.5,52.0,987.0,0.0,19.0
Detroit Lions,39.0,369.0,1.0,9.5,53.0,1143.0,0.0,21.6
San Diego Chargers,32.0,334.0,0.0,10.4,64.0,1671.0,0.0,26.1
Arizona Cardinals,48.0,481.0,0.0,10.0,53.0,967.0,1.0,18.2
Indianapolis Colts,35.0,486.0,1.0,13.9,87.0,2006.0,0.0,23.1
Carolina Panthers,42.0,425.0,1.0,10.1,60.0,1340.0,0.0,22.3
Minnesota Vikings,34.0,350.0,0.0,10.3,59.0,1266.0,1.0,21.5
New Orleans Saints,36.0,316.0,1.0,8.8,66.0,1472.0,0.0,22.3
Avg Team,37.4,365.7,0.4,9.8,64.4,1393.8,0.3,21.6
