Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Indianapolis Colts,25.0,272.0,0.0,10.9,89.0,1978.0,1.0,22.2
Denver Broncos,36.0,266.0,0.0,7.4,67.0,1696.0,0.0,25.3
Washington Redskins,40.0,189.0,0.0,4.7,72.0,1503.0,0.0,20.9
Seattle Seahawks,41.0,343.0,0.0,8.4,82.0,1802.0,1.0,22.0
Carolina Panthers,36.0,235.0,0.0,6.5,80.0,1702.0,0.0,21.3
Cincinnati Bengals,32.0,260.0,0.0,8.1,85.0,1787.0,1.0,21.0
Baltimore Ravens,55.0,481.0,1.0,8.7,62.0,1352.0,0.0,21.8
Atlanta Falcons,35.0,238.0,0.0,6.8,59.0,1138.0,0.0,19.3
Chicago Bears,39.0,312.0,1.0,8.0,63.0,1255.0,0.0,19.9
Pittsburgh Steelers,37.0,336.0,0.0,9.1,77.0,1685.0,0.0,21.9
Jacksonville Jaguars,29.0,236.0,1.0,8.1,56.0,1327.0,0.0,23.7
Buffalo Bills,42.0,285.0,0.0,6.8,64.0,1308.0,1.0,20.4
St. Louis Rams,39.0,410.0,1.0,10.5,70.0,1781.0,0.0,25.4
Cleveland Browns,36.0,347.0,0.0,9.6,56.0,1182.0,0.0,21.1
New York Jets,36.0,305.0,0.0,8.5,60.0,1250.0,0.0,20.8
San Diego Chargers,26.0,244.0,0.0,9.4,83.0,1856.0,0.0,22.4
San Francisco 49ers,62.0,471.0,0.0,7.6,48.0,960.0,0.0,20.0
Dallas Cowboys,33.0,250.0,0.0,7.6,66.0,1432.0,0.0,21.7
Detroit Lions,50.0,520.0,2.0,10.4,55.0,1239.0,1.0,22.5
New England Patriots,42.0,405.0,0.0,9.6,68.0,1487.0,0.0,21.9
Tampa Bay Buccaneers,49.0,458.0,0.0,9.3,63.0,1368.0,1.0,21.7
Kansas City Chiefs,23.0,179.0,0.0,7.8,83.0,2053.0,1.0,24.7
Miami Dolphins,46.0,227.0,0.0,4.9,56.0,1425.0,0.0,25.4
New York Giants,36.0,309.0,1.0,8.6,85.0,1867.0,1.0,22.0
Minnesota Vikings,45.0,495.0,0.0,11.0,67.0,1416.0,0.0,21.1
Houston Texans,33.0,219.0,1.0,6.6,55.0,1194.0,0.0,21.7
Tennessee Titans,32.0,144.0,0.0,4.5,57.0,1290.0,0.0,22.6
Oakland Raiders,39.0,460.0,0.0,11.8,56.0,1369.0,0.0,24.4
Green Bay Packers,49.0,339.0,0.0,6.9,65.0,1404.0,0.0,21.6
New Orleans Saints,33.0,260.0,0.0,7.9,61.0,1404.0,0.0,23.0
Philadelphia Eagles,57.0,310.0,0.0,5.4,67.0,1416.0,1.0,21.1
Arizona Cardinals,39.0,328.0,1.0,8.4,60.0,1700.0,3.0,28.3
Avg Team,39.1,316.9,0.3,8.1,66.8,1488.3,0.4,22.3
