Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Atlanta Falcons,26.0,241.0,0.0,9.3,48.0,1065.0,0.0,22.2
Carolina Panthers,37.0,318.0,1.0,8.6,39.0,739.0,0.0,18.9
Tampa Bay Buccaneers,40.0,440.0,0.0,11.0,27.0,680.0,0.0,25.2
Buffalo Bills,35.0,517.0,2.0,14.8,51.0,1144.0,1.0,22.4
Detroit Lions,33.0,328.0,2.0,9.9,52.0,1213.0,2.0,23.3
Dallas Cowboys,29.0,279.0,1.0,9.6,50.0,1102.0,1.0,22.0
Indianapolis Colts,32.0,375.0,1.0,11.7,34.0,841.0,0.0,24.7
Seattle Seahawks,29.0,252.0,0.0,8.7,50.0,1147.0,0.0,22.9
Miami Dolphins,43.0,484.0,1.0,11.3,35.0,868.0,1.0,24.8
New York Jets,31.0,375.0,1.0,12.1,54.0,1184.0,1.0,21.9
San Diego Chargers,40.0,362.0,0.0,9.1,45.0,1017.0,0.0,22.6
Washington Redskins,39.0,320.0,0.0,8.2,55.0,1264.0,0.0,23.0
St. Louis Rams,41.0,402.0,0.0,9.8,30.0,730.0,0.0,24.3
Minnesota Vikings,41.0,341.0,0.0,8.3,33.0,795.0,0.0,24.1
Oakland Raiders,45.0,450.0,0.0,10.0,30.0,868.0,2.0,28.9
New Orleans Saints,31.0,391.0,0.0,12.6,42.0,1049.0,1.0,25.0
Denver Broncos,33.0,197.0,0.0,6.0,34.0,751.0,0.0,22.1
Green Bay Packers,24.0,179.0,0.0,7.5,51.0,1193.0,0.0,23.4
New England Patriots,23.0,154.0,0.0,6.7,60.0,1229.0,0.0,20.5
Houston Texans,48.0,483.0,1.0,10.1,62.0,1595.0,2.0,25.7
New York Giants,38.0,353.0,0.0,9.3,70.0,1662.0,0.0,23.7
Pittsburgh Steelers,30.0,306.0,1.0,10.2,46.0,1103.0,0.0,24.0
San Francisco 49ers,36.0,249.0,1.0,6.9,48.0,1289.0,0.0,26.9
Jacksonville Jaguars,40.0,495.0,2.0,12.4,39.0,1009.0,0.0,25.9
Cincinnati Bengals,27.0,210.0,0.0,7.8,60.0,1468.0,1.0,24.5
Philadelphia Eagles,40.0,542.0,1.0,13.6,41.0,1012.0,0.0,24.7
Chicago Bears,25.0,84.0,0.0,3.4,37.0,767.0,0.0,20.7
Cleveland Browns,34.0,343.0,1.0,10.1,43.0,853.0,0.0,19.8
Kansas City Chiefs,27.0,362.0,2.0,13.4,27.0,690.0,0.0,25.6
Arizona Cardinals,48.0,415.0,0.0,8.6,32.0,846.0,0.0,26.4
Tennessee Titans,39.0,405.0,0.0,10.4,33.0,860.0,1.0,26.1
Baltimore Ravens,49.0,383.0,0.0,7.8,37.0,859.0,0.0,23.2
Avg Team,35.4,344.8,0.6,9.7,43.6,1027.9,0.4,23.6
