Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Buffalo Bills,23.0,226.0,0.0,9.8,68.0,1504.0,0.0,22.1
Jacksonville Jaguars,35.0,250.0,0.0,7.1,64.0,1474.0,0.0,23.0
Green Bay Packers,39.0,333.0,0.0,8.5,72.0,1565.0,0.0,21.7
Tennessee Titans,45.0,335.0,0.0,7.4,76.0,1596.0,2.0,21.0
Seattle Seahawks,36.0,370.0,1.0,10.3,81.0,1500.0,0.0,18.5
Philadelphia Eagles,59.0,490.0,0.0,8.3,57.0,1305.0,0.0,22.9
Tampa Bay Buccaneers,49.0,360.0,0.0,7.3,61.0,1074.0,0.0,17.6
Chicago Bears,36.0,266.0,0.0,7.4,57.0,948.0,0.0,16.6
Dallas Cowboys,43.0,459.0,1.0,10.7,62.0,1259.0,0.0,20.3
Pittsburgh Steelers,33.0,342.0,1.0,10.4,67.0,1209.0,0.0,18.0
Carolina Panthers,31.0,156.0,0.0,5.0,76.0,1425.0,0.0,18.8
Minnesota Vikings,28.0,246.0,0.0,8.8,69.0,1423.0,0.0,20.6
Oakland Raiders,38.0,479.0,1.0,12.6,77.0,1626.0,0.0,21.1
San Francisco 49ers,33.0,399.0,2.0,12.1,47.0,1093.0,1.0,23.3
San Diego Chargers,37.0,315.0,0.0,8.5,67.0,1550.0,0.0,23.1
Washington Redskins,27.0,279.0,2.0,10.3,77.0,1772.0,1.0,23.0
St. Louis Rams,21.0,134.0,0.0,6.4,85.0,2115.0,0.0,24.9
Atlanta Falcons,26.0,119.0,0.0,4.6,55.0,1221.0,2.0,22.2
Indianapolis Colts,25.0,416.0,0.0,16.6,83.0,1822.0,0.0,22.0
New England Patriots,36.0,345.0,0.0,9.6,64.0,1441.0,0.0,22.5
New York Jets,47.0,427.0,0.0,9.1,63.0,1589.0,0.0,25.2
Detroit Lions,42.0,402.0,0.0,9.6,60.0,1242.0,1.0,20.7
Arizona Cardinals,53.0,340.0,0.0,6.4,59.0,1224.0,2.0,20.7
Baltimore Ravens,43.0,468.0,1.0,10.9,70.0,1479.0,0.0,21.1
Cleveland Browns,64.0,730.0,2.0,11.4,42.0,764.0,0.0,18.2
New Orleans Saints,43.0,283.0,1.0,6.6,60.0,1473.0,1.0,24.6
New York Giants,38.0,405.0,1.0,10.7,53.0,1152.0,1.0,21.7
Miami Dolphins,42.0,424.0,0.0,10.1,58.0,1282.0,1.0,22.1
Denver Broncos,43.0,600.0,1.0,14.0,70.0,1457.0,0.0,20.8
Cincinnati Bengals,45.0,498.0,1.0,11.1,57.0,1068.0,0.0,18.7
Kansas City Chiefs,46.0,406.0,1.0,8.8,78.0,1544.0,1.0,19.8
Avg Team,39.6,370.9,0.5,9.4,65.6,1393.4,0.4,21.2
