Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Minnesota Vikings,42.0,426.0,0.0,10.1,43.0,851.0,0.0,19.8
Buffalo Bills,15.0,53.0,0.0,3.5,62.0,1266.0,0.0,20.4
Denver Broncos,28.0,170.0,0.0,6.1,62.0,1096.0,0.0,17.7
Miami Dolphins,30.0,332.0,0.0,11.1,66.0,1270.0,0.0,19.2
New York Jets,29.0,164.0,0.0,5.7,60.0,921.0,1.0,15.4
Los Angeles Raiders,41.0,341.0,0.0,8.3,58.0,1059.0,1.0,18.3
Dallas Cowboys,28.0,231.0,0.0,8.3,69.0,1169.0,1.0,16.9
Houston Oilers,29.0,192.0,0.0,6.6,63.0,1071.0,0.0,17.0
Indianapolis Colts,47.0,516.0,1.0,11.0,33.0,573.0,0.0,17.4
Kansas City Chiefs,27.0,190.0,0.0,7.0,57.0,1171.0,0.0,20.5
Detroit Lions,35.0,340.0,1.0,9.7,63.0,1095.0,0.0,17.4
Cleveland Browns,40.0,388.0,0.0,9.7,50.0,1022.0,0.0,20.4
New York Giants,35.0,322.0,1.0,9.2,55.0,940.0,0.0,17.1
New England Patriots,37.0,303.0,1.0,8.2,51.0,850.0,0.0,16.7
Atlanta Falcons,45.0,387.0,0.0,8.6,67.0,1419.0,1.0,21.2
San Diego Chargers,32.0,267.0,0.0,8.3,52.0,1034.0,0.0,19.9
San Francisco 49ers,30.0,239.0,0.0,8.0,66.0,1288.0,1.0,19.5
Chicago Bears,28.0,205.0,0.0,7.3,58.0,1134.0,0.0,19.6
Phoenix Cardinals,48.0,313.0,0.0,6.5,42.0,958.0,1.0,22.8
New Orleans Saints,50.0,470.0,0.0,9.4,35.0,851.0,2.0,24.3
Washington Redskins,31.0,190.0,0.0,6.1,66.0,1153.0,0.0,17.5
Los Angeles Rams,33.0,292.0,0.0,8.8,39.0,671.0,0.0,17.2
Seattle Seahawks,40.0,289.0,0.0,7.2,51.0,858.0,0.0,16.8
Cincinnati Bengals,38.0,456.0,2.0,12.0,38.0,741.0,0.0,19.5
Tampa Bay Buccaneers,49.0,559.0,1.0,11.4,32.0,720.0,0.0,22.5
Philadelphia Eagles,42.0,431.0,1.0,10.3,60.0,1146.0,0.0,19.1
Green Bay Packers,35.0,375.0,1.0,10.7,46.0,942.0,0.0,20.5
Pittsburgh Steelers,29.0,210.0,0.0,7.2,43.0,825.0,0.0,19.2
Avg Team,35.5,310.0,0.3,8.7,53.1,1003.4,0.3,18.9
