Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Washington Redskins,40.0,393.0,0.0,9.8,60.0,1238.0,0.0,20.6
Miami Dolphins,29.0,185.0,0.0,6.4,47.0,1010.0,0.0,21.5
New York Jets,22.0,322.0,1.0,14.6,71.0,1496.0,0.0,21.1
Tampa Bay Buccaneers,39.0,489.0,0.0,12.5,59.0,1393.0,0.0,23.6
Kansas City Chiefs,38.0,327.0,1.0,8.6,87.0,2043.0,0.0,23.5
Indianapolis Colts,32.0,319.0,0.0,10.0,93.0,1999.0,2.0,21.5
Philadelphia Eagles,35.0,272.0,0.0,7.8,74.0,1590.0,1.0,21.5
Denver Broncos,46.0,560.0,1.0,12.2,73.0,1679.0,0.0,23.0
Seattle Seahawks,29.0,140.0,0.0,4.8,79.0,1626.0,0.0,20.6
Green Bay Packers,32.0,316.0,0.0,9.9,82.0,1707.0,1.0,20.8
Jacksonville Jaguars,40.0,420.0,0.0,10.5,58.0,1227.0,0.0,21.2
Arizona Cardinals,41.0,472.0,2.0,11.5,48.0,1042.0,0.0,21.7
San Francisco 49ers,28.0,258.0,1.0,9.2,77.0,1641.0,0.0,21.3
Cincinnati Bengals,47.0,403.0,0.0,8.6,71.0,1470.0,0.0,20.7
Buffalo Bills,52.0,577.0,0.0,11.1,55.0,1080.0,0.0,19.6
Tennessee Titans,30.0,276.0,1.0,9.2,81.0,1521.0,0.0,18.8
Carolina Panthers,35.0,402.0,1.0,11.5,70.0,1425.0,0.0,20.4
New York Giants,40.0,432.0,2.0,10.8,56.0,1128.0,0.0,20.1
Minnesota Vikings,29.0,310.0,0.0,10.7,75.0,1608.0,0.0,21.4
Cleveland Browns,33.0,316.0,0.0,9.6,60.0,1231.0,0.0,20.5
St. Louis Rams,32.0,484.0,2.0,15.1,83.0,1985.0,2.0,23.9
Baltimore Ravens,42.0,345.0,0.0,8.2,70.0,1495.0,1.0,21.4
New England Patriots,38.0,240.0,1.0,6.3,77.0,1623.0,0.0,21.1
Dallas Cowboys,34.0,227.0,0.0,6.7,66.0,1448.0,0.0,21.9
New Orleans Saints,36.0,294.0,0.0,8.2,67.0,1587.0,2.0,23.7
Chicago Bears,36.0,277.0,0.0,7.7,64.0,1367.0,1.0,21.4
Pittsburgh Steelers,47.0,299.0,0.0,6.4,66.0,1359.0,1.0,20.6
Oakland Raiders,52.0,669.0,0.0,12.9,57.0,1474.0,0.0,25.9
Detroit Lions,59.0,390.0,1.0,6.6,53.0,1313.0,1.0,24.8
Houston Texans,43.0,410.0,1.0,9.5,53.0,1149.0,0.0,21.7
Atlanta Falcons,35.0,301.0,1.0,8.6,62.0,1204.0,0.0,19.4
San Diego Chargers,38.0,409.0,2.0,10.8,67.0,1437.0,1.0,21.4
Avg Team,37.8,360.6,0.6,9.5,67.5,1456.1,0.4,21.6
