Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Atlanta Falcons,27.0,289.0,1.0,10.7,46.0,945.0,0.0,20.5
Indianapolis Colts,36.0,301.0,0.0,8.4,60.0,1519.0,1.0,25.3
Carolina Panthers,41.0,452.0,1.0,11.0,51.0,1267.0,1.0,24.8
Dallas Cowboys,38.0,314.0,1.0,8.3,47.0,967.0,0.0,20.6
Green Bay Packers,40.0,403.0,0.0,10.1,80.0,1824.0,0.0,22.8
San Diego Chargers,23.0,265.0,1.0,11.5,87.0,1909.0,1.0,21.9
New Orleans Saints,25.0,358.0,1.0,14.3,74.0,1813.0,0.0,24.5
New England Patriots,20.0,180.0,0.0,9.0,70.0,1705.0,0.0,24.4
Philadelphia Eagles,39.0,229.0,0.0,5.9,81.0,1907.0,0.0,23.5
Jacksonville Jaguars,38.0,159.0,0.0,4.2,47.0,1069.0,1.0,22.7
New York Jets,27.0,238.0,0.0,8.8,70.0,1685.0,2.0,24.1
Washington Redskins,32.0,220.0,0.0,6.9,56.0,1104.0,0.0,19.7
Buffalo Bills,49.0,377.0,0.0,7.7,59.0,1271.0,0.0,21.5
Baltimore Ravens,38.0,287.0,1.0,7.6,77.0,1565.0,0.0,20.3
Arizona Cardinals,47.0,493.0,0.0,10.5,61.0,1248.0,0.0,20.5
San Francisco 49ers,57.0,495.0,0.0,8.7,65.0,1415.0,1.0,21.8
Denver Broncos,36.0,363.0,1.0,10.1,49.0,1115.0,1.0,22.8
Tampa Bay Buccaneers,38.0,311.0,0.0,8.2,46.0,878.0,0.0,19.1
Oakland Raiders,63.0,459.0,0.0,7.3,42.0,1078.0,1.0,25.7
Pittsburgh Steelers,33.0,325.0,0.0,9.8,74.0,1795.0,4.0,24.3
Cincinnati Bengals,39.0,393.0,0.0,10.1,58.0,1289.0,0.0,22.2
Tennessee Titans,29.0,208.0,0.0,7.2,71.0,1714.0,1.0,24.1
Minnesota Vikings,33.0,260.0,1.0,7.9,91.0,2060.0,0.0,22.6
Seattle Seahawks,43.0,479.0,1.0,11.1,46.0,1059.0,0.0,23.0
New York Giants,28.0,258.0,1.0,9.2,77.0,1619.0,0.0,21.0
Cleveland Browns,40.0,262.0,0.0,6.6,52.0,984.0,0.0,18.9
Miami Dolphins,43.0,369.0,0.0,8.6,71.0,1557.0,0.0,21.9
Houston Texans,24.0,104.0,0.0,4.3,71.0,1597.0,0.0,22.5
Kansas City Chiefs,40.0,285.0,0.0,7.1,60.0,1446.0,2.0,24.1
St. Louis Rams,41.0,260.0,0.0,6.3,43.0,1032.0,1.0,24.0
Chicago Bears,34.0,272.0,0.0,8.0,64.0,1552.0,0.0,24.3
Detroit Lions,41.0,354.0,0.0,8.6,58.0,1353.0,1.0,23.3
Avg Team,36.9,313.2,0.3,8.5,62.6,1416.9,0.6,22.6
