Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
New England Patriots,41.0,397.0,0.0,9.7,63.0,1130.0,0.0,17.9
Buffalo Bills,35.0,179.0,0.0,5.1,43.0,679.0,0.0,15.8
Tampa Bay Buccaneers,50.0,621.0,1.0,12.4,61.0,1242.0,0.0,20.4
San Francisco 49ers,29.0,195.0,0.0,6.7,76.0,1598.0,1.0,21.0
Miami Dolphins,26.0,141.0,0.0,5.4,67.0,1222.0,0.0,18.2
Pittsburgh Steelers,46.0,395.0,0.0,8.6,65.0,1083.0,0.0,16.7
Cleveland Browns,17.0,93.0,0.0,5.5,72.0,1343.0,0.0,18.7
Indianapolis Colts,39.0,376.0,0.0,9.6,60.0,1068.0,0.0,17.8
Denver Broncos,34.0,424.0,2.0,12.5,61.0,1168.0,0.0,19.1
Green Bay Packers,54.0,422.0,0.0,7.8,61.0,1140.0,0.0,18.7
New Orleans Saints,29.0,199.0,0.0,6.9,55.0,1115.0,0.0,20.3
Seattle Seahawks,32.0,251.0,1.0,7.8,67.0,1379.0,1.0,20.6
Philadelphia Eagles,54.0,469.0,0.0,8.7,59.0,1276.0,0.0,21.6
Cincinnati Bengals,42.0,299.0,0.0,7.1,62.0,1145.0,0.0,18.5
Kansas City Chiefs,43.0,442.0,0.0,10.3,55.0,1263.0,1.0,23.0
Los Angeles Rams,43.0,317.0,0.0,7.4,57.0,1112.0,0.0,19.5
Houston Oilers,43.0,454.0,0.0,10.6,57.0,1177.0,0.0,20.6
Los Angeles Raiders,34.0,256.0,0.0,7.5,59.0,1136.0,0.0,19.3
Dallas Cowboys,45.0,376.0,1.0,8.4,65.0,1281.0,0.0,19.7
Detroit Lions,34.0,177.0,0.0,5.2,56.0,1089.0,0.0,19.4
San Diego Chargers,43.0,429.0,1.0,10.0,50.0,985.0,1.0,19.7
Chicago Bears,26.0,339.0,1.0,13.0,58.0,1054.0,0.0,18.2
Minnesota Vikings,44.0,424.0,0.0,9.6,64.0,1173.0,0.0,18.3
New York Jets,33.0,162.0,0.0,4.9,54.0,1013.0,0.0,18.8
St. Louis Cardinals,36.0,489.0,1.0,13.6,59.0,1063.0,0.0,18.0
Atlanta Falcons,48.0,541.0,1.0,11.3,44.0,915.0,1.0,20.8
New York Giants,51.0,811.0,2.0,15.9,68.0,1463.0,0.0,21.5
Washington Redskins,37.0,231.0,0.0,6.2,63.0,1352.0,1.0,21.5
Avg Team,38.9,353.9,0.4,9.1,60.0,1166.6,0.2,19.4
