Tm,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense
Buffalo Bills,31.0,251.0,0.0,8.1,73.0,1129.0,0.0,15.5
Houston Oilers,23.0,186.0,1.0,8.1,71.0,1329.0,1.0,18.7
Miami Dolphins,40.0,397.0,0.0,9.9,53.0,1092.0,0.0,20.6
Kansas City Chiefs,44.0,411.0,2.0,9.3,81.0,1391.0,0.0,17.2
Seattle Seahawks,29.0,254.0,2.0,8.8,51.0,910.0,0.0,17.8
Tampa Bay Buccaneers,39.0,352.0,0.0,9.0,43.0,1036.0,0.0,24.1
Pittsburgh Steelers,16.0,105.0,0.0,6.6,56.0,1245.0,1.0,22.2
New York Giants,41.0,291.0,0.0,7.1,65.0,1245.0,1.0,19.2
San Diego Chargers,28.0,131.0,0.0,4.7,62.0,1048.0,0.0,16.9
Chicago Bears,39.0,322.0,0.0,8.3,73.0,1494.0,0.0,20.5
New York Jets,35.0,269.0,0.0,7.7,61.0,1185.0,1.0,19.4
Cincinnati Bengals,36.0,352.0,1.0,9.8,43.0,945.0,0.0,22.0
Atlanta Falcons,39.0,314.0,0.0,8.1,49.0,814.0,0.0,16.6
Dallas Cowboys,43.0,438.0,1.0,10.2,55.0,1136.0,1.0,20.7
Philadelphia Eagles,37.0,338.0,1.0,9.1,74.0,1408.0,0.0,19.0
Green Bay Packers,34.0,266.0,0.0,7.8,56.0,1125.0,0.0,20.1
Los Angeles Rams,46.0,420.0,0.0,9.1,68.0,1406.0,0.0,20.7
Los Angeles Raiders,24.0,153.0,0.0,6.4,49.0,1026.0,0.0,20.9
Denver Broncos,22.0,159.0,0.0,7.2,69.0,1319.0,0.0,19.1
Minnesota Vikings,44.0,513.0,0.0,11.7,62.0,1350.0,0.0,21.8
Phoenix Cardinals,41.0,258.0,0.0,6.3,56.0,1060.0,0.0,18.9
Indianapolis Colts,42.0,334.0,0.0,8.0,49.0,961.0,0.0,19.6
San Francisco 49ers,30.0,215.0,0.0,7.2,66.0,1284.0,0.0,19.5
Cleveland Browns,41.0,425.0,0.0,10.4,45.0,805.0,0.0,17.9
New Orleans Saints,43.0,302.0,0.0,7.0,36.0,583.0,0.0,16.2
Detroit Lions,29.0,233.0,0.0,8.0,70.0,1229.0,1.0,17.6
New England Patriots,50.0,503.0,0.0,10.1,38.0,665.0,0.0,17.5
Washington Redskins,30.0,205.0,0.0,6.8,58.0,1008.0,0.0,17.4
Avg Team,35.6,299.9,0.3,8.4,58.3,1115.3,0.2,19.1
